
1630098219.596681,3462,{'stage': 'tutorial', 'action': 'opened-tutorial', 'worker-id': '3462'}
1630098255.738828,3462,{'stage': 'tutorial', 'action': 'Consented to study', 'worker-id': '3462'}
1630098261.795296,3462,{'stage': 'tutorial', 'action': 'DID NOT consent to study', 'worker-id': '3462'}
1630098300.114785,3462,{'tag': 'Whatisyourage', 'type': 'dropdown', 'selection': 1, 'worker-id': '3462'}
1630098301.798433,3462,{'tag': 'Whatisyourgender', 'type': 'dropdown', 'selection': 2, 'worker-id': '3462'}
1630098306.712443,3462,{'tag': 'Howfamiliarareyouwithrobots', 'type': 'dropdown', 'selection': 1, 'worker-id': '3462'}
1630098438.880171,3462,{'stage': 'SAGAT', 'action': 'side-panel-state', 'object': 'showing tutorial panel 1', 'worker-id': '3462'}
1630098438.881475,3462,{'stage': 'SAGAT', 'action': 'opened-page', 'worker-id': '3462'}
1630098478.317167,3462,{'stage': 'SAGAT', 'action': 'side-panel-click', 'object': 'next button tutorial 1', 'worker-id': '3462'}
1630098478.317947,3462,{'stage': 'SAGAT', 'action': 'side-panel-state', 'object': 'showing tutorial panel 2', 'worker-id': '3462'}
1630098518.428271,3462,{'stage': 'SAGAT', 'action': 'side-panel-state', 'object': 'showing tutorial panel 3', 'worker-id': '3462'}
1630098518.429007,3462,{'stage': 'SAGAT', 'action': 'side-panel-state', 'object': 'showing sagat questions', 'worker-id': '3462'}
1630098518.430962,3462,{'stage': 'SAGAT', 'action': 'side-panel-click', 'object': 'next button tutorial 2', 'worker-id': '3462'}
1630098531.06449,3462,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '1', 'worker-id': '3462'}
1630098532.30604,3462,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '2', 'worker-id': '3462'}
1630098533.389111,3462,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '2', 'worker-id': '3462'}
1630098534.610856,3462,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '0', 'worker-id': '3462'}
1630098535.033858,3462,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '0', 'worker-id': '3462'}
