
1629842512.280954,4122,{'stage': 'tutorial', 'action': 'opened-tutorial', 'worker-id': '4122'}
1629842526.150401,4122,{'stage': 'tutorial', 'action': 'DID NOT consent to study', 'worker-id': '4122'}
1629842531.266805,4122,{'stage': 'tutorial', 'action': 'Consented to study', 'worker-id': '4122'}
1629842587.35645,4122,{'tag': 'Whatisyourage', 'type': 'dropdown', 'selection': 1, 'worker-id': '4122'}
1629842589.444919,4122,{'tag': 'Whatisyourgender', 'type': 'dropdown', 'selection': 2, 'worker-id': '4122'}
1629842594.027371,4122,{'tag': 'Howfamiliarareyouwithrobots', 'type': 'dropdown', 'selection': 2, 'worker-id': '4122'}
1629842653.481578,4122,{'tag': 'Whatisyourage', 'type': 'dropdown', 'selection': 1, 'worker-id': '4122'}
1629842654.727046,4122,{'tag': 'Whatisyourgender', 'type': 'dropdown', 'selection': 2, 'worker-id': '4122'}
1629842656.421942,4122,{'tag': 'Howfamiliarareyouwithrobots', 'type': 'dropdown', 'selection': 2, 'worker-id': '4122'}
1629842677.286935,4122,{'tag': 'Whatisyourage', 'type': 'dropdown', 'selection': 1, 'worker-id': '4122'}
1629842678.8822,4122,{'tag': 'Whatisyourgender', 'type': 'dropdown', 'selection': 2, 'worker-id': '4122'}
1629842680.173226,4122,{'tag': 'Howfamiliarareyouwithrobots', 'type': 'dropdown', 'selection': 2, 'worker-id': '4122'}
1629842784.436578,4122,{'stage': 'SAGAT', 'action': 'side-panel-state', 'object': 'showing tutorial panel 1', 'worker-id': '4122'}
1629842784.437626,4122,{'stage': 'SAGAT', 'action': 'opened-page', 'worker-id': '4122'}
1629842811.506986,4122,{'stage': 'SAGAT', 'action': 'side-panel-click', 'object': 'next button tutorial 1', 'worker-id': '4122'}
1629842811.50899,4122,{'stage': 'SAGAT', 'action': 'side-panel-state', 'object': 'showing tutorial panel 2', 'worker-id': '4122'}
1629842860.38726,4122,{'stage': 'SAGAT', 'action': 'side-panel-click', 'object': 'next button tutorial 2', 'worker-id': '4122'}
1629842860.387987,4122,{'stage': 'SAGAT', 'action': 'side-panel-state', 'object': 'showing tutorial panel 3', 'worker-id': '4122'}
1629842860.389328,4122,{'stage': 'SAGAT', 'action': 'side-panel-state', 'object': 'showing sagat questions', 'worker-id': '4122'}
1629842875.84502,4122,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '1', 'worker-id': '4122'}
1629842876.572837,4122,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '0', 'worker-id': '4122'}
1629842877.545528,4122,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '2', 'worker-id': '4122'}
1629842877.846903,4122,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '2', 'worker-id': '4122'}
1629842878.750296,4122,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '0', 'worker-id': '4122'}
1629842879.093842,4122,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '0', 'worker-id': '4122'}
1629842879.880107,4122,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '0', 'worker-id': '4122'}
1629842880.545296,4122,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '0', 'worker-id': '4122'}
1629842881.327821,4122,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '0', 'worker-id': '4122'}
1629842881.896252,4122,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '0', 'worker-id': '4122'}
1629842882.760342,4122,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '1', 'worker-id': '4122'}
1629842883.127725,4122,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '1', 'worker-id': '4122'}
1629842885.49818,4122,{'stage': 'SAGAT', 'action': 'side-panel-click', 'object': 'next button tutorial 3', 'worker-id': '4122'}
1629842885.499199,4122,{'stage': 'SAGAT', 'action': 'side-panel-state', 'object': 'showing introduction', 'worker-id': '4122'}
1629842902.480168,4122,{'stage': 'SAGAT', 'action': 'side-panel-state', 'object': 'showing information panel', 'worker-id': '4122'}
1629842902.481043,4122,{'stage': 'SAGAT', 'action': 'side-panel-click', 'object': 'next button introduction', 'worker-id': '4122'}
1629842919.088455,4122,{'stage': 'SAGAT', 'action': 'side-panel-click', 'object': 'next button information', 'worker-id': '4122'}
1629842919.08935,4122,{'stage': 'SAGAT', 'action': 'side-panel-state', 'object': 'showing information panel', 'worker-id': '4122'}
1629842949.064981,4122,{'stage': 'SAGAT', 'action': 'side-panel-state', 'object': 'showing sagat questions', 'worker-id': '4122'}
1629842971.52414,4122,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '11', 'worker-id': '4122'}
1629842972.211671,4122,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '11', 'worker-id': '4122'}
1629842974.865009,4122,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '16', 'worker-id': '4122'}
1629842975.177052,4122,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '16', 'worker-id': '4122'}
1629842976.223717,4122,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '14', 'worker-id': '4122'}
1629842976.392287,4122,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '14', 'worker-id': '4122'}
1629842977.370499,4122,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '13', 'worker-id': '4122'}
1629842977.61542,4122,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '13', 'worker-id': '4122'}
1629842979.877568,4122,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '0', 'worker-id': '4122'}
1629842982.51833,4122,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '0', 'worker-id': '4122'}
1629842983.187163,4122,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '0', 'worker-id': '4122'}
1629842984.264353,4122,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '1', 'worker-id': '4122'}
1629842984.405901,4122,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '1', 'worker-id': '4122'}
1629842984.551358,4122,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '1', 'worker-id': '4122'}
1629842985.583964,4122,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '7', 'worker-id': '4122'}
1629842985.750453,4122,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '7', 'worker-id': '4122'}
1629842985.988885,4122,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '7', 'worker-id': '4122'}
1629842987.012123,4122,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '12', 'worker-id': '4122'}
1629842987.165236,4122,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '12', 'worker-id': '4122'}
1629842987.359414,4122,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '12', 'worker-id': '4122'}
1629842988.548648,4122,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '15', 'worker-id': '4122'}
1629842988.613231,4122,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '15', 'worker-id': '4122'}
1629842988.75064,4122,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '15', 'worker-id': '4122'}
1629842990.324129,4122,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '10', 'worker-id': '4122'}
1629842990.431941,4122,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '10', 'worker-id': '4122'}
1629842990.606051,4122,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '10', 'worker-id': '4122'}
1629842991.562225,4122,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '3', 'worker-id': '4122'}
1629842992.15889,4122,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '4', 'worker-id': '4122'}
1629842993.037364,4122,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '5', 'worker-id': '4122'}
1629842993.683379,4122,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '6', 'worker-id': '4122'}
1629842994.341548,4122,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '7', 'worker-id': '4122'}
1629842994.572585,4122,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '7', 'worker-id': '4122'}
1629842994.995584,4122,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '7', 'worker-id': '4122'}
1629842995.440128,4122,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '7', 'worker-id': '4122'}
1629842996.589043,4122,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '8', 'worker-id': '4122'}
1629842997.25969,4122,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '9', 'worker-id': '4122'}
1629842998.533378,4122,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '2', 'worker-id': '4122'}
1629842998.712514,4122,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '2', 'worker-id': '4122'}
1629842999.177963,4122,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '2', 'worker-id': '4122'}
1629843000.274155,4122,{'stage': 'SAGAT', 'action': 'side-panel-state', 'object': 'showing information panel', 'worker-id': '4122'}
1629843030.430235,4122,{'stage': 'SAGAT', 'action': 'side-panel-state', 'object': 'showing sagat questions', 'worker-id': '4122'}
1629843033.657015,4122,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '11', 'worker-id': '4122'}
1629843033.990147,4122,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '11', 'worker-id': '4122'}
1629843035.030066,4122,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '13', 'worker-id': '4122'}
1629843035.232099,4122,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '13', 'worker-id': '4122'}
1629843036.283684,4122,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '16', 'worker-id': '4122'}
1629843036.382121,4122,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '16', 'worker-id': '4122'}
1629843036.596727,4122,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '16', 'worker-id': '4122'}
1629843037.952069,4122,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '15', 'worker-id': '4122'}
1629843038.38123,4122,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '9', 'worker-id': '4122'}
1629843038.786502,4122,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '8', 'worker-id': '4122'}
1629843039.413415,4122,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '2', 'worker-id': '4122'}
1629843040.041062,4122,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '7', 'worker-id': '4122'}
1629843040.667015,4122,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '14', 'worker-id': '4122'}
1629843041.230202,4122,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '6', 'worker-id': '4122'}
1629843041.746116,4122,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '1', 'worker-id': '4122'}
1629843042.563482,4122,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '5', 'worker-id': '4122'}
1629843043.080162,4122,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '12', 'worker-id': '4122'}
1629843043.749712,4122,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '4', 'worker-id': '4122'}
1629843044.211191,4122,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '3', 'worker-id': '4122'}
1629843044.890344,4122,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '10', 'worker-id': '4122'}
1629843045.983855,4122,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '0', 'worker-id': '4122'}
