
1630166842.652854,4142,{'stage': 'tutorial', 'action': 'opened-tutorial', 'worker-id': '4142'}
1630166886.441708,4142,{'stage': 'tutorial', 'action': 'Consented to study', 'worker-id': '4142'}
1630166892.918551,4142,{'stage': 'tutorial', 'action': 'Consented to study', 'worker-id': '4142'}
1630166929.056697,4142,{'tag': 'Whatisyourage', 'type': 'dropdown', 'selection': 1, 'worker-id': '4142'}
1630166929.058634,4142,{'tag': 'Whatisyourage', 'type': 'dropdown', 'selection': 2, 'worker-id': '4142'}
1630166929.268848,4142,{'tag': 'Whatisyourage', 'type': 'dropdown', 'selection': 3, 'worker-id': '4142'}
1630166929.586485,4142,{'tag': 'Whatisyourage', 'type': 'dropdown', 'selection': 2, 'worker-id': '4142'}
1630166929.813438,4142,{'tag': 'Whatisyourage', 'type': 'dropdown', 'selection': 1, 'worker-id': '4142'}
1630166932.689957,4142,{'tag': 'Whatisyourgender', 'type': 'dropdown', 'selection': 2, 'worker-id': '4142'}
1630166936.055518,4142,{'tag': 'Howfamiliarareyouwithrobots', 'type': 'dropdown', 'selection': 2, 'worker-id': '4142'}
1630166991.602473,4142,{'tag': 'Whatisyourage', 'type': 'dropdown', 'selection': 1, 'worker-id': '4142'}
1630166992.562201,4142,{'tag': 'Whatisyourgender', 'type': 'dropdown', 'selection': 1, 'worker-id': '4142'}
1630166992.817353,4142,{'tag': 'Whatisyourgender', 'type': 'dropdown', 'selection': 2, 'worker-id': '4142'}
1630166993.416438,4142,{'tag': 'Howfamiliarareyouwithrobots', 'type': 'dropdown', 'selection': 1, 'worker-id': '4142'}
1630166994.524638,4142,{'tag': 'Howfamiliarareyouwithrobots', 'type': 'dropdown', 'selection': 2, 'worker-id': '4142'}
1630167106.614478,4142,{'stage': 'SAGAT', 'action': 'opened-page', 'worker-id': '4142'}
1630167106.616637,4142,{'stage': 'SAGAT', 'action': 'side-panel-state', 'object': 'showing tutorial panel 1', 'worker-id': '4142'}
1630167128.032814,4142,{'stage': 'SAGAT', 'action': 'side-panel-click', 'object': 'next button tutorial 1', 'worker-id': '4142'}
1630167128.040416,4142,{'stage': 'SAGAT', 'action': 'side-panel-state', 'object': 'showing tutorial panel 2', 'worker-id': '4142'}
1630167180.794992,4142,{'stage': 'SAGAT', 'action': 'side-panel-click', 'object': 'next button tutorial 2', 'worker-id': '4142'}
1630167180.830421,4142,{'stage': 'SAGAT', 'action': 'side-panel-state', 'object': 'showing tutorial panel 3', 'worker-id': '4142'}
1630167180.831519,4142,{'stage': 'SAGAT', 'action': 'side-panel-state', 'object': 'showing sagat questions', 'worker-id': '4142'}
1630167192.479642,4142,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '1', 'worker-id': '4142'}
1630167193.418434,4142,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '2', 'worker-id': '4142'}
1630167194.148799,4142,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '0', 'worker-id': '4142'}
1630167194.922365,4142,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '1', 'worker-id': '4142'}
1630167195.820666,4142,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '2', 'worker-id': '4142'}
1630167199.060248,4142,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '0', 'worker-id': '4142'}
1630167199.332098,4142,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '0', 'worker-id': '4142'}
1630167200.211924,4142,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '1', 'worker-id': '4142'}
1630167201.253809,4142,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '2', 'worker-id': '4142'}
1630167202.272026,4142,{'stage': 'SAGAT', 'action': 'side-panel-state', 'object': 'showing introduction', 'worker-id': '4142'}
1630167202.272674,4142,{'stage': 'SAGAT', 'action': 'side-panel-click', 'object': 'next button tutorial 3', 'worker-id': '4142'}
1630167229.572594,4142,{'stage': 'SAGAT', 'action': 'side-panel-click', 'object': 'next button introduction', 'worker-id': '4142'}
1630167229.573662,4142,{'stage': 'SAGAT', 'action': 'side-panel-state', 'object': 'showing information panel', 'worker-id': '4142'}
1630167242.050587,4142,{'stage': 'SAGAT', 'action': 'side-panel-click', 'object': 'next button information', 'worker-id': '4142'}
1630167242.051754,4142,{'stage': 'SAGAT', 'action': 'side-panel-state', 'object': 'showing information panel', 'worker-id': '4142'}
1630167272.28219,4142,{'stage': 'SAGAT', 'action': 'side-panel-state', 'object': 'showing sagat questions', 'worker-id': '4142'}
1630167278.753223,4142,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '11', 'worker-id': '4142'}
1630167283.436274,4142,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '11', 'worker-id': '4142'}
1630167283.97523,4142,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '11', 'worker-id': '4142'}
1630167285.344372,4142,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '10', 'worker-id': '4142'}
1630167286.477375,4142,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '3', 'worker-id': '4142'}
1630167287.529019,4142,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '0', 'worker-id': '4142'}
1630167288.048754,4142,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '4', 'worker-id': '4142'}
1630167288.933238,4142,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '1', 'worker-id': '4142'}
1630167289.506908,4142,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '5', 'worker-id': '4142'}
1630167289.928454,4142,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '6', 'worker-id': '4142'}
1630167290.569071,4142,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '7', 'worker-id': '4142'}
1630167291.094809,4142,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '2', 'worker-id': '4142'}
1630167291.876455,4142,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '8', 'worker-id': '4142'}
1630167294.002876,4142,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '9', 'worker-id': '4142'}
1630167294.841074,4142,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '16', 'worker-id': '4142'}
1630167295.256504,4142,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '15', 'worker-id': '4142'}
1630167295.635954,4142,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '14', 'worker-id': '4142'}
1630167296.404375,4142,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '13', 'worker-id': '4142'}
1630167296.817578,4142,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '12', 'worker-id': '4142'}
1630167297.881011,4142,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '2', 'worker-id': '4142'}
1630167297.881778,4142,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '2', 'worker-id': '4142'}
1630167303.298605,4142,{'stage': 'SAGAT', 'action': 'side-panel-state', 'object': 'showing information panel', 'worker-id': '4142'}
1630167333.278502,4142,{'stage': 'SAGAT', 'action': 'side-panel-state', 'object': 'showing sagat questions', 'worker-id': '4142'}
1630167341.295869,4142,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '11', 'worker-id': '4142'}
1630167341.52212,4142,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '11', 'worker-id': '4142'}
1630167341.740717,4142,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '11', 'worker-id': '4142'}
1630167342.06525,4142,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '11', 'worker-id': '4142'}
1630167342.268339,4142,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '11', 'worker-id': '4142'}
1630167343.880931,4142,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '13', 'worker-id': '4142'}
1630167344.10506,4142,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '13', 'worker-id': '4142'}
1630167345.438647,4142,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '1', 'worker-id': '4142'}
1630167345.66836,4142,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '1', 'worker-id': '4142'}
1630167346.13019,4142,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '1', 'worker-id': '4142'}
1630167347.857318,4142,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '15', 'worker-id': '4142'}
1630167348.736232,4142,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '16', 'worker-id': '4142'}
1630167349.08693,4142,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '14', 'worker-id': '4142'}
1630167349.989636,4142,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '7', 'worker-id': '4142'}
1630167350.509172,4142,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '8', 'worker-id': '4142'}
1630167351.040218,4142,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '9', 'worker-id': '4142'}
1630167351.966803,4142,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '2', 'worker-id': '4142'}
1630167352.604451,4142,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '6', 'worker-id': '4142'}
1630167353.020364,4142,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '5', 'worker-id': '4142'}
1630167353.905838,4142,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '12', 'worker-id': '4142'}
1630167354.408773,4142,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '4', 'worker-id': '4142'}
1630167354.975891,4142,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '0', 'worker-id': '4142'}
