
1630332120.704763,6600,{'stage': 'tutorial', 'action': 'opened-tutorial', 'worker-id': '6600'}
1630332131.043274,6600,{'stage': 'tutorial', 'action': 'Consented to study', 'worker-id': '6600'}
1630332136.368871,6600,{'stage': 'tutorial', 'action': 'Consented to study', 'worker-id': '6600'}
1630332150.112802,6600,{'stage': 'tutorial', 'action': 'opened-tutorial', 'worker-id': '6600'}
1630332154.268595,6600,{'stage': 'tutorial', 'action': 'Consented to study', 'worker-id': '6600'}
1630332182.219188,6600,{'tag': 'Whatisyourage', 'type': 'dropdown', 'selection': 1, 'worker-id': '6600'}
1630332183.445485,6600,{'tag': 'Whatisyourgender', 'type': 'dropdown', 'selection': 1, 'worker-id': '6600'}
1630332186.921619,6600,{'tag': 'Howfamiliarareyouwithrobots', 'type': 'dropdown', 'selection': 1, 'worker-id': '6600'}
1630332288.621837,6600,{'stage': 'object tracking', 'action': 'opened-page', 'worker-id': '6600'}
1630332288.625463,6600,{'stage': 'object tracking', 'action': 'side-panel-state', 'object': 'showing introduction', 'worker-id': '6600'}
1630332293.149395,6600,{'stage': 'object tracking', 'action': 'side-panel-state', 'object': 'showing tutorial panel 1', 'worker-id': '6600'}
1630332293.151553,6600,{'stage': 'object tracking', 'action': 'side panel click', 'object': 'next button introduction', 'worker-id': '6600'}
1630332295.803744,6600,{'stage': 'object tracking', 'action': 'side-panel-click', 'object': 'begin tracking', 'worker-id': '6600'}
1630332315.811601,6600,{'stage': 'object tracking', 'action': 'side-panel-state', 'object': 'showing response panel', 'worker-id': '6600'}
1630332317.485255,6600,{'stage': 'object tracking', 'action': 'ball selected', 'object': 10, 'worker-id': '6600'}
1630332318.638486,6600,{'stage': 'object tracking', 'action': 'side-panel-click', 'object': 'side panel clicked done button', 'worker-id': '6600'}
1630332318.63912,6600,{'stage': 'object tracking', 'action': 'side-panel-state', 'object': 'showing tutorial panel 1', 'worker-id': '6600'}
1630332318.640403,6600,{'stage': 'object tracking', 'action': 'scoring', 'tracked': 1, 'score': 1, 'worker-id': '6600'}
1630332322.46656,6600,{'stage': 'object tracking', 'action': 'side-panel-click', 'object': 'begin tracking', 'worker-id': '6600'}
1630332342.654418,6600,{'stage': 'object tracking', 'action': 'side-panel-state', 'object': 'showing response panel', 'worker-id': '6600'}
1630332343.806879,6600,{'stage': 'object tracking', 'action': 'ball selected', 'object': 13, 'worker-id': '6600'}
1630332344.581838,6600,{'stage': 'object tracking', 'action': 'ball selected', 'object': 1, 'worker-id': '6600'}
1630332345.73728,6600,{'stage': 'object tracking', 'action': 'scoring', 'tracked': 2, 'score': 2, 'worker-id': '6600'}
1630332345.740047,6600,{'stage': 'object tracking', 'action': 'side-panel-state', 'object': 'showing tutorial panel 1', 'worker-id': '6600'}
1630332345.73883,6600,{'stage': 'object tracking', 'action': 'side-panel-click', 'object': 'side panel clicked done button', 'worker-id': '6600'}
1630332347.167869,6600,{'stage': 'object tracking', 'action': 'side-panel-click', 'object': 'begin tracking', 'worker-id': '6600'}
1630332367.108555,6600,{'stage': 'object tracking', 'action': 'side-panel-state', 'object': 'showing response panel', 'worker-id': '6600'}
1630332368.66373,6600,{'stage': 'object tracking', 'action': 'ball selected', 'object': 1, 'worker-id': '6600'}
1630332369.670235,6600,{'stage': 'object tracking', 'action': 'ball selected', 'object': 3, 'worker-id': '6600'}
1630332370.543461,6600,{'stage': 'object tracking', 'action': 'ball selected', 'object': 13, 'worker-id': '6600'}
1630332371.591052,6600,{'stage': 'object tracking', 'action': 'scoring', 'tracked': 3, 'score': 2, 'worker-id': '6600'}
1630332371.5918,6600,{'stage': 'object tracking', 'action': 'side-panel-state', 'object': 'showing tutorial panel 1', 'worker-id': '6600'}
1630332371.593169,6600,{'stage': 'object tracking', 'action': 'side-panel-click', 'object': 'side panel clicked done button', 'worker-id': '6600'}
1630332373.467693,6600,{'stage': 'object tracking', 'action': 'side-panel-click', 'object': 'begin tracking', 'worker-id': '6600'}
1630332393.523726,6600,{'stage': 'object tracking', 'action': 'side-panel-state', 'object': 'showing response panel', 'worker-id': '6600'}
1630332394.764446,6600,{'stage': 'object tracking', 'action': 'ball selected', 'object': 9, 'worker-id': '6600'}
1630332395.36697,6600,{'stage': 'object tracking', 'action': 'ball selected', 'object': 0, 'worker-id': '6600'}
1630332396.156265,6600,{'stage': 'object tracking', 'action': 'ball selected', 'object': 7, 'worker-id': '6600'}
1630332397.172218,6600,{'stage': 'object tracking', 'action': 'ball selected', 'object': 4, 'worker-id': '6600'}
1630332398.333278,6600,{'stage': 'object tracking', 'action': 'side-panel-click', 'object': 'side panel clicked done button', 'worker-id': '6600'}
1630332398.335879,6600,{'stage': 'object tracking', 'action': 'side-panel-state', 'object': 'showing tutorial panel 1', 'worker-id': '6600'}
1630332398.337099,6600,{'stage': 'object tracking', 'action': 'scoring', 'tracked': 4, 'score': 4, 'worker-id': '6600'}
1630332399.371897,6600,{'stage': 'object tracking', 'action': 'side-panel-click', 'object': 'begin tracking', 'worker-id': '6600'}
1630332419.426575,6600,{'stage': 'object tracking', 'action': 'side-panel-state', 'object': 'showing response panel', 'worker-id': '6600'}
1630332421.096509,6600,{'stage': 'object tracking', 'action': 'ball selected', 'object': 7, 'worker-id': '6600'}
1630332421.830958,6600,{'stage': 'object tracking', 'action': 'ball selected', 'object': 3, 'worker-id': '6600'}
1630332422.229924,6600,{'stage': 'object tracking', 'action': 'ball selected', 'object': 4, 'worker-id': '6600'}
1630332423.603682,6600,{'stage': 'object tracking', 'action': 'ball selected', 'object': 0, 'worker-id': '6600'}
1630332424.422318,6600,{'stage': 'object tracking', 'action': 'ball selected', 'object': 14, 'worker-id': '6600'}
1630332425.275585,6600,{'stage': 'object tracking', 'action': 'side-panel-state', 'object': 'showing tutorial panel 1', 'worker-id': '6600'}
1630332425.277043,6600,{'stage': 'object tracking', 'action': 'side-panel-click', 'object': 'side panel clicked done button', 'worker-id': '6600'}
1630332425.279912,6600,{'stage': 'object tracking', 'action': 'scoring', 'tracked': 5, 'score': 2, 'worker-id': '6600'}
1630332426.535605,6600,{'stage': 'object tracking', 'action': 'side-panel-click', 'object': 'begin tracking', 'worker-id': '6600'}
1630332446.487856,6600,{'stage': 'object tracking', 'action': 'side-panel-state', 'object': 'showing response panel', 'worker-id': '6600'}
1630332447.643609,6600,{'stage': 'object tracking', 'action': 'ball selected', 'object': 11, 'worker-id': '6600'}
1630332448.20401,6600,{'stage': 'object tracking', 'action': 'ball selected', 'object': 8, 'worker-id': '6600'}
1630332449.00365,6600,{'stage': 'object tracking', 'action': 'ball selected', 'object': 1, 'worker-id': '6600'}
1630332449.720094,6600,{'stage': 'object tracking', 'action': 'ball selected', 'object': 5, 'worker-id': '6600'}
