
1630353747.998249,7054,{'stage': 'tutorial', 'action': 'opened-tutorial', 'worker-id': '7054'}
1630353775.128332,7054,{'stage': 'tutorial', 'action': 'Consented to study', 'worker-id': '7054'}
1630353779.844538,7054,{'stage': 'tutorial', 'action': 'DID NOT consent to study', 'worker-id': '7054'}
1630353783.386644,7054,{'stage': 'tutorial', 'action': 'Consented to study', 'worker-id': '7054'}
1630353825.472967,7054,{'tag': 'Whatisyourage', 'type': 'dropdown', 'selection': 2, 'worker-id': '7054'}
1630353828.084308,7054,{'tag': 'Whatisyourage', 'type': 'dropdown', 'selection': 1, 'worker-id': '7054'}
1630353829.71963,7054,{'tag': 'Whatisyourgender', 'type': 'dropdown', 'selection': 2, 'worker-id': '7054'}
1630353844.176831,7054,{'tag': 'Howfamiliarareyouwithrobots', 'type': 'dropdown', 'selection': 3, 'worker-id': '7054'}
1630353924.111413,7054,{'stage': 'object tracking', 'action': 'side-panel-state', 'object': 'showing introduction', 'worker-id': '7054'}
1630353924.112213,7054,{'stage': 'object tracking', 'action': 'opened-page', 'worker-id': '7054'}
1630353927.206333,7054,{'stage': 'object tracking', 'action': 'side panel click', 'object': 'next button introduction', 'worker-id': '7054'}
1630353927.207709,7054,{'stage': 'object tracking', 'action': 'side-panel-state', 'object': 'showing tutorial panel 1', 'worker-id': '7054'}
1630353940.165796,7054,{'stage': 'object tracking', 'action': 'side-panel-click', 'object': 'begin tracking', 'worker-id': '7054'}
1630353960.027527,7054,{'stage': 'object tracking', 'action': 'side-panel-state', 'object': 'showing response panel', 'worker-id': '7054'}
1630353961.619181,7054,{'stage': 'object tracking', 'action': 'ball selected', 'object': 10, 'worker-id': '7054'}
1630353962.469615,7054,{'stage': 'object tracking', 'action': 'side-panel-click', 'object': 'side panel clicked done button', 'worker-id': '7054'}
1630353962.493382,7054,{'stage': 'object tracking', 'action': 'scoring', 'tracked': 1, 'score': 1, 'worker-id': '7054'}
1630353962.49447,7054,{'stage': 'object tracking', 'action': 'side-panel-state', 'object': 'showing tutorial panel 1', 'worker-id': '7054'}
1630353967.330067,7054,{'stage': 'object tracking', 'action': 'side-panel-click', 'object': 'begin tracking', 'worker-id': '7054'}
1630353987.474861,7054,{'stage': 'object tracking', 'action': 'side-panel-state', 'object': 'showing response panel', 'worker-id': '7054'}
