
1629214413.642514,7490,{'tag': 'Whatisyourage', 'type': 'dropdown', 'selection': 1, 'worker-id': '7490'}
1629214414.797987,7490,{'tag': 'Whatisyourgender', 'type': 'dropdown', 'selection': 1, 'worker-id': '7490'}
1629214420.102969,7490,{'tag': 'Howfamiliarareyouwithrobots', 'type': 'dropdown', 'selection': 1, 'worker-id': '7490'}
1629214611.407964,7490,{'tag': 'Whatisyourage', 'type': 'dropdown', 'selection': 1, 'worker-id': '7490'}
1629214613.048362,7490,{'tag': 'Whatisyourgender', 'type': 'dropdown', 'selection': 1, 'worker-id': '7490'}
1629214617.142994,7490,{'tag': 'Howfamiliarareyouwithrobots', 'type': 'dropdown', 'selection': 1, 'worker-id': '7490'}
1629214713.943433,7490,{'stage': 'SAGAT', 'action': 'opened-page', 'worker-id': '7490'}
1629214713.94882,7490,{'stage': 'SAGAT', 'action': 'side-panel-state', 'object': 'showing tutorial panel 1', 'worker-id': '7490'}
1629214752.988323,7490,{'stage': 'SAGAT', 'action': 'side-panel-click', 'object': 'next button tutorial 1', 'worker-id': '7490'}
1629214752.990359,7490,{'stage': 'SAGAT', 'action': 'side-panel-state', 'object': 'showing tutorial panel 2', 'worker-id': '7490'}
1629214816.76576,7490,{'stage': 'SAGAT', 'action': 'opened-page', 'worker-id': '7490'}
1629214816.771418,7490,{'stage': 'SAGAT', 'action': 'side-panel-state', 'object': 'showing tutorial panel 1', 'worker-id': '7490'}
1629214838.872447,7490,{'stage': 'SAGAT', 'action': 'side-panel-click', 'object': 'next button tutorial 1', 'worker-id': '7490'}
1629214838.874725,7490,{'stage': 'SAGAT', 'action': 'side-panel-state', 'object': 'showing tutorial panel 2', 'worker-id': '7490'}
1629214933.139191,7490,{'stage': 'SAGAT', 'action': 'side-panel-click', 'object': 'next button tutorial 2', 'worker-id': '7490'}
1629214933.14348,7490,{'stage': 'SAGAT', 'action': 'side-panel-state', 'object': 'showing tutorial panel 3', 'worker-id': '7490'}
1629214933.142618,7490,{'stage': 'SAGAT', 'action': 'side-panel-state', 'object': 'showing sagat questions', 'worker-id': '7490'}
1629214944.881604,7490,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '0', 'worker-id': '7490'}
1629214946.105855,7490,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '0', 'worker-id': '7490'}
1629214946.645698,7490,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '0', 'worker-id': '7490'}
1629214952.524448,7490,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '2', 'worker-id': '7490'}
