
1629309758.048449,8943,{'stage': 'tutorial', 'action': 'opened-tutorial', 'worker-id': '8943'}
1629309764.020527,8943,{'stage': 'tutorial', 'action': 'Consented to study', 'worker-id': '8943'}
1629309770.203101,8943,{'stage': 'tutorial', 'action': 'Consented to study', 'worker-id': '8943'}
1629309777.8363,8943,{'stage': 'tutorial', 'action': 'Consented to study', 'worker-id': '8943'}
1629309825.772966,8943,{'tag': 'Whatisyourage', 'type': 'dropdown', 'selection': 1, 'worker-id': '8943'}
1629309826.46853,8943,{'tag': 'Whatisyourgender', 'type': 'dropdown', 'selection': 1, 'worker-id': '8943'}
1629309828.630438,8943,{'tag': 'Howfamiliarareyouwithrobots', 'type': 'dropdown', 'selection': 1, 'worker-id': '8943'}
1629309926.174081,8943,{'stage': 'object tracking', 'action': 'opened-page', 'worker-id': '8943'}
1629309926.176353,8943,{'stage': 'object tracking', 'action': 'side-panel-state', 'object': 'showing introduction', 'worker-id': '8943'}
1629309937.581743,8943,{'stage': 'object tracking', 'action': 'side panel click', 'object': 'next button introduction', 'worker-id': '8943'}
1629309937.583519,8943,{'stage': 'object tracking', 'action': 'side-panel-state', 'object': 'showing tutorial panel 1', 'worker-id': '8943'}
1629309941.770809,8943,{'stage': 'object tracking', 'action': 'side-panel-click', 'object': 'begin tracking', 'worker-id': '8943'}
1629309961.787967,8943,{'stage': 'object tracking', 'action': 'side-panel-state', 'object': 'showing response panel', 'worker-id': '8943'}
1629309963.153411,8943,{'stage': 'object tracking', 'action': 'ball selected', 'object': 10, 'worker-id': '8943'}
1629309964.616017,8943,{'stage': 'object tracking', 'action': 'scoring', 'tracked': 1, 'score': 1, 'worker-id': '8943'}
1629309964.61882,8943,{'stage': 'object tracking', 'action': 'side-panel-click', 'object': 'side panel clicked done button', 'worker-id': '8943'}
1629309964.621207,8943,{'stage': 'object tracking', 'action': 'side-panel-state', 'object': 'showing tutorial panel 1', 'worker-id': '8943'}
1629309966.248255,8943,{'stage': 'object tracking', 'action': 'side-panel-click', 'object': 'begin tracking', 'worker-id': '8943'}
1629309986.73291,8943,{'stage': 'object tracking', 'action': 'side-panel-state', 'object': 'showing response panel', 'worker-id': '8943'}
1629309986.890602,8943,{'stage': 'object tracking', 'action': 'ball selected', 'object': 13, 'worker-id': '8943'}
1629309987.435441,8943,{'stage': 'object tracking', 'action': 'ball selected', 'object': 12, 'worker-id': '8943'}
1629309988.372798,8943,{'stage': 'object tracking', 'action': 'side-panel-state', 'object': 'showing tutorial panel 1', 'worker-id': '8943'}
1629309988.371759,8943,{'stage': 'object tracking', 'action': 'side-panel-click', 'object': 'side panel clicked done button', 'worker-id': '8943'}
1629309988.374195,8943,{'stage': 'object tracking', 'action': 'scoring', 'tracked': 2, 'score': 1, 'worker-id': '8943'}
1629309990.829316,8943,{'stage': 'object tracking', 'action': 'side-panel-click', 'object': 'begin tracking', 'worker-id': '8943'}
1629310010.893934,8943,{'stage': 'object tracking', 'action': 'side-panel-state', 'object': 'showing response panel', 'worker-id': '8943'}
1629310012.254558,8943,{'stage': 'object tracking', 'action': 'ball selected', 'object': 8, 'worker-id': '8943'}
1629310012.749697,8943,{'stage': 'object tracking', 'action': 'ball selected', 'object': 0, 'worker-id': '8943'}
1629310013.328395,8943,{'stage': 'object tracking', 'action': 'ball selected', 'object': 1, 'worker-id': '8943'}
1629310013.99208,8943,{'stage': 'object tracking', 'action': 'side-panel-click', 'object': 'side panel clicked done button', 'worker-id': '8943'}
1629310013.995862,8943,{'stage': 'object tracking', 'action': 'scoring', 'tracked': 3, 'score': 2, 'worker-id': '8943'}
1629310013.998819,8943,{'stage': 'object tracking', 'action': 'side-panel-state', 'object': 'showing tutorial panel 1', 'worker-id': '8943'}
1629310015.72557,8943,{'stage': 'object tracking', 'action': 'side-panel-click', 'object': 'begin tracking', 'worker-id': '8943'}
1629310035.879882,8943,{'stage': 'object tracking', 'action': 'side-panel-state', 'object': 'showing response panel', 'worker-id': '8943'}
1629310037.107747,8943,{'stage': 'object tracking', 'action': 'ball selected', 'object': 12, 'worker-id': '8943'}
1629310037.421813,8943,{'stage': 'object tracking', 'action': 'ball selected', 'object': 13, 'worker-id': '8943'}
1629310038.314864,8943,{'stage': 'object tracking', 'action': 'ball selected', 'object': 6, 'worker-id': '8943'}
1629310038.80808,8943,{'stage': 'object tracking', 'action': 'ball selected', 'object': 7, 'worker-id': '8943'}
1629310039.609192,8943,{'stage': 'object tracking', 'action': 'side-panel-click', 'object': 'side panel clicked done button', 'worker-id': '8943'}
1629310039.612396,8943,{'stage': 'object tracking', 'action': 'scoring', 'tracked': 4, 'score': 1, 'worker-id': '8943'}
