
1630339443.037005,8997,{'stage': 'tutorial', 'action': 'opened-tutorial', 'worker-id': '8997'}
1630339500.709402,8997,{'stage': 'tutorial', 'action': 'Consented to study', 'worker-id': '8997'}
1630339534.656059,8997,{'tag': 'Whatisyourage', 'type': 'dropdown', 'selection': 1, 'worker-id': '8997'}
1630339535.804405,8997,{'tag': 'Whatisyourgender', 'type': 'dropdown', 'selection': 1, 'worker-id': '8997'}
1630339537.685025,8997,{'tag': 'Howfamiliarareyouwithrobots', 'type': 'dropdown', 'selection': 1, 'worker-id': '8997'}
1630339703.656143,8997,{'stage': 'SAGAT', 'action': 'opened-page', 'worker-id': '8997'}
1630339703.662818,8997,{'stage': 'SAGAT', 'action': 'side-panel-state', 'object': 'showing tutorial panel 1', 'worker-id': '8997'}
1630339742.929512,8997,{'stage': 'SAGAT', 'action': 'side-panel-click', 'object': 'next button tutorial 1', 'worker-id': '8997'}
1630339742.930218,8997,{'stage': 'SAGAT', 'action': 'side-panel-state', 'object': 'showing tutorial panel 2', 'worker-id': '8997'}
1630339794.319395,8997,{'stage': 'SAGAT', 'action': 'side-panel-state', 'object': 'showing tutorial panel 3', 'worker-id': '8997'}
1630339794.32167,8997,{'stage': 'SAGAT', 'action': 'side-panel-click', 'object': 'next button tutorial 2', 'worker-id': '8997'}
1630339794.32072,8997,{'stage': 'SAGAT', 'action': 'side-panel-state', 'object': 'showing sagat questions', 'worker-id': '8997'}
1630339808.000206,8997,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '2', 'worker-id': '8997'}
1630339808.627314,8997,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '2', 'worker-id': '8997'}
1630339809.149568,8997,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '2', 'worker-id': '8997'}
1630339810.403158,8997,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '2', 'worker-id': '8997'}
1630339811.356485,8997,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '2', 'worker-id': '8997'}
1630339812.073823,8997,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '2', 'worker-id': '8997'}
1630339813.850558,8997,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '2', 'worker-id': '8997'}
1630339815.625141,8997,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '0', 'worker-id': '8997'}
1630339816.25313,8997,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '1', 'worker-id': '8997'}
1630339822.205579,8997,{'stage': 'SAGAT', 'action': 'side-panel-click', 'object': 'next button tutorial 3', 'worker-id': '8997'}
1630339822.207264,8997,{'stage': 'SAGAT', 'action': 'side-panel-state', 'object': 'showing introduction', 'worker-id': '8997'}
1630339855.003642,8997,{'stage': 'SAGAT', 'action': 'side-panel-state', 'object': 'showing information panel', 'worker-id': '8997'}
1630339855.004803,8997,{'stage': 'SAGAT', 'action': 'side-panel-click', 'object': 'next button introduction', 'worker-id': '8997'}
1630339866.80643,8997,{'stage': 'SAGAT', 'action': 'side-panel-state', 'object': 'showing information panel', 'worker-id': '8997'}
1630339866.807218,8997,{'stage': 'SAGAT', 'action': 'side-panel-click', 'object': 'next button information', 'worker-id': '8997'}
1630339896.783059,8997,{'stage': 'SAGAT', 'action': 'side-panel-state', 'object': 'showing sagat questions', 'worker-id': '8997'}
1630339900.858384,8997,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '11', 'worker-id': '8997'}
1630339901.587653,8997,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '11', 'worker-id': '8997'}
1630339903.258592,8997,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '2', 'worker-id': '8997'}
1630339904.125212,8997,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '2', 'worker-id': '8997'}
1630339904.93028,8997,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '2', 'worker-id': '8997'}
1630339907.228107,8997,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '1', 'worker-id': '8997'}
1630339907.958902,8997,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '0', 'worker-id': '8997'}
1630339908.586536,8997,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '4', 'worker-id': '8997'}
1630339909.107808,8997,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '3', 'worker-id': '8997'}
1630339909.798142,8997,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '10', 'worker-id': '8997'}
1630339910.674929,8997,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '12', 'worker-id': '8997'}
1630339911.405781,8997,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '5', 'worker-id': '8997'}
1630339911.82421,8997,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '6', 'worker-id': '8997'}
1630339912.450569,8997,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '13', 'worker-id': '8997'}
1630339913.181397,8997,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '1', 'worker-id': '8997'}
1630339913.808698,8997,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '1', 'worker-id': '8997'}
1630339914.94724,8997,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '7', 'worker-id': '8997'}
1630339915.815244,8997,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '8', 'worker-id': '8997'}
1630339916.315407,8997,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '9', 'worker-id': '8997'}
1630339917.25618,8997,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '16', 'worker-id': '8997'}
1630339918.090917,8997,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '15', 'worker-id': '8997'}
1630339918.853176,8997,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '14', 'worker-id': '8997'}
1630339919.866269,8997,{'stage': 'SAGAT', 'action': 'side-panel-state', 'object': 'showing information panel', 'worker-id': '8997'}
1630339949.948121,8997,{'stage': 'SAGAT', 'action': 'side-panel-state', 'object': 'showing sagat questions', 'worker-id': '8997'}
1630339951.256245,8997,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '11', 'worker-id': '8997'}
1630339951.911704,8997,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '13', 'worker-id': '8997'}
1630339952.034568,8997,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '13', 'worker-id': '8997'}
1630339952.873107,8997,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '16', 'worker-id': '8997'}
1630339953.291717,8997,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '16', 'worker-id': '8997'}
1630339953.585938,8997,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '16', 'worker-id': '8997'}
1630339954.64802,8997,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '13', 'worker-id': '8997'}
1630339955.530244,8997,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '11', 'worker-id': '8997'}
1630339956.729079,8997,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '10', 'worker-id': '8997'}
1630339957.229189,8997,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '3', 'worker-id': '8997'}
1630339957.641932,8997,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '4', 'worker-id': '8997'}
1630339958.478038,8997,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '0', 'worker-id': '8997'}
1630339959.244077,8997,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '1', 'worker-id': '8997'}
1630339959.975125,8997,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '6', 'worker-id': '8997'}
1630339960.392925,8997,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '5', 'worker-id': '8997'}
1630339961.12657,8997,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '12', 'worker-id': '8997'}
1630339961.812671,8997,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '14', 'worker-id': '8997'}
1630339962.364489,8997,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '15', 'worker-id': '8997'}
1630339962.963704,8997,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '7', 'worker-id': '8997'}
1630339963.423532,8997,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '8', 'worker-id': '8997'}
1630339963.839947,8997,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '9', 'worker-id': '8997'}
1630339964.572293,8997,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '2', 'worker-id': '8997'}
1630339965.302209,8997,{'stage': 'SAGAT', 'action': 'side-panel-state', 'object': 'showing information panel', 'worker-id': '8997'}
1630339995.279345,8997,{'stage': 'SAGAT', 'action': 'side-panel-state', 'object': 'showing sagat questions', 'worker-id': '8997'}
1630339996.428471,8997,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '11', 'worker-id': '8997'}
1630339997.368161,8997,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '4', 'worker-id': '8997'}
1630339998.008577,8997,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '13', 'worker-id': '8997'}
1630339998.180478,8997,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '13', 'worker-id': '8997'}
1630339998.516992,8997,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '13', 'worker-id': '8997'}
1630339999.144455,8997,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '13', 'worker-id': '8997'}
1630339999.194772,8997,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '13', 'worker-id': '8997'}
1630339999.770903,8997,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '13', 'worker-id': '8997'}
1630340000.710303,8997,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '4', 'worker-id': '8997'}
1630340001.429754,8997,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '4', 'worker-id': '8997'}
1630340002.173673,8997,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '11', 'worker-id': '8997'}
