
1629222947.216643,9115,{'stage': 'tutorial', 'action': 'opened-tutorial', 'worker-id': '9115'}
1629222970.298735,9115,{'stage': 'tutorial', 'action': 'DID NOT consent to study', 'worker-id': '9115'}
1629223451.543885,9115,{'stage': 'tutorial', 'action': 'opened-tutorial', 'worker-id': '9115'}
1629223456.896289,9115,{'stage': 'tutorial', 'action': 'opened-tutorial', 'worker-id': '9115'}
1629223506.673115,9115,{'stage': 'tutorial', 'action': 'Consented to study', 'worker-id': '9115'}
1629223522.512734,9115,{'stage': 'tutorial', 'action': 'Consented to study', 'worker-id': '9115'}
1629223529.00573,9115,{'stage': 'tutorial', 'action': 'Consented to study', 'worker-id': '9115'}
1629223531.857571,9115,{'stage': 'tutorial', 'action': 'Consented to study', 'worker-id': '9115'}
1629223534.450192,9115,{'stage': 'tutorial', 'action': 'Consented to study', 'worker-id': '9115'}
1629223538.152771,9115,{'stage': 'tutorial', 'action': 'Consented to study', 'worker-id': '9115'}
1629223585.582352,9115,{'tag': 'Whatisyourage', 'type': 'dropdown', 'selection': 1, 'worker-id': '9115'}
1629223587.170672,9115,{'tag': 'Whatisyourgender', 'type': 'dropdown', 'selection': 2, 'worker-id': '9115'}
1629223592.069098,9115,{'tag': 'Howfamiliarareyouwithrobots', 'type': 'dropdown', 'selection': 1, 'worker-id': '9115'}
1629223765.238915,9115,{'stage': 'SAGAT', 'action': 'side-panel-state', 'object': 'showing tutorial panel 1', 'worker-id': '9115'}
1629223765.283549,9115,{'stage': 'SAGAT', 'action': 'opened-page', 'worker-id': '9115'}
1629223801.00557,9115,{'stage': 'SAGAT', 'action': 'side-panel-click', 'object': 'next button tutorial 1', 'worker-id': '9115'}
1629223801.007073,9115,{'stage': 'SAGAT', 'action': 'side-panel-state', 'object': 'showing tutorial panel 2', 'worker-id': '9115'}
1629223892.805176,9115,{'stage': 'SAGAT', 'action': 'side-panel-click', 'object': 'next button tutorial 2', 'worker-id': '9115'}
1629223892.838493,9115,{'stage': 'SAGAT', 'action': 'side-panel-state', 'object': 'showing sagat questions', 'worker-id': '9115'}
1629223892.839496,9115,{'stage': 'SAGAT', 'action': 'side-panel-state', 'object': 'showing tutorial panel 3', 'worker-id': '9115'}
1629223910.914007,9115,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '1', 'worker-id': '9115'}
1629223911.662695,9115,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '2', 'worker-id': '9115'}
1629223913.619192,9115,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '0', 'worker-id': '9115'}
1629223917.606039,9115,{'stage': 'SAGAT', 'action': 'side-panel-click', 'object': 'next button tutorial 3', 'worker-id': '9115'}
1629223917.606661,9115,{'stage': 'SAGAT', 'action': 'side-panel-state', 'object': 'showing introduction', 'worker-id': '9115'}
1629223950.187399,9115,{'stage': 'SAGAT', 'action': 'side-panel-state', 'object': 'showing information panel', 'worker-id': '9115'}
1629223950.188505,9115,{'stage': 'SAGAT', 'action': 'side-panel-click', 'object': 'next button introduction', 'worker-id': '9115'}
1629223966.461936,9115,{'stage': 'SAGAT', 'action': 'side-panel-state', 'object': 'showing information panel', 'worker-id': '9115'}
1629223966.46276,9115,{'stage': 'SAGAT', 'action': 'side-panel-click', 'object': 'next button information', 'worker-id': '9115'}
1629223996.75609,9115,{'stage': 'SAGAT', 'action': 'side-panel-state', 'object': 'showing sagat questions', 'worker-id': '9115'}
1629224006.580155,9115,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '12', 'worker-id': '9115'}
1629224022.322405,9115,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '12', 'worker-id': '9115'}
1629224023.720115,9115,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '16', 'worker-id': '9115'}
1629224024.039305,9115,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '16', 'worker-id': '9115'}
1629224027.879584,9115,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '16', 'worker-id': '9115'}
1629224028.757177,9115,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '15', 'worker-id': '9115'}
1629224028.92381,9115,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '15', 'worker-id': '9115'}
1629224029.499471,9115,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '15', 'worker-id': '9115'}
1629224030.72729,9115,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '11', 'worker-id': '9115'}
1629224031.156009,9115,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '11', 'worker-id': '9115'}
1629224032.060883,9115,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '11', 'worker-id': '9115'}
1629224036.924002,9115,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '10', 'worker-id': '9115'}
1629224037.825498,9115,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '3', 'worker-id': '9115'}
1629224038.542374,9115,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '4', 'worker-id': '9115'}
1629224038.944188,9115,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '5', 'worker-id': '9115'}
1629224039.389024,9115,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '6', 'worker-id': '9115'}
1629224039.875948,9115,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '7', 'worker-id': '9115'}
1629224040.602047,9115,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '8', 'worker-id': '9115'}
1629224040.734646,9115,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '9', 'worker-id': '9115'}
1629224041.731251,9115,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '2', 'worker-id': '9115'}
1629224041.897856,9115,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '1', 'worker-id': '9115'}
1629224042.645354,9115,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '0', 'worker-id': '9115'}
1629224043.557999,9115,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '13', 'worker-id': '9115'}
1629224043.640876,9115,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '13', 'worker-id': '9115'}
1629224044.300946,9115,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '13', 'worker-id': '9115'}
1629224044.945187,9115,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '14', 'worker-id': '9115'}
1629224045.072351,9115,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '14', 'worker-id': '9115'}
1629224045.479459,9115,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '14', 'worker-id': '9115'}
1629224046.644411,9115,{'stage': 'SAGAT', 'action': 'side-panel-state', 'object': 'showing information panel', 'worker-id': '9115'}
1629224076.660865,9115,{'stage': 'SAGAT', 'action': 'side-panel-state', 'object': 'showing sagat questions', 'worker-id': '9115'}
1629224078.762781,9115,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '11', 'worker-id': '9115'}
1629224078.905298,9115,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '11', 'worker-id': '9115'}
1629224079.904122,9115,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '12', 'worker-id': '9115'}
1629224080.309095,9115,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '12', 'worker-id': '9115'}
1629224082.91632,9115,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '12', 'worker-id': '9115'}
1629224083.741132,9115,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '12', 'worker-id': '9115'}
1629224084.165658,9115,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '12', 'worker-id': '9115'}
1629224084.874371,9115,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '13', 'worker-id': '9115'}
1629224085.27155,9115,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '13', 'worker-id': '9115'}
1629224086.656934,9115,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '14', 'worker-id': '9115'}
1629224087.277226,9115,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '15', 'worker-id': '9115'}
1629224087.442033,9115,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '15', 'worker-id': '9115'}
1629224088.11634,9115,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '15', 'worker-id': '9115'}
1629224088.987094,9115,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '15', 'worker-id': '9115'}
1629224089.51597,9115,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '15', 'worker-id': '9115'}
1629224090.59583,9115,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '16', 'worker-id': '9115'}
1629224090.745577,9115,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '16', 'worker-id': '9115'}
1629224092.004735,9115,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '10', 'worker-id': '9115'}
1629224092.388938,9115,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '10', 'worker-id': '9115'}
1629224093.031154,9115,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '10', 'worker-id': '9115'}
1629224094.761376,9115,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '4', 'worker-id': '9115'}
1629224094.98097,9115,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '4', 'worker-id': '9115'}
1629224095.48939,9115,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '4', 'worker-id': '9115'}
1629224097.937815,9115,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '9', 'worker-id': '9115'}
1629224098.353032,9115,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '8', 'worker-id': '9115'}
1629224098.755473,9115,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '7', 'worker-id': '9115'}
1629224099.292692,9115,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '6', 'worker-id': '9115'}
1629224099.744811,9115,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '5', 'worker-id': '9115'}
1629224100.414628,9115,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '0', 'worker-id': '9115'}
1629224101.221129,9115,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '1', 'worker-id': '9115'}
1629224101.672103,9115,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '2', 'worker-id': '9115'}
1629224102.485068,9115,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '3', 'worker-id': '9115'}
1629224103.738137,9115,{'stage': 'SAGAT', 'action': 'side-panel-state', 'object': 'showing information panel', 'worker-id': '9115'}
1629224134.313797,9115,{'stage': 'SAGAT', 'action': 'side-panel-state', 'object': 'showing sagat questions', 'worker-id': '9115'}
1629224134.792425,9115,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '4', 'worker-id': '9115'}
1629224134.887129,9115,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '4', 'worker-id': '9115'}
1629224136.065181,9115,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '4', 'worker-id': '9115'}
1629224138.068249,9115,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '11', 'worker-id': '9115'}
1629224138.069336,9115,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '11', 'worker-id': '9115'}
1629224138.075821,9115,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '11', 'worker-id': '9115'}
1629224138.476238,9115,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '11', 'worker-id': '9115'}
1629224138.742814,9115,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '11', 'worker-id': '9115'}
1629224139.427232,9115,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '12', 'worker-id': '9115'}
1629224139.568926,9115,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '12', 'worker-id': '9115'}
1629224140.409367,9115,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '13', 'worker-id': '9115'}
1629224140.58248,9115,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '13', 'worker-id': '9115'}
1629224141.345739,9115,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '14', 'worker-id': '9115'}
1629224141.761161,9115,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '14', 'worker-id': '9115'}
1629224142.967352,9115,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '14', 'worker-id': '9115'}
1629224144.267414,9115,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '15', 'worker-id': '9115'}
1629224144.450304,9115,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '15', 'worker-id': '9115'}
1629224145.039186,9115,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '16', 'worker-id': '9115'}
1629224145.426579,9115,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '16', 'worker-id': '9115'}
1629224146.019602,9115,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '9', 'worker-id': '9115'}
1629224146.666757,9115,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '8', 'worker-id': '9115'}
1629224146.820893,9115,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '7', 'worker-id': '9115'}
1629224147.491642,9115,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '2', 'worker-id': '9115'}
1629224147.880545,9115,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '1', 'worker-id': '9115'}
1629224149.099101,9115,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '0', 'worker-id': '9115'}
1629224149.536908,9115,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '6', 'worker-id': '9115'}
1629224150.043622,9115,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '5', 'worker-id': '9115'}
1629224150.763407,9115,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '3', 'worker-id': '9115'}
1629224151.581889,9115,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '10', 'worker-id': '9115'}
1629224152.527546,9115,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '10', 'worker-id': '9115'}
1629224153.036542,9115,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '10', 'worker-id': '9115'}
1629224154.054677,9115,{'stage': 'SAGAT', 'action': 'side-panel-state', 'object': 'showing information panel', 'worker-id': '9115'}
