
1629821042.821961,9705,{'stage': 'tutorial', 'action': 'opened-tutorial', 'worker-id': '9705'}
1629821044.464575,9705,{'stage': 'tutorial', 'action': 'opened-tutorial', 'worker-id': '9705'}
1629821068.515575,9705,{'stage': 'tutorial', 'action': 'Consented to study', 'worker-id': '9705'}
1629821132.27068,9705,{'tag': 'Whatisyourage', 'type': 'dropdown', 'selection': 1, 'worker-id': '9705'}
1629821133.692519,9705,{'tag': 'Whatisyourgender', 'type': 'dropdown', 'selection': 1, 'worker-id': '9705'}
1629821144.249742,9705,{'tag': 'Howfamiliarareyouwithrobots', 'type': 'dropdown', 'selection': 3, 'worker-id': '9705'}
1629821238.179632,9705,{'stage': 'object tracking', 'action': 'opened-page', 'worker-id': '9705'}
1629821238.182116,9705,{'stage': 'object tracking', 'action': 'side-panel-state', 'object': 'showing introduction', 'worker-id': '9705'}
1629821246.911129,9705,{'stage': 'object tracking', 'action': 'side panel click', 'object': 'next button introduction', 'worker-id': '9705'}
1629821246.916983,9705,{'stage': 'object tracking', 'action': 'side-panel-state', 'object': 'showing tutorial panel 1', 'worker-id': '9705'}
1629821258.824659,9705,{'stage': 'object tracking', 'action': 'side-panel-click', 'object': 'begin tracking', 'worker-id': '9705'}
1629821279.08669,9705,{'stage': 'object tracking', 'action': 'side-panel-state', 'object': 'showing response panel', 'worker-id': '9705'}
1629821279.807473,9705,{'stage': 'object tracking', 'action': 'ball selected', 'object': 10, 'worker-id': '9705'}
1629821281.489104,9705,{'stage': 'object tracking', 'action': 'side-panel-state', 'object': 'showing tutorial panel 1', 'worker-id': '9705'}
1629821281.490357,9705,{'stage': 'object tracking', 'action': 'scoring', 'tracked': 1, 'score': 1, 'worker-id': '9705'}
1629821281.491422,9705,{'stage': 'object tracking', 'action': 'side-panel-click', 'object': 'side panel clicked done button', 'worker-id': '9705'}
1629821285.182271,9705,{'stage': 'object tracking', 'action': 'side-panel-click', 'object': 'begin tracking', 'worker-id': '9705'}
1629821305.194229,9705,{'stage': 'object tracking', 'action': 'side-panel-state', 'object': 'showing response panel', 'worker-id': '9705'}
1629821306.058677,9705,{'stage': 'object tracking', 'action': 'ball selected', 'object': 1, 'worker-id': '9705'}
1629821306.485453,9705,{'stage': 'object tracking', 'action': 'ball selected', 'object': 13, 'worker-id': '9705'}
1629821307.428478,9705,{'stage': 'object tracking', 'action': 'side-panel-click', 'object': 'side panel clicked done button', 'worker-id': '9705'}
1629821307.430854,9705,{'stage': 'object tracking', 'action': 'scoring', 'tracked': 2, 'score': 2, 'worker-id': '9705'}
1629821307.435079,9705,{'stage': 'object tracking', 'action': 'side-panel-state', 'object': 'showing tutorial panel 1', 'worker-id': '9705'}
1629821309.509272,9705,{'stage': 'object tracking', 'action': 'side-panel-click', 'object': 'begin tracking', 'worker-id': '9705'}
1629821329.744374,9705,{'stage': 'object tracking', 'action': 'side-panel-state', 'object': 'showing response panel', 'worker-id': '9705'}
1629821330.68567,9705,{'stage': 'object tracking', 'action': 'ball selected', 'object': 13, 'worker-id': '9705'}
1629821331.520906,9705,{'stage': 'object tracking', 'action': 'ball selected', 'object': 8, 'worker-id': '9705'}
1629821332.675787,9705,{'stage': 'object tracking', 'action': 'ball selected', 'object': 1, 'worker-id': '9705'}
1629821335.384669,9705,{'stage': 'object tracking', 'action': 'scoring', 'tracked': 3, 'score': 3, 'worker-id': '9705'}
1629821335.387201,9705,{'stage': 'object tracking', 'action': 'side-panel-click', 'object': 'side panel clicked done button', 'worker-id': '9705'}
1629821335.409915,9705,{'stage': 'object tracking', 'action': 'side-panel-state', 'object': 'showing tutorial panel 1', 'worker-id': '9705'}
1629821341.861183,9705,{'stage': 'object tracking', 'action': 'side-panel-click', 'object': 'begin tracking', 'worker-id': '9705'}
1629821361.709162,9705,{'stage': 'object tracking', 'action': 'side-panel-state', 'object': 'showing response panel', 'worker-id': '9705'}
1629821362.229,9705,{'stage': 'object tracking', 'action': 'ball selected', 'object': 4, 'worker-id': '9705'}
1629821364.00459,9705,{'stage': 'object tracking', 'action': 'ball selected', 'object': 5, 'worker-id': '9705'}
1629821364.839545,9705,{'stage': 'object tracking', 'action': 'ball selected', 'object': 9, 'worker-id': '9705'}
1629821365.361964,9705,{'stage': 'object tracking', 'action': 'ball selected', 'object': 1, 'worker-id': '9705'}
1629821366.295437,9705,{'stage': 'object tracking', 'action': 'side-panel-click', 'object': 'side panel clicked done button', 'worker-id': '9705'}
1629821366.296456,9705,{'stage': 'object tracking', 'action': 'side-panel-state', 'object': 'showing tutorial panel 1', 'worker-id': '9705'}
1629821366.320037,9705,{'stage': 'object tracking', 'action': 'scoring', 'tracked': 4, 'score': 2, 'worker-id': '9705'}
1629821372.777683,9705,{'stage': 'object tracking', 'action': 'side-panel-click', 'object': 'begin tracking', 'worker-id': '9705'}
1629821392.832832,9705,{'stage': 'object tracking', 'action': 'side-panel-state', 'object': 'showing response panel', 'worker-id': '9705'}
1629821393.354738,9705,{'stage': 'object tracking', 'action': 'ball selected', 'object': 14, 'worker-id': '9705'}
1629821393.876985,9705,{'stage': 'object tracking', 'action': 'ball selected', 'object': 8, 'worker-id': '9705'}
1629821394.505886,9705,{'stage': 'object tracking', 'action': 'ball selected', 'object': 12, 'worker-id': '9705'}
1629821395.026418,9705,{'stage': 'object tracking', 'action': 'ball selected', 'object': 11, 'worker-id': '9705'}
1629821397.285659,9705,{'stage': 'object tracking', 'action': 'ball selected', 'object': 3, 'worker-id': '9705'}
1629821398.369437,9705,{'stage': 'object tracking', 'action': 'scoring', 'tracked': 5, 'score': 3, 'worker-id': '9705'}
1629821398.371844,9705,{'stage': 'object tracking', 'action': 'side-panel-state', 'object': 'showing tutorial panel 1', 'worker-id': '9705'}
1629821398.374593,9705,{'stage': 'object tracking', 'action': 'side-panel-click', 'object': 'side panel clicked done button', 'worker-id': '9705'}
1629821400.666529,9705,{'stage': 'object tracking', 'action': 'side-panel-click', 'object': 'begin tracking', 'worker-id': '9705'}
1629821420.511719,9705,{'stage': 'object tracking', 'action': 'side-panel-state', 'object': 'showing response panel', 'worker-id': '9705'}
1629821421.660595,9705,{'stage': 'object tracking', 'action': 'ball selected', 'object': 13, 'worker-id': '9705'}
1629821422.498546,9705,{'stage': 'object tracking', 'action': 'ball selected', 'object': 2, 'worker-id': '9705'}
1629821422.573644,9705,{'stage': 'object tracking', 'action': 'ball selected', 'object': 4, 'worker-id': '9705'}
1629821423.01823,9705,{'stage': 'object tracking', 'action': 'ball selected', 'object': 10, 'worker-id': '9705'}
1629821423.214632,9705,{'stage': 'object tracking', 'action': 'ball selected', 'object': 3, 'worker-id': '9705'}
1629821423.750985,9705,{'stage': 'object tracking', 'action': 'ball selected', 'object': 5, 'worker-id': '9705'}
1629821425.525683,9705,{'stage': 'object tracking', 'action': 'scoring', 'tracked': 6, 'score': 3, 'worker-id': '9705'}
1629821425.52632,9705,{'stage': 'object tracking', 'action': 'side-panel-state', 'object': 'showing tutorial panel 1', 'worker-id': '9705'}
1629821425.527649,9705,{'stage': 'object tracking', 'action': 'side-panel-click', 'object': 'side panel clicked done button', 'worker-id': '9705'}
1629821444.312328,9705,{'stage': 'object tracking', 'action': 'side-panel-click', 'object': 'begin tracking', 'worker-id': '9705'}
1629821464.589496,9705,{'stage': 'object tracking', 'action': 'side-panel-state', 'object': 'showing response panel', 'worker-id': '9705'}
1629821465.216141,9705,{'stage': 'object tracking', 'action': 'ball selected', 'object': 6, 'worker-id': '9705'}
1629821466.262983,9705,{'stage': 'object tracking', 'action': 'ball selected', 'object': 9, 'worker-id': '9705'}
