
1616722895.219364,A10WRBLV9NMNH9,{'stage': 'portal', 'action': 'opened-portal', 'worker-id': 'A10WRBLV9NMNH9'}
1616722902.008012,A10WRBLV9NMNH9,{'stage': 'tutorial', 'action': 'opened-tutorial', 'worker-id': 'A10WRBLV9NMNH9'}
1616723439.45759,A10WRBLV9NMNH9,{'stage': 'portal', 'action': 'opened-portal', 'worker-id': 'A10WRBLV9NMNH9'}
1616723442.327684,A10WRBLV9NMNH9,{'stage': 'SAGAT', 'action': 'side-panel-state', 'object': 'showing tutorial panel 1', 'worker-id': 'A10WRBLV9NMNH9'}
1616723493.716802,A10WRBLV9NMNH9,{'stage': 'SAGAT', 'action': 'side-panel-click', 'object': 'next button tutorial 1', 'worker-id': 'A10WRBLV9NMNH9'}
1616723493.717624,A10WRBLV9NMNH9,{'stage': 'SAGAT', 'action': 'side-panel-state', 'object': 'showing tutorial panel 2', 'worker-id': 'A10WRBLV9NMNH9'}
1616723593.360982,A10WRBLV9NMNH9,{'stage': 'SAGAT', 'action': 'side-panel-click', 'object': 'next button tutorial 2', 'worker-id': 'A10WRBLV9NMNH9'}
1616723593.361798,A10WRBLV9NMNH9,{'stage': 'SAGAT', 'action': 'side-panel-state', 'object': 'showing sagat questions', 'worker-id': 'A10WRBLV9NMNH9'}
1616723593.431534,A10WRBLV9NMNH9,{'stage': 'SAGAT', 'action': 'side-panel-state', 'object': 'showing tutorial panel 3', 'worker-id': 'A10WRBLV9NMNH9'}
1616723604.955226,A10WRBLV9NMNH9,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '1', 'worker-id': 'A10WRBLV9NMNH9'}
1616723606.207782,A10WRBLV9NMNH9,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '1', 'worker-id': 'A10WRBLV9NMNH9'}
1616723606.563593,A10WRBLV9NMNH9,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '1', 'worker-id': 'A10WRBLV9NMNH9'}
1616723606.834421,A10WRBLV9NMNH9,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '1', 'worker-id': 'A10WRBLV9NMNH9'}
1616723607.565948,A10WRBLV9NMNH9,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '1', 'worker-id': 'A10WRBLV9NMNH9'}
1616723608.716211,A10WRBLV9NMNH9,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '2', 'worker-id': 'A10WRBLV9NMNH9'}
1616723609.341788,A10WRBLV9NMNH9,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '2', 'worker-id': 'A10WRBLV9NMNH9'}
1616723610.175164,A10WRBLV9NMNH9,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '2', 'worker-id': 'A10WRBLV9NMNH9'}
1616723610.327774,A10WRBLV9NMNH9,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '2', 'worker-id': 'A10WRBLV9NMNH9'}
1616723611.32602,A10WRBLV9NMNH9,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '1', 'worker-id': 'A10WRBLV9NMNH9'}
1616723612.056602,A10WRBLV9NMNH9,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '1', 'worker-id': 'A10WRBLV9NMNH9'}
1616723612.893777,A10WRBLV9NMNH9,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '1', 'worker-id': 'A10WRBLV9NMNH9'}
1616723613.623966,A10WRBLV9NMNH9,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '0', 'worker-id': 'A10WRBLV9NMNH9'}
1616723613.936589,A10WRBLV9NMNH9,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '0', 'worker-id': 'A10WRBLV9NMNH9'}
1616723614.220556,A10WRBLV9NMNH9,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '0', 'worker-id': 'A10WRBLV9NMNH9'}
1616723616.652385,A10WRBLV9NMNH9,{'stage': 'SAGAT', 'action': 'side-panel-click', 'object': 'next button tutorial 3', 'worker-id': 'A10WRBLV9NMNH9'}
1616723616.653853,A10WRBLV9NMNH9,{'stage': 'SAGAT', 'action': 'side-panel-state', 'object': 'showing introduction', 'worker-id': 'A10WRBLV9NMNH9'}
