
1617148660.699458,A147OXF9QMT2Z8,{'stage': 'portal', 'action': 'opened-portal', 'worker-id': 'A147OXF9QMT2Z8'}
1617148663.071107,A147OXF9QMT2Z8,{'stage': 'tutorial', 'action': 'opened-tutorial', 'worker-id': 'A147OXF9QMT2Z8'}
1617148672.29412,A147OXF9QMT2Z8,{'stage': 'portal', 'action': 'opened-portal', 'worker-id': 'A147OXF9QMT2Z8'}
1617148675.637549,A147OXF9QMT2Z8,{'stage': 'SAGAT', 'action': 'side-panel-state', 'object': 'showing tutorial panel 1', 'worker-id': 'A147OXF9QMT2Z8'}
1617148685.35258,A147OXF9QMT2Z8,{'stage': 'SAGAT', 'action': 'side-panel-click', 'object': 'next button tutorial 1', 'worker-id': 'A147OXF9QMT2Z8'}
1617148685.354117,A147OXF9QMT2Z8,{'stage': 'SAGAT', 'action': 'side-panel-state', 'object': 'showing tutorial panel 2', 'worker-id': 'A147OXF9QMT2Z8'}
1617148690.052551,A147OXF9QMT2Z8,{'stage': 'SAGAT', 'action': 'side-panel-state', 'object': 'showing sagat questions', 'worker-id': 'A147OXF9QMT2Z8'}
1617148690.051795,A147OXF9QMT2Z8,{'stage': 'SAGAT', 'action': 'side-panel-click', 'object': 'next button tutorial 2', 'worker-id': 'A147OXF9QMT2Z8'}
1617148690.154223,A147OXF9QMT2Z8,{'stage': 'SAGAT', 'action': 'side-panel-state', 'object': 'showing tutorial panel 3', 'worker-id': 'A147OXF9QMT2Z8'}
1617148693.39895,A147OXF9QMT2Z8,{'stage': 'SAGAT', 'action': 'side-panel-state', 'object': 'showing introduction', 'worker-id': 'A147OXF9QMT2Z8'}
1617148693.450282,A147OXF9QMT2Z8,{'stage': 'SAGAT', 'action': 'side-panel-click', 'object': 'next button tutorial 3', 'worker-id': 'A147OXF9QMT2Z8'}
1617148717.102797,A147OXF9QMT2Z8,{'stage': 'SAGAT', 'action': 'side-panel-click', 'object': 'next button introduction', 'worker-id': 'A147OXF9QMT2Z8'}
1617148717.127728,A147OXF9QMT2Z8,{'stage': 'SAGAT', 'action': 'side-panel-state', 'object': 'showing information panel', 'worker-id': 'A147OXF9QMT2Z8'}
1617148720.654364,A147OXF9QMT2Z8,{'stage': 'SAGAT', 'action': 'side-panel-state', 'object': 'showing information panel', 'worker-id': 'A147OXF9QMT2Z8'}
1617148720.65442,A147OXF9QMT2Z8,{'stage': 'SAGAT', 'action': 'side-panel-click', 'object': 'next button information', 'worker-id': 'A147OXF9QMT2Z8'}
1617148750.943718,A147OXF9QMT2Z8,{'stage': 'SAGAT', 'action': 'side-panel-state', 'object': 'showing sagat questions', 'worker-id': 'A147OXF9QMT2Z8'}
1617148756.479719,A147OXF9QMT2Z8,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '11', 'worker-id': 'A147OXF9QMT2Z8'}
1617148757.234798,A147OXF9QMT2Z8,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '12', 'worker-id': 'A147OXF9QMT2Z8'}
1617148757.929761,A147OXF9QMT2Z8,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '13', 'worker-id': 'A147OXF9QMT2Z8'}
1617148758.716711,A147OXF9QMT2Z8,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '14', 'worker-id': 'A147OXF9QMT2Z8'}
1617148759.452744,A147OXF9QMT2Z8,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '15', 'worker-id': 'A147OXF9QMT2Z8'}
