
1616789775.914403,A1IC1DQ0QQBOOZ,{'stage': 'portal', 'action': 'opened-portal', 'worker-id': 'A1IC1DQ0QQBOOZ'}
1616789778.420233,A1IC1DQ0QQBOOZ,{'stage': 'tutorial', 'action': 'opened-tutorial', 'worker-id': 'A1IC1DQ0QQBOOZ'}
1616789785.417663,A1IC1DQ0QQBOOZ,{'stage': 'portal', 'action': 'opened-portal', 'worker-id': 'A1IC1DQ0QQBOOZ'}
1616789790.257814,A1IC1DQ0QQBOOZ,{'stage': 'SAGAT', 'action': 'side-panel-state', 'object': 'showing tutorial panel 1', 'worker-id': 'A1IC1DQ0QQBOOZ'}
1616789797.638068,A1IC1DQ0QQBOOZ,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '0', 'worker-id': 'A1IC1DQ0QQBOOZ'}
1616789798.578494,A1IC1DQ0QQBOOZ,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '2', 'worker-id': 'A1IC1DQ0QQBOOZ'}
1616789800.771874,A1IC1DQ0QQBOOZ,{'stage': 'SAGAT', 'action': 'side-panel-state', 'object': 'showing tutorial panel 2', 'worker-id': 'A1IC1DQ0QQBOOZ'}
1616789800.797744,A1IC1DQ0QQBOOZ,{'stage': 'SAGAT', 'action': 'side-panel-click', 'object': 'next button tutorial 1', 'worker-id': 'A1IC1DQ0QQBOOZ'}
1616789802.654493,A1IC1DQ0QQBOOZ,{'stage': 'SAGAT', 'action': 'side-panel-click', 'object': 'next button tutorial 2', 'worker-id': 'A1IC1DQ0QQBOOZ'}
1616789802.655272,A1IC1DQ0QQBOOZ,{'stage': 'SAGAT', 'action': 'side-panel-state', 'object': 'showing tutorial panel 3', 'worker-id': 'A1IC1DQ0QQBOOZ'}
1616789802.656774,A1IC1DQ0QQBOOZ,{'stage': 'SAGAT', 'action': 'side-panel-state', 'object': 'showing sagat questions', 'worker-id': 'A1IC1DQ0QQBOOZ'}
1616789804.547463,A1IC1DQ0QQBOOZ,{'stage': 'SAGAT', 'action': 'side-panel-state', 'object': 'showing introduction', 'worker-id': 'A1IC1DQ0QQBOOZ'}
1616789804.547919,A1IC1DQ0QQBOOZ,{'stage': 'SAGAT', 'action': 'side-panel-click', 'object': 'next button tutorial 3', 'worker-id': 'A1IC1DQ0QQBOOZ'}
