
1621129121.144926,A1R8A8BK2VN7RH,{'stage': 'portal', 'action': 'opened-portal', 'worker-id': 'A1R8A8BK2VN7RH'}
1621129147.535057,A1R8A8BK2VN7RH,{'stage': 'portal', 'action': 'opened-portal', 'worker-id': 'A1R8A8BK2VN7RH'}
1621129153.256276,A1R8A8BK2VN7RH,{'stage': 'SAGAT', 'action': 'side-panel-state', 'object': 'showing tutorial panel 1', 'worker-id': 'A1R8A8BK2VN7RH'}
1621129189.931776,A1R8A8BK2VN7RH,{'stage': 'SAGAT', 'action': 'side-panel-state', 'object': 'showing tutorial panel 2', 'worker-id': 'A1R8A8BK2VN7RH'}
1621129189.932617,A1R8A8BK2VN7RH,{'stage': 'SAGAT', 'action': 'side-panel-click', 'object': 'next button tutorial 1', 'worker-id': 'A1R8A8BK2VN7RH'}
1621129272.868526,A1R8A8BK2VN7RH,{'stage': 'SAGAT', 'action': 'side-panel-state', 'object': 'showing sagat questions', 'worker-id': 'A1R8A8BK2VN7RH'}
1621129272.869119,A1R8A8BK2VN7RH,{'stage': 'SAGAT', 'action': 'side-panel-click', 'object': 'next button tutorial 2', 'worker-id': 'A1R8A8BK2VN7RH'}
1621129272.886531,A1R8A8BK2VN7RH,{'stage': 'SAGAT', 'action': 'side-panel-state', 'object': 'showing tutorial panel 3', 'worker-id': 'A1R8A8BK2VN7RH'}
1621129284.239661,A1R8A8BK2VN7RH,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '0', 'worker-id': 'A1R8A8BK2VN7RH'}
1621129285.152419,A1R8A8BK2VN7RH,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '2', 'worker-id': 'A1R8A8BK2VN7RH'}
1621129286.39169,A1R8A8BK2VN7RH,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '1', 'worker-id': 'A1R8A8BK2VN7RH'}
1621129286.995834,A1R8A8BK2VN7RH,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '1', 'worker-id': 'A1R8A8BK2VN7RH'}
1621129287.237676,A1R8A8BK2VN7RH,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '1', 'worker-id': 'A1R8A8BK2VN7RH'}
1621129288.536593,A1R8A8BK2VN7RH,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '1', 'worker-id': 'A1R8A8BK2VN7RH'}
1621129289.463083,A1R8A8BK2VN7RH,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '2', 'worker-id': 'A1R8A8BK2VN7RH'}
1621129290.071085,A1R8A8BK2VN7RH,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '2', 'worker-id': 'A1R8A8BK2VN7RH'}
1621129290.681942,A1R8A8BK2VN7RH,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '2', 'worker-id': 'A1R8A8BK2VN7RH'}
1621129291.606942,A1R8A8BK2VN7RH,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '0', 'worker-id': 'A1R8A8BK2VN7RH'}
1621129291.676873,A1R8A8BK2VN7RH,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '0', 'worker-id': 'A1R8A8BK2VN7RH'}
1621129291.863319,A1R8A8BK2VN7RH,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '0', 'worker-id': 'A1R8A8BK2VN7RH'}
1621129292.72838,A1R8A8BK2VN7RH,{'stage': 'SAGAT', 'action': 'side-panel-state', 'object': 'showing introduction', 'worker-id': 'A1R8A8BK2VN7RH'}
1621129292.729644,A1R8A8BK2VN7RH,{'stage': 'SAGAT', 'action': 'side-panel-click', 'object': 'next button tutorial 3', 'worker-id': 'A1R8A8BK2VN7RH'}
1621129307.271434,A1R8A8BK2VN7RH,{'stage': 'SAGAT', 'action': 'side-panel-state', 'object': 'showing information panel', 'worker-id': 'A1R8A8BK2VN7RH'}
1621129307.27282,A1R8A8BK2VN7RH,{'stage': 'SAGAT', 'action': 'side-panel-click', 'object': 'next button introduction', 'worker-id': 'A1R8A8BK2VN7RH'}
1621129340.146049,A1R8A8BK2VN7RH,{'stage': 'SAGAT', 'action': 'side-panel-state', 'object': 'showing information panel', 'worker-id': 'A1R8A8BK2VN7RH'}
1621129340.150154,A1R8A8BK2VN7RH,{'stage': 'SAGAT', 'action': 'side-panel-click', 'object': 'next button information', 'worker-id': 'A1R8A8BK2VN7RH'}
1621129370.257727,A1R8A8BK2VN7RH,{'stage': 'SAGAT', 'action': 'side-panel-state', 'object': 'showing sagat questions', 'worker-id': 'A1R8A8BK2VN7RH'}
1621129384.081054,A1R8A8BK2VN7RH,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '11', 'worker-id': 'A1R8A8BK2VN7RH'}
1621129385.923198,A1R8A8BK2VN7RH,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '12', 'worker-id': 'A1R8A8BK2VN7RH'}
1621129388.069112,A1R8A8BK2VN7RH,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '13', 'worker-id': 'A1R8A8BK2VN7RH'}
1621129388.99882,A1R8A8BK2VN7RH,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '14', 'worker-id': 'A1R8A8BK2VN7RH'}
1621129389.394832,A1R8A8BK2VN7RH,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '15', 'worker-id': 'A1R8A8BK2VN7RH'}
1621129390.220489,A1R8A8BK2VN7RH,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '16', 'worker-id': 'A1R8A8BK2VN7RH'}
1621129390.83311,A1R8A8BK2VN7RH,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '9', 'worker-id': 'A1R8A8BK2VN7RH'}
1621129391.139764,A1R8A8BK2VN7RH,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '8', 'worker-id': 'A1R8A8BK2VN7RH'}
1621129392.062231,A1R8A8BK2VN7RH,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '7', 'worker-id': 'A1R8A8BK2VN7RH'}
1621129392.675889,A1R8A8BK2VN7RH,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '2', 'worker-id': 'A1R8A8BK2VN7RH'}
1621129394.220946,A1R8A8BK2VN7RH,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '1', 'worker-id': 'A1R8A8BK2VN7RH'}
1621129394.828922,A1R8A8BK2VN7RH,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '6', 'worker-id': 'A1R8A8BK2VN7RH'}
1621129395.447924,A1R8A8BK2VN7RH,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '5', 'worker-id': 'A1R8A8BK2VN7RH'}
1621129396.061845,A1R8A8BK2VN7RH,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '4', 'worker-id': 'A1R8A8BK2VN7RH'}
1621129397.285919,A1R8A8BK2VN7RH,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '0', 'worker-id': 'A1R8A8BK2VN7RH'}
1621129398.820494,A1R8A8BK2VN7RH,{'stage': 'SAGAT', 'action': 'side-panel-click', 'object': 'next button sagat questions', 'worker-id': 'A1R8A8BK2VN7RH'}
1621129398.821426,A1R8A8BK2VN7RH,{'stage': 'SAGAT', 'action': 'side-panel-state', 'object': 'showing misunderstanding panel', 'worker-id': 'A1R8A8BK2VN7RH'}
1621129416.024062,A1R8A8BK2VN7RH,{'stage': 'SAGAT', 'action': 'side-panel-state', 'object': 'showing sagat questions', 'worker-id': 'A1R8A8BK2VN7RH'}
1621129416.0254,A1R8A8BK2VN7RH,{'stage': 'SAGAT', 'action': 'side-panel-click', 'object': 'next button misunderstanding panel', 'worker-id': 'A1R8A8BK2VN7RH'}
1621129422.174297,A1R8A8BK2VN7RH,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '10', 'worker-id': 'A1R8A8BK2VN7RH'}
1621129423.398937,A1R8A8BK2VN7RH,{'stage': 'SAGAT', 'action': 'side-panel-click', 'object': 'next button sagat questions', 'worker-id': 'A1R8A8BK2VN7RH'}
1621129423.399617,A1R8A8BK2VN7RH,{'stage': 'SAGAT', 'action': 'side-panel-state', 'object': 'showing information panel', 'worker-id': 'A1R8A8BK2VN7RH'}
1621129453.503906,A1R8A8BK2VN7RH,{'stage': 'SAGAT', 'action': 'side-panel-state', 'object': 'showing sagat questions', 'worker-id': 'A1R8A8BK2VN7RH'}
1621129454.130195,A1R8A8BK2VN7RH,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '11', 'worker-id': 'A1R8A8BK2VN7RH'}
1621129454.732269,A1R8A8BK2VN7RH,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '11', 'worker-id': 'A1R8A8BK2VN7RH'}
1621129455.967586,A1R8A8BK2VN7RH,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '11', 'worker-id': 'A1R8A8BK2VN7RH'}
1621129457.188961,A1R8A8BK2VN7RH,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '10', 'worker-id': 'A1R8A8BK2VN7RH'}
1621129457.922661,A1R8A8BK2VN7RH,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '3', 'worker-id': 'A1R8A8BK2VN7RH'}
1621129458.269299,A1R8A8BK2VN7RH,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '4', 'worker-id': 'A1R8A8BK2VN7RH'}
1621129459.034961,A1R8A8BK2VN7RH,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '0', 'worker-id': 'A1R8A8BK2VN7RH'}
1621129459.646814,A1R8A8BK2VN7RH,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '12', 'worker-id': 'A1R8A8BK2VN7RH'}
1621129460.260805,A1R8A8BK2VN7RH,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '13', 'worker-id': 'A1R8A8BK2VN7RH'}
1621129460.864428,A1R8A8BK2VN7RH,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '6', 'worker-id': 'A1R8A8BK2VN7RH'}
1621129461.184904,A1R8A8BK2VN7RH,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '5', 'worker-id': 'A1R8A8BK2VN7RH'}
1621129462.110033,A1R8A8BK2VN7RH,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '1', 'worker-id': 'A1R8A8BK2VN7RH'}
1621129462.412913,A1R8A8BK2VN7RH,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '7', 'worker-id': 'A1R8A8BK2VN7RH'}
