
1617301092.787802,A26UIS59SY4NM6,{'stage': 'portal', 'action': 'opened-portal', 'worker-id': 'A26UIS59SY4NM6'}
1617301096.964848,A26UIS59SY4NM6,{'stage': 'tutorial', 'action': 'opened-tutorial', 'worker-id': 'A26UIS59SY4NM6'}
1617301124.560524,A26UIS59SY4NM6,{'stage': 'portal', 'action': 'opened-portal', 'worker-id': 'A26UIS59SY4NM6'}
1617301127.266116,A26UIS59SY4NM6,{'stage': 'SAGAT', 'action': 'side-panel-state', 'object': 'showing tutorial panel 1', 'worker-id': 'A26UIS59SY4NM6'}
1617301157.967838,A26UIS59SY4NM6,{'stage': 'SAGAT', 'action': 'side-panel-state', 'object': 'showing tutorial panel 2', 'worker-id': 'A26UIS59SY4NM6'}
1617301157.96928,A26UIS59SY4NM6,{'stage': 'SAGAT', 'action': 'side-panel-click', 'object': 'next button tutorial 1', 'worker-id': 'A26UIS59SY4NM6'}
1617301216.456968,A26UIS59SY4NM6,{'stage': 'SAGAT', 'action': 'side-panel-click', 'object': 'next button tutorial 2', 'worker-id': 'A26UIS59SY4NM6'}
1617301216.457707,A26UIS59SY4NM6,{'stage': 'SAGAT', 'action': 'side-panel-state', 'object': 'showing sagat questions', 'worker-id': 'A26UIS59SY4NM6'}
1617301216.456548,A26UIS59SY4NM6,{'stage': 'SAGAT', 'action': 'side-panel-state', 'object': 'showing tutorial panel 3', 'worker-id': 'A26UIS59SY4NM6'}
1617301227.197316,A26UIS59SY4NM6,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '2', 'worker-id': 'A26UIS59SY4NM6'}
1617301227.945071,A26UIS59SY4NM6,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '2', 'worker-id': 'A26UIS59SY4NM6'}
1617301228.363988,A26UIS59SY4NM6,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '2', 'worker-id': 'A26UIS59SY4NM6'}
1617301228.469191,A26UIS59SY4NM6,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '2', 'worker-id': 'A26UIS59SY4NM6'}
1617301229.303305,A26UIS59SY4NM6,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '0', 'worker-id': 'A26UIS59SY4NM6'}
1617301229.512063,A26UIS59SY4NM6,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '0', 'worker-id': 'A26UIS59SY4NM6'}
1617301229.720393,A26UIS59SY4NM6,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '0', 'worker-id': 'A26UIS59SY4NM6'}
1617301229.837006,A26UIS59SY4NM6,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '0', 'worker-id': 'A26UIS59SY4NM6'}
1617301230.452323,A26UIS59SY4NM6,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '1', 'worker-id': 'A26UIS59SY4NM6'}
1617301230.661062,A26UIS59SY4NM6,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '1', 'worker-id': 'A26UIS59SY4NM6'}
1617301230.82076,A26UIS59SY4NM6,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '1', 'worker-id': 'A26UIS59SY4NM6'}
1617301231.078732,A26UIS59SY4NM6,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '1', 'worker-id': 'A26UIS59SY4NM6'}
1617301232.860511,A26UIS59SY4NM6,{'stage': 'SAGAT', 'action': 'side-panel-click', 'object': 'next button tutorial 3', 'worker-id': 'A26UIS59SY4NM6'}
1617301232.886225,A26UIS59SY4NM6,{'stage': 'SAGAT', 'action': 'side-panel-state', 'object': 'showing introduction', 'worker-id': 'A26UIS59SY4NM6'}
1617301238.602096,A26UIS59SY4NM6,{'stage': 'SAGAT', 'action': 'side-panel-state', 'object': 'showing information panel', 'worker-id': 'A26UIS59SY4NM6'}
1617301238.605503,A26UIS59SY4NM6,{'stage': 'SAGAT', 'action': 'side-panel-click', 'object': 'next button introduction', 'worker-id': 'A26UIS59SY4NM6'}
1617301258.258513,A26UIS59SY4NM6,{'stage': 'SAGAT', 'action': 'side-panel-click', 'object': 'next button information', 'worker-id': 'A26UIS59SY4NM6'}
1617301258.260723,A26UIS59SY4NM6,{'stage': 'SAGAT', 'action': 'side-panel-state', 'object': 'showing information panel', 'worker-id': 'A26UIS59SY4NM6'}
1617301260.534065,A26UIS59SY4NM6,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '2', 'worker-id': 'A26UIS59SY4NM6'}
1617301290.086189,A26UIS59SY4NM6,{'stage': 'SAGAT', 'action': 'side-panel-state', 'object': 'showing sagat questions', 'worker-id': 'A26UIS59SY4NM6'}
