
1619646844.689451,A2AXY7I6TCRVP5,{'stage': 'portal', 'action': 'opened-portal', 'worker-id': 'A2AXY7I6TCRVP5'}
1619646847.196175,A2AXY7I6TCRVP5,{'stage': 'tutorial', 'action': 'opened-tutorial', 'worker-id': 'A2AXY7I6TCRVP5'}
1619646862.787369,A2AXY7I6TCRVP5,{'stage': 'portal', 'action': 'opened-portal', 'worker-id': 'A2AXY7I6TCRVP5'}
1619646866.096265,A2AXY7I6TCRVP5,{'stage': 'SAGAT', 'action': 'side-panel-state', 'object': 'showing tutorial panel 1', 'worker-id': 'A2AXY7I6TCRVP5'}
1619646872.085701,A2AXY7I6TCRVP5,{'stage': 'SAGAT', 'action': 'side-panel-state', 'object': 'showing tutorial panel 2', 'worker-id': 'A2AXY7I6TCRVP5'}
1619646872.088053,A2AXY7I6TCRVP5,{'stage': 'SAGAT', 'action': 'side-panel-click', 'object': 'next button tutorial 1', 'worker-id': 'A2AXY7I6TCRVP5'}
1619646876.772023,A2AXY7I6TCRVP5,{'stage': 'SAGAT', 'action': 'side-panel-state', 'object': 'showing sagat questions', 'worker-id': 'A2AXY7I6TCRVP5'}
1619646876.777325,A2AXY7I6TCRVP5,{'stage': 'SAGAT', 'action': 'side-panel-click', 'object': 'next button tutorial 2', 'worker-id': 'A2AXY7I6TCRVP5'}
1619646876.7995,A2AXY7I6TCRVP5,{'stage': 'SAGAT', 'action': 'side-panel-state', 'object': 'showing tutorial panel 3', 'worker-id': 'A2AXY7I6TCRVP5'}
1619646877.934197,A2AXY7I6TCRVP5,{'stage': 'SAGAT', 'action': 'side-panel-state', 'object': 'showing introduction', 'worker-id': 'A2AXY7I6TCRVP5'}
1619646877.935667,A2AXY7I6TCRVP5,{'stage': 'SAGAT', 'action': 'side-panel-click', 'object': 'next button tutorial 3', 'worker-id': 'A2AXY7I6TCRVP5'}
1619646880.857381,A2AXY7I6TCRVP5,{'stage': 'SAGAT', 'action': 'side-panel-state', 'object': 'showing information panel', 'worker-id': 'A2AXY7I6TCRVP5'}
1619646880.858355,A2AXY7I6TCRVP5,{'stage': 'SAGAT', 'action': 'side-panel-click', 'object': 'next button introduction', 'worker-id': 'A2AXY7I6TCRVP5'}
1619646882.007192,A2AXY7I6TCRVP5,{'stage': 'SAGAT', 'action': 'side-panel-click', 'object': 'next button information', 'worker-id': 'A2AXY7I6TCRVP5'}
1619646882.008626,A2AXY7I6TCRVP5,{'stage': 'SAGAT', 'action': 'side-panel-state', 'object': 'showing information panel', 'worker-id': 'A2AXY7I6TCRVP5'}
1619646912.581596,A2AXY7I6TCRVP5,{'stage': 'SAGAT', 'action': 'side-panel-state', 'object': 'showing sagat questions', 'worker-id': 'A2AXY7I6TCRVP5'}
1619647093.32038,A2AXY7I6TCRVP5,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '0', 'worker-id': 'A2AXY7I6TCRVP5'}
1619647093.826305,A2AXY7I6TCRVP5,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '4', 'worker-id': 'A2AXY7I6TCRVP5'}
1619647094.431008,A2AXY7I6TCRVP5,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '3', 'worker-id': 'A2AXY7I6TCRVP5'}
1619647095.165176,A2AXY7I6TCRVP5,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '10', 'worker-id': 'A2AXY7I6TCRVP5'}
1619647095.786664,A2AXY7I6TCRVP5,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '11', 'worker-id': 'A2AXY7I6TCRVP5'}
1619647096.309393,A2AXY7I6TCRVP5,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '12', 'worker-id': 'A2AXY7I6TCRVP5'}
1619647096.832723,A2AXY7I6TCRVP5,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '13', 'worker-id': 'A2AXY7I6TCRVP5'}
