
1617313807.884913,A2EJ7U3TZAKROG,{'stage': 'portal', 'action': 'opened-portal', 'worker-id': 'A2EJ7U3TZAKROG'}
1617313842.228274,A2EJ7U3TZAKROG,{'stage': 'portal', 'action': 'opened-portal', 'worker-id': 'A2EJ7U3TZAKROG'}
1617313845.189166,A2EJ7U3TZAKROG,{'stage': 'SAGAT', 'action': 'side-panel-state', 'object': 'showing tutorial panel 1', 'worker-id': 'A2EJ7U3TZAKROG'}
1617313877.762652,A2EJ7U3TZAKROG,{'stage': 'SAGAT', 'action': 'side-panel-state', 'object': 'showing tutorial panel 2', 'worker-id': 'A2EJ7U3TZAKROG'}
1617313877.763316,A2EJ7U3TZAKROG,{'stage': 'SAGAT', 'action': 'side-panel-click', 'object': 'next button tutorial 1', 'worker-id': 'A2EJ7U3TZAKROG'}
1617313896.250186,A2EJ7U3TZAKROG,{'stage': 'SAGAT', 'action': 'side-panel-state', 'object': 'showing tutorial panel 3', 'worker-id': 'A2EJ7U3TZAKROG'}
1617313896.250652,A2EJ7U3TZAKROG,{'stage': 'SAGAT', 'action': 'side-panel-state', 'object': 'showing sagat questions', 'worker-id': 'A2EJ7U3TZAKROG'}
1617313896.251726,A2EJ7U3TZAKROG,{'stage': 'SAGAT', 'action': 'side-panel-click', 'object': 'next button tutorial 2', 'worker-id': 'A2EJ7U3TZAKROG'}
1617313906.486009,A2EJ7U3TZAKROG,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '1', 'worker-id': 'A2EJ7U3TZAKROG'}
1617313907.008592,A2EJ7U3TZAKROG,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '1', 'worker-id': 'A2EJ7U3TZAKROG'}
1617313907.321964,A2EJ7U3TZAKROG,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '1', 'worker-id': 'A2EJ7U3TZAKROG'}
1617313907.73953,A2EJ7U3TZAKROG,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '1', 'worker-id': 'A2EJ7U3TZAKROG'}
1617313908.471028,A2EJ7U3TZAKROG,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '1', 'worker-id': 'A2EJ7U3TZAKROG'}
