
1623644399.613398,A2FL477TMKC91L,{'stage': 'portal', 'action': 'opened-portal', 'worker-id': 'A2FL477TMKC91L'}
1623644404.734416,A2FL477TMKC91L,{'stage': 'tutorial', 'action': 'opened-tutorial', 'worker-id': 'A2FL477TMKC91L'}
1623644784.74117,A2FL477TMKC91L,{'stage': 'portal', 'action': 'opened-portal', 'worker-id': 'A2FL477TMKC91L'}
1623644821.265789,A2FL477TMKC91L,{'stage': 'SAGAT', 'action': 'side-panel-state', 'object': 'showing tutorial panel 1', 'worker-id': 'A2FL477TMKC91L'}
1623644849.867761,A2FL477TMKC91L,{'stage': 'SAGAT', 'action': 'side-panel-click', 'object': 'next button tutorial 1', 'worker-id': 'A2FL477TMKC91L'}
1623644849.871219,A2FL477TMKC91L,{'stage': 'SAGAT', 'action': 'side-panel-state', 'object': 'showing tutorial panel 2', 'worker-id': 'A2FL477TMKC91L'}
1623644953.08709,A2FL477TMKC91L,{'stage': 'SAGAT', 'action': 'side-panel-state', 'object': 'showing sagat questions', 'worker-id': 'A2FL477TMKC91L'}
1623644953.087942,A2FL477TMKC91L,{'stage': 'SAGAT', 'action': 'side-panel-click', 'object': 'next button tutorial 2', 'worker-id': 'A2FL477TMKC91L'}
1623644953.176335,A2FL477TMKC91L,{'stage': 'SAGAT', 'action': 'side-panel-state', 'object': 'showing tutorial panel 3', 'worker-id': 'A2FL477TMKC91L'}
1623644960.869603,A2FL477TMKC91L,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '1', 'worker-id': 'A2FL477TMKC91L'}
1623644961.279197,A2FL477TMKC91L,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '1', 'worker-id': 'A2FL477TMKC91L'}
1623644961.692885,A2FL477TMKC91L,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '1', 'worker-id': 'A2FL477TMKC91L'}
1623644962.30288,A2FL477TMKC91L,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '2', 'worker-id': 'A2FL477TMKC91L'}
1623644962.563227,A2FL477TMKC91L,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '2', 'worker-id': 'A2FL477TMKC91L'}
1623644962.823082,A2FL477TMKC91L,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '2', 'worker-id': 'A2FL477TMKC91L'}
1623644963.838973,A2FL477TMKC91L,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '0', 'worker-id': 'A2FL477TMKC91L'}
1623644963.961797,A2FL477TMKC91L,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '0', 'worker-id': 'A2FL477TMKC91L'}
1623644964.248729,A2FL477TMKC91L,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '0', 'worker-id': 'A2FL477TMKC91L'}
1623644964.658173,A2FL477TMKC91L,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '0', 'worker-id': 'A2FL477TMKC91L'}
1623644965.784441,A2FL477TMKC91L,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '1', 'worker-id': 'A2FL477TMKC91L'}
1623644966.706008,A2FL477TMKC91L,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '2', 'worker-id': 'A2FL477TMKC91L'}
1623644973.771969,A2FL477TMKC91L,{'stage': 'SAGAT', 'action': 'side-panel-state', 'object': 'showing introduction', 'worker-id': 'A2FL477TMKC91L'}
1623644973.772895,A2FL477TMKC91L,{'stage': 'SAGAT', 'action': 'side-panel-click', 'object': 'next button tutorial 3', 'worker-id': 'A2FL477TMKC91L'}
1623644985.052871,A2FL477TMKC91L,{'stage': 'SAGAT', 'action': 'side-panel-click', 'object': 'next button introduction', 'worker-id': 'A2FL477TMKC91L'}
1623644985.072169,A2FL477TMKC91L,{'stage': 'SAGAT', 'action': 'side-panel-state', 'object': 'showing information panel', 'worker-id': 'A2FL477TMKC91L'}
1623645007.052092,A2FL477TMKC91L,{'stage': 'SAGAT', 'action': 'side-panel-click', 'object': 'next button information', 'worker-id': 'A2FL477TMKC91L'}
1623645007.05251,A2FL477TMKC91L,{'stage': 'SAGAT', 'action': 'side-panel-state', 'object': 'showing information panel', 'worker-id': 'A2FL477TMKC91L'}
1623645037.25991,A2FL477TMKC91L,{'stage': 'SAGAT', 'action': 'side-panel-state', 'object': 'showing sagat questions', 'worker-id': 'A2FL477TMKC91L'}
1623645054.258944,A2FL477TMKC91L,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '1', 'worker-id': 'A2FL477TMKC91L'}
1623645054.389449,A2FL477TMKC91L,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '1', 'worker-id': 'A2FL477TMKC91L'}
1623645062.143785,A2FL477TMKC91L,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '1', 'worker-id': 'A2FL477TMKC91L'}
1623645066.239605,A2FL477TMKC91L,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '0', 'worker-id': 'A2FL477TMKC91L'}
1623645066.499032,A2FL477TMKC91L,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '0', 'worker-id': 'A2FL477TMKC91L'}
1623645069.004207,A2FL477TMKC91L,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '2', 'worker-id': 'A2FL477TMKC91L'}
1623645069.340747,A2FL477TMKC91L,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '2', 'worker-id': 'A2FL477TMKC91L'}
1623645069.925904,A2FL477TMKC91L,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '2', 'worker-id': 'A2FL477TMKC91L'}
1623645073.407308,A2FL477TMKC91L,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '4', 'worker-id': 'A2FL477TMKC91L'}
1623645073.636061,A2FL477TMKC91L,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '4', 'worker-id': 'A2FL477TMKC91L'}
1623645075.153065,A2FL477TMKC91L,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '3', 'worker-id': 'A2FL477TMKC91L'}
1623645078.732036,A2FL477TMKC91L,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '11', 'worker-id': 'A2FL477TMKC91L'}
1623645079.059698,A2FL477TMKC91L,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '11', 'worker-id': 'A2FL477TMKC91L'}
1623645081.194684,A2FL477TMKC91L,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '5', 'worker-id': 'A2FL477TMKC91L'}
