
1619987042.581243,A2FQZTJ82Y3XYL,{'stage': 'portal', 'action': 'opened-portal', 'worker-id': 'A2FQZTJ82Y3XYL'}
1619987074.2321,A2FQZTJ82Y3XYL,{'stage': 'portal', 'action': 'opened-portal', 'worker-id': 'A2FQZTJ82Y3XYL'}
1619987109.846416,A2FQZTJ82Y3XYL,{'stage': 'portal', 'action': 'opened-portal', 'worker-id': 'A2FQZTJ82Y3XYL'}
1619987113.531445,A2FQZTJ82Y3XYL,{'stage': 'SAGAT', 'action': 'side-panel-state', 'object': 'showing tutorial panel 1', 'worker-id': 'A2FQZTJ82Y3XYL'}
1619987126.559167,A2FQZTJ82Y3XYL,{'stage': 'SAGAT', 'action': 'side-panel-state', 'object': 'showing tutorial panel 2', 'worker-id': 'A2FQZTJ82Y3XYL'}
1619987126.560102,A2FQZTJ82Y3XYL,{'stage': 'SAGAT', 'action': 'side-panel-click', 'object': 'next button tutorial 1', 'worker-id': 'A2FQZTJ82Y3XYL'}
1619987141.077977,A2FQZTJ82Y3XYL,{'stage': 'portal', 'action': 'opened-portal', 'worker-id': 'A2FQZTJ82Y3XYL'}
1619987144.057571,A2FQZTJ82Y3XYL,{'stage': 'SAGAT', 'action': 'side-panel-state', 'object': 'showing tutorial panel 1', 'worker-id': 'A2FQZTJ82Y3XYL'}
1619987149.329561,A2FQZTJ82Y3XYL,{'stage': 'SAGAT', 'action': 'side-panel-state', 'object': 'showing tutorial panel 2', 'worker-id': 'A2FQZTJ82Y3XYL'}
1619987149.330059,A2FQZTJ82Y3XYL,{'stage': 'SAGAT', 'action': 'side-panel-click', 'object': 'next button tutorial 1', 'worker-id': 'A2FQZTJ82Y3XYL'}
1619987270.938329,A2FQZTJ82Y3XYL,{'stage': 'SAGAT', 'action': 'side-panel-state', 'object': 'showing sagat questions', 'worker-id': 'A2FQZTJ82Y3XYL'}
1619987270.939564,A2FQZTJ82Y3XYL,{'stage': 'SAGAT', 'action': 'side-panel-state', 'object': 'showing tutorial panel 3', 'worker-id': 'A2FQZTJ82Y3XYL'}
1619987270.941143,A2FQZTJ82Y3XYL,{'stage': 'SAGAT', 'action': 'side-panel-click', 'object': 'next button tutorial 2', 'worker-id': 'A2FQZTJ82Y3XYL'}
1619987278.010898,A2FQZTJ82Y3XYL,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '0', 'worker-id': 'A2FQZTJ82Y3XYL'}
1619987278.950473,A2FQZTJ82Y3XYL,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '2', 'worker-id': 'A2FQZTJ82Y3XYL'}
1619987279.891044,A2FQZTJ82Y3XYL,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '1', 'worker-id': 'A2FQZTJ82Y3XYL'}
1619987280.192577,A2FQZTJ82Y3XYL,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '1', 'worker-id': 'A2FQZTJ82Y3XYL'}
1619987280.831797,A2FQZTJ82Y3XYL,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '2', 'worker-id': 'A2FQZTJ82Y3XYL'}
1619987281.773744,A2FQZTJ82Y3XYL,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '2', 'worker-id': 'A2FQZTJ82Y3XYL'}
1619987282.953346,A2FQZTJ82Y3XYL,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '2', 'worker-id': 'A2FQZTJ82Y3XYL'}
1619987283.650798,A2FQZTJ82Y3XYL,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '2', 'worker-id': 'A2FQZTJ82Y3XYL'}
1619987283.964332,A2FQZTJ82Y3XYL,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '2', 'worker-id': 'A2FQZTJ82Y3XYL'}
1619987284.590674,A2FQZTJ82Y3XYL,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '2', 'worker-id': 'A2FQZTJ82Y3XYL'}
1619987292.633463,A2FQZTJ82Y3XYL,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '0', 'worker-id': 'A2FQZTJ82Y3XYL'}
1619987292.946737,A2FQZTJ82Y3XYL,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '0', 'worker-id': 'A2FQZTJ82Y3XYL'}
1619987293.572999,A2FQZTJ82Y3XYL,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '0', 'worker-id': 'A2FQZTJ82Y3XYL'}
1619987294.828532,A2FQZTJ82Y3XYL,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '1', 'worker-id': 'A2FQZTJ82Y3XYL'}
1619987294.828972,A2FQZTJ82Y3XYL,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '1', 'worker-id': 'A2FQZTJ82Y3XYL'}
1619987295.76697,A2FQZTJ82Y3XYL,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '2', 'worker-id': 'A2FQZTJ82Y3XYL'}
1619987295.972767,A2FQZTJ82Y3XYL,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '2', 'worker-id': 'A2FQZTJ82Y3XYL'}
1619987296.292624,A2FQZTJ82Y3XYL,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '2', 'worker-id': 'A2FQZTJ82Y3XYL'}
1619987296.707539,A2FQZTJ82Y3XYL,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '2', 'worker-id': 'A2FQZTJ82Y3XYL'}
1619987297.024313,A2FQZTJ82Y3XYL,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '2', 'worker-id': 'A2FQZTJ82Y3XYL'}
1619987299.528141,A2FQZTJ82Y3XYL,{'stage': 'SAGAT', 'action': 'side-panel-state', 'object': 'showing introduction', 'worker-id': 'A2FQZTJ82Y3XYL'}
1619987299.528887,A2FQZTJ82Y3XYL,{'stage': 'SAGAT', 'action': 'side-panel-click', 'object': 'next button tutorial 3', 'worker-id': 'A2FQZTJ82Y3XYL'}
1619987303.914608,A2FQZTJ82Y3XYL,{'stage': 'SAGAT', 'action': 'side-panel-click', 'object': 'next button introduction', 'worker-id': 'A2FQZTJ82Y3XYL'}
1619987303.915456,A2FQZTJ82Y3XYL,{'stage': 'SAGAT', 'action': 'side-panel-state', 'object': 'showing information panel', 'worker-id': 'A2FQZTJ82Y3XYL'}
1619987316.65803,A2FQZTJ82Y3XYL,{'stage': 'SAGAT', 'action': 'side-panel-state', 'object': 'showing information panel', 'worker-id': 'A2FQZTJ82Y3XYL'}
1619987316.658961,A2FQZTJ82Y3XYL,{'stage': 'SAGAT', 'action': 'side-panel-click', 'object': 'next button information', 'worker-id': 'A2FQZTJ82Y3XYL'}
1619987319.799654,A2FQZTJ82Y3XYL,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '0', 'worker-id': 'A2FQZTJ82Y3XYL'}
1619987320.103587,A2FQZTJ82Y3XYL,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '0', 'worker-id': 'A2FQZTJ82Y3XYL'}
1619987326.997341,A2FQZTJ82Y3XYL,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '2', 'worker-id': 'A2FQZTJ82Y3XYL'}
1619987332.428826,A2FQZTJ82Y3XYL,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '1', 'worker-id': 'A2FQZTJ82Y3XYL'}
1619987346.487503,A2FQZTJ82Y3XYL,{'stage': 'SAGAT', 'action': 'side-panel-state', 'object': 'showing sagat questions', 'worker-id': 'A2FQZTJ82Y3XYL'}
1619987367.108832,A2FQZTJ82Y3XYL,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '9', 'worker-id': 'A2FQZTJ82Y3XYL'}
1619987368.0464,A2FQZTJ82Y3XYL,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '2', 'worker-id': 'A2FQZTJ82Y3XYL'}
1619987368.98636,A2FQZTJ82Y3XYL,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '9', 'worker-id': 'A2FQZTJ82Y3XYL'}
1619987369.098116,A2FQZTJ82Y3XYL,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '9', 'worker-id': 'A2FQZTJ82Y3XYL'}
1619987370.448345,A2FQZTJ82Y3XYL,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '2', 'worker-id': 'A2FQZTJ82Y3XYL'}
1619987370.761837,A2FQZTJ82Y3XYL,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '2', 'worker-id': 'A2FQZTJ82Y3XYL'}
1619987371.702493,A2FQZTJ82Y3XYL,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '2', 'worker-id': 'A2FQZTJ82Y3XYL'}
