
1619890083.478902,A2IP3ZAFYGV8M9,{'stage': 'portal', 'action': 'opened-portal', 'worker-id': 'A2IP3ZAFYGV8M9'}
1619890113.381279,A2IP3ZAFYGV8M9,{'stage': 'tutorial', 'action': 'opened-tutorial', 'worker-id': 'A2IP3ZAFYGV8M9'}
1619890131.726992,A2IP3ZAFYGV8M9,{'stage': 'portal', 'action': 'opened-portal', 'worker-id': 'A2IP3ZAFYGV8M9'}
1619890135.851844,A2IP3ZAFYGV8M9,{'stage': 'SAGAT', 'action': 'side-panel-state', 'object': 'showing tutorial panel 1', 'worker-id': 'A2IP3ZAFYGV8M9'}
1619890165.927012,A2IP3ZAFYGV8M9,{'stage': 'SAGAT', 'action': 'side-panel-state', 'object': 'showing tutorial panel 2', 'worker-id': 'A2IP3ZAFYGV8M9'}
1619890165.927703,A2IP3ZAFYGV8M9,{'stage': 'SAGAT', 'action': 'side-panel-click', 'object': 'next button tutorial 1', 'worker-id': 'A2IP3ZAFYGV8M9'}
1619890195.695927,A2IP3ZAFYGV8M9,{'stage': 'SAGAT', 'action': 'side-panel-click', 'object': 'next button tutorial 2', 'worker-id': 'A2IP3ZAFYGV8M9'}
1619890195.697301,A2IP3ZAFYGV8M9,{'stage': 'SAGAT', 'action': 'side-panel-state', 'object': 'showing tutorial panel 3', 'worker-id': 'A2IP3ZAFYGV8M9'}
1619890195.700563,A2IP3ZAFYGV8M9,{'stage': 'SAGAT', 'action': 'side-panel-state', 'object': 'showing sagat questions', 'worker-id': 'A2IP3ZAFYGV8M9'}
1619890206.768184,A2IP3ZAFYGV8M9,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '1', 'worker-id': 'A2IP3ZAFYGV8M9'}
1619890207.079942,A2IP3ZAFYGV8M9,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '1', 'worker-id': 'A2IP3ZAFYGV8M9'}
1619890207.21451,A2IP3ZAFYGV8M9,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '1', 'worker-id': 'A2IP3ZAFYGV8M9'}
1619890211.78047,A2IP3ZAFYGV8M9,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '1', 'worker-id': 'A2IP3ZAFYGV8M9'}
1619890211.904222,A2IP3ZAFYGV8M9,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '1', 'worker-id': 'A2IP3ZAFYGV8M9'}
