
1617310592.538016,A2KHMKJUVDMK1N,{'stage': 'portal', 'action': 'opened-portal', 'worker-id': 'A2KHMKJUVDMK1N'}
1617310617.929238,A2KHMKJUVDMK1N,{'stage': 'portal', 'action': 'opened-portal', 'worker-id': 'A2KHMKJUVDMK1N'}
1617310619.904657,A2KHMKJUVDMK1N,{'stage': 'SAGAT', 'action': 'side-panel-state', 'object': 'showing tutorial panel 1', 'worker-id': 'A2KHMKJUVDMK1N'}
1617310647.600087,A2KHMKJUVDMK1N,{'stage': 'SAGAT', 'action': 'side-panel-click', 'object': 'next button tutorial 1', 'worker-id': 'A2KHMKJUVDMK1N'}
1617310647.598859,A2KHMKJUVDMK1N,{'stage': 'SAGAT', 'action': 'side-panel-state', 'object': 'showing tutorial panel 2', 'worker-id': 'A2KHMKJUVDMK1N'}
1617310694.025288,A2KHMKJUVDMK1N,{'stage': 'SAGAT', 'action': 'side-panel-state', 'object': 'showing sagat questions', 'worker-id': 'A2KHMKJUVDMK1N'}
1617310694.025911,A2KHMKJUVDMK1N,{'stage': 'SAGAT', 'action': 'side-panel-state', 'object': 'showing tutorial panel 3', 'worker-id': 'A2KHMKJUVDMK1N'}
1617310694.024741,A2KHMKJUVDMK1N,{'stage': 'SAGAT', 'action': 'side-panel-click', 'object': 'next button tutorial 2', 'worker-id': 'A2KHMKJUVDMK1N'}
1617310704.885622,A2KHMKJUVDMK1N,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '1', 'worker-id': 'A2KHMKJUVDMK1N'}
1617310706.556378,A2KHMKJUVDMK1N,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '2', 'worker-id': 'A2KHMKJUVDMK1N'}
1617310707.70541,A2KHMKJUVDMK1N,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '0', 'worker-id': 'A2KHMKJUVDMK1N'}
1617310708.123956,A2KHMKJUVDMK1N,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '0', 'worker-id': 'A2KHMKJUVDMK1N'}
1617310708.162333,A2KHMKJUVDMK1N,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '0', 'worker-id': 'A2KHMKJUVDMK1N'}
1617310710.945776,A2KHMKJUVDMK1N,{'stage': 'SAGAT', 'action': 'side-panel-state', 'object': 'showing introduction', 'worker-id': 'A2KHMKJUVDMK1N'}
1617310710.970165,A2KHMKJUVDMK1N,{'stage': 'SAGAT', 'action': 'side-panel-click', 'object': 'next button tutorial 3', 'worker-id': 'A2KHMKJUVDMK1N'}
1617310729.014853,A2KHMKJUVDMK1N,{'stage': 'SAGAT', 'action': 'side-panel-click', 'object': 'next button introduction', 'worker-id': 'A2KHMKJUVDMK1N'}
1617310729.015344,A2KHMKJUVDMK1N,{'stage': 'SAGAT', 'action': 'side-panel-state', 'object': 'showing information panel', 'worker-id': 'A2KHMKJUVDMK1N'}
1617310742.487592,A2KHMKJUVDMK1N,{'stage': 'SAGAT', 'action': 'side-panel-click', 'object': 'next button information', 'worker-id': 'A2KHMKJUVDMK1N'}
1617310742.489311,A2KHMKJUVDMK1N,{'stage': 'SAGAT', 'action': 'side-panel-state', 'object': 'showing information panel', 'worker-id': 'A2KHMKJUVDMK1N'}
1617310772.255425,A2KHMKJUVDMK1N,{'stage': 'SAGAT', 'action': 'side-panel-state', 'object': 'showing sagat questions', 'worker-id': 'A2KHMKJUVDMK1N'}
1617310789.490259,A2KHMKJUVDMK1N,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '10', 'worker-id': 'A2KHMKJUVDMK1N'}
1617310790.115994,A2KHMKJUVDMK1N,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '11', 'worker-id': 'A2KHMKJUVDMK1N'}
1617310790.743492,A2KHMKJUVDMK1N,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '3', 'worker-id': 'A2KHMKJUVDMK1N'}
1617310791.161883,A2KHMKJUVDMK1N,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '4', 'worker-id': 'A2KHMKJUVDMK1N'}
