
1617334205.50517,A2LQ9NP944M61Z,{'stage': 'portal', 'action': 'opened-portal', 'worker-id': 'A2LQ9NP944M61Z'}
1617334228.117239,A2LQ9NP944M61Z,{'stage': 'portal', 'action': 'opened-portal', 'worker-id': 'A2LQ9NP944M61Z'}
1617334265.900149,A2LQ9NP944M61Z,{'stage': 'portal', 'action': 'opened-portal', 'worker-id': 'A2LQ9NP944M61Z'}
1617334268.560629,A2LQ9NP944M61Z,{'stage': 'SAGAT', 'action': 'side-panel-state', 'object': 'showing tutorial panel 1', 'worker-id': 'A2LQ9NP944M61Z'}
1617334288.039446,A2LQ9NP944M61Z,{'stage': 'SAGAT', 'action': 'side-panel-state', 'object': 'showing tutorial panel 2', 'worker-id': 'A2LQ9NP944M61Z'}
1617334288.043909,A2LQ9NP944M61Z,{'stage': 'SAGAT', 'action': 'side-panel-click', 'object': 'next button tutorial 1', 'worker-id': 'A2LQ9NP944M61Z'}
1617334338.959582,A2LQ9NP944M61Z,{'stage': 'SAGAT', 'action': 'side-panel-click', 'object': 'next button tutorial 2', 'worker-id': 'A2LQ9NP944M61Z'}
1617334338.960437,A2LQ9NP944M61Z,{'stage': 'SAGAT', 'action': 'side-panel-state', 'object': 'showing tutorial panel 3', 'worker-id': 'A2LQ9NP944M61Z'}
1617334338.961104,A2LQ9NP944M61Z,{'stage': 'SAGAT', 'action': 'side-panel-state', 'object': 'showing sagat questions', 'worker-id': 'A2LQ9NP944M61Z'}
1617334347.003293,A2LQ9NP944M61Z,{'stage': 'SAGAT', 'action': 'side-panel-state', 'object': 'showing introduction', 'worker-id': 'A2LQ9NP944M61Z'}
1617334347.003697,A2LQ9NP944M61Z,{'stage': 'SAGAT', 'action': 'side-panel-click', 'object': 'next button tutorial 3', 'worker-id': 'A2LQ9NP944M61Z'}
1617334361.311188,A2LQ9NP944M61Z,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '2', 'worker-id': 'A2LQ9NP944M61Z'}
1617334361.937998,A2LQ9NP944M61Z,{'stage': 'SAGAT', 'action': 'side-panel-click', 'object': 'next button introduction', 'worker-id': 'A2LQ9NP944M61Z'}
1617334361.938836,A2LQ9NP944M61Z,{'stage': 'SAGAT', 'action': 'side-panel-state', 'object': 'showing information panel', 'worker-id': 'A2LQ9NP944M61Z'}
1617334375.309973,A2LQ9NP944M61Z,{'stage': 'SAGAT', 'action': 'side-panel-click', 'object': 'next button information', 'worker-id': 'A2LQ9NP944M61Z'}
1617334375.309192,A2LQ9NP944M61Z,{'stage': 'SAGAT', 'action': 'side-panel-state', 'object': 'showing information panel', 'worker-id': 'A2LQ9NP944M61Z'}
1617334403.091897,A2LQ9NP944M61Z,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '0', 'worker-id': 'A2LQ9NP944M61Z'}
1617334405.300191,A2LQ9NP944M61Z,{'stage': 'SAGAT', 'action': 'side-panel-state', 'object': 'showing sagat questions', 'worker-id': 'A2LQ9NP944M61Z'}
1617334422.86122,A2LQ9NP944M61Z,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '0', 'worker-id': 'A2LQ9NP944M61Z'}
1617334423.443196,A2LQ9NP944M61Z,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '0', 'worker-id': 'A2LQ9NP944M61Z'}
1617334423.456376,A2LQ9NP944M61Z,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '0', 'worker-id': 'A2LQ9NP944M61Z'}
1617334423.975703,A2LQ9NP944M61Z,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '0', 'worker-id': 'A2LQ9NP944M61Z'}
1617334424.712843,A2LQ9NP944M61Z,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '0', 'worker-id': 'A2LQ9NP944M61Z'}
1617334424.807077,A2LQ9NP944M61Z,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '3', 'worker-id': 'A2LQ9NP944M61Z'}
1617334425.234494,A2LQ9NP944M61Z,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '3', 'worker-id': 'A2LQ9NP944M61Z'}
1617334425.308244,A2LQ9NP944M61Z,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '3', 'worker-id': 'A2LQ9NP944M61Z'}
1617334425.861362,A2LQ9NP944M61Z,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '3', 'worker-id': 'A2LQ9NP944M61Z'}
1617334426.487682,A2LQ9NP944M61Z,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '3', 'worker-id': 'A2LQ9NP944M61Z'}
1617334426.566207,A2LQ9NP944M61Z,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '10', 'worker-id': 'A2LQ9NP944M61Z'}
1617334427.010233,A2LQ9NP944M61Z,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '11', 'worker-id': 'A2LQ9NP944M61Z'}
1617334427.636775,A2LQ9NP944M61Z,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '4', 'worker-id': 'A2LQ9NP944M61Z'}
1617334428.05466,A2LQ9NP944M61Z,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '12', 'worker-id': 'A2LQ9NP944M61Z'}
1617334428.550145,A2LQ9NP944M61Z,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '5', 'worker-id': 'A2LQ9NP944M61Z'}
1617334428.754602,A2LQ9NP944M61Z,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '6', 'worker-id': 'A2LQ9NP944M61Z'}
1617334429.30827,A2LQ9NP944M61Z,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '13', 'worker-id': 'A2LQ9NP944M61Z'}
1617334429.935825,A2LQ9NP944M61Z,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '1', 'worker-id': 'A2LQ9NP944M61Z'}
1617334430.354633,A2LQ9NP944M61Z,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '7', 'worker-id': 'A2LQ9NP944M61Z'}
1617334431.188362,A2LQ9NP944M61Z,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '14', 'worker-id': 'A2LQ9NP944M61Z'}
