
1619834373.224238,A2NC23YMQPXSYV,{'stage': 'portal', 'action': 'opened-portal', 'worker-id': 'A2NC23YMQPXSYV'}
1619834388.166817,A2NC23YMQPXSYV,{'stage': 'tutorial', 'action': 'opened-tutorial', 'worker-id': 'A2NC23YMQPXSYV'}
1619834466.400152,A2NC23YMQPXSYV,{'stage': 'portal', 'action': 'opened-portal', 'worker-id': 'A2NC23YMQPXSYV'}
1619834471.021642,A2NC23YMQPXSYV,{'stage': 'SAGAT', 'action': 'side-panel-state', 'object': 'showing tutorial panel 1', 'worker-id': 'A2NC23YMQPXSYV'}
1619834477.681175,A2NC23YMQPXSYV,{'stage': 'SAGAT', 'action': 'side-panel-click', 'object': 'next button tutorial 1', 'worker-id': 'A2NC23YMQPXSYV'}
1619834477.682059,A2NC23YMQPXSYV,{'stage': 'SAGAT', 'action': 'side-panel-state', 'object': 'showing tutorial panel 2', 'worker-id': 'A2NC23YMQPXSYV'}
1619834487.918546,A2NC23YMQPXSYV,{'stage': 'SAGAT', 'action': 'side-panel-state', 'object': 'showing tutorial panel 3', 'worker-id': 'A2NC23YMQPXSYV'}
1619834487.919265,A2NC23YMQPXSYV,{'stage': 'SAGAT', 'action': 'side-panel-click', 'object': 'next button tutorial 2', 'worker-id': 'A2NC23YMQPXSYV'}
1619834487.919969,A2NC23YMQPXSYV,{'stage': 'SAGAT', 'action': 'side-panel-state', 'object': 'showing sagat questions', 'worker-id': 'A2NC23YMQPXSYV'}
1619834499.197686,A2NC23YMQPXSYV,{'stage': 'SAGAT', 'action': 'side-panel-click', 'object': 'next button tutorial 3', 'worker-id': 'A2NC23YMQPXSYV'}
1619834499.206701,A2NC23YMQPXSYV,{'stage': 'SAGAT', 'action': 'side-panel-state', 'object': 'showing introduction', 'worker-id': 'A2NC23YMQPXSYV'}
1619834516.016107,A2NC23YMQPXSYV,{'stage': 'SAGAT', 'action': 'side-panel-click', 'object': 'next button introduction', 'worker-id': 'A2NC23YMQPXSYV'}
1619834516.01707,A2NC23YMQPXSYV,{'stage': 'SAGAT', 'action': 'side-panel-state', 'object': 'showing information panel', 'worker-id': 'A2NC23YMQPXSYV'}
1619834536.695836,A2NC23YMQPXSYV,{'stage': 'SAGAT', 'action': 'side-panel-click', 'object': 'next button information', 'worker-id': 'A2NC23YMQPXSYV'}
1619834536.696763,A2NC23YMQPXSYV,{'stage': 'SAGAT', 'action': 'side-panel-state', 'object': 'showing information panel', 'worker-id': 'A2NC23YMQPXSYV'}
1619834546.101464,A2NC23YMQPXSYV,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '1', 'worker-id': 'A2NC23YMQPXSYV'}
1619834551.066343,A2NC23YMQPXSYV,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '9', 'worker-id': 'A2NC23YMQPXSYV'}
1619834553.198002,A2NC23YMQPXSYV,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '6', 'worker-id': 'A2NC23YMQPXSYV'}
1619834561.031361,A2NC23YMQPXSYV,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '9', 'worker-id': 'A2NC23YMQPXSYV'}
1619834562.494696,A2NC23YMQPXSYV,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '8', 'worker-id': 'A2NC23YMQPXSYV'}
1619834563.747117,A2NC23YMQPXSYV,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '7', 'worker-id': 'A2NC23YMQPXSYV'}
1619834565.001114,A2NC23YMQPXSYV,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '6', 'worker-id': 'A2NC23YMQPXSYV'}
1619834565.627178,A2NC23YMQPXSYV,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '1', 'worker-id': 'A2NC23YMQPXSYV'}
1619834566.569121,A2NC23YMQPXSYV,{'stage': 'SAGAT', 'action': 'side-panel-state', 'object': 'showing sagat questions', 'worker-id': 'A2NC23YMQPXSYV'}
1619834619.8376,A2NC23YMQPXSYV,{'stage': 'SAGAT', 'action': 'side-panel-click', 'object': 'next button sagat questions', 'worker-id': 'A2NC23YMQPXSYV'}
1619834620.15045,A2NC23YMQPXSYV,{'stage': 'SAGAT', 'action': 'side-panel-state', 'object': 'showing misunderstanding panel', 'worker-id': 'A2NC23YMQPXSYV'}
1619834640.730412,A2NC23YMQPXSYV,{'stage': 'SAGAT', 'action': 'side-panel-click', 'object': 'next button misunderstanding panel', 'worker-id': 'A2NC23YMQPXSYV'}
1619834641.320809,A2NC23YMQPXSYV,{'stage': 'SAGAT', 'action': 'side-panel-state', 'object': 'showing sagat questions', 'worker-id': 'A2NC23YMQPXSYV'}
1619834648.874574,A2NC23YMQPXSYV,{'stage': 'SAGAT', 'action': 'side-panel-state', 'object': 'showing misunderstanding panel', 'worker-id': 'A2NC23YMQPXSYV'}
1619834648.875476,A2NC23YMQPXSYV,{'stage': 'SAGAT', 'action': 'side-panel-click', 'object': 'next button sagat questions', 'worker-id': 'A2NC23YMQPXSYV'}
1619834650.402242,A2NC23YMQPXSYV,{'stage': 'SAGAT', 'action': 'side-panel-state', 'object': 'showing sagat questions', 'worker-id': 'A2NC23YMQPXSYV'}
1619834650.410422,A2NC23YMQPXSYV,{'stage': 'SAGAT', 'action': 'side-panel-click', 'object': 'next button misunderstanding panel', 'worker-id': 'A2NC23YMQPXSYV'}
1619834666.109587,A2NC23YMQPXSYV,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '8', 'worker-id': 'A2NC23YMQPXSYV'}
1619834682.089551,A2NC23YMQPXSYV,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '9', 'worker-id': 'A2NC23YMQPXSYV'}
1619834683.342734,A2NC23YMQPXSYV,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '16', 'worker-id': 'A2NC23YMQPXSYV'}
1619834683.968595,A2NC23YMQPXSYV,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '15', 'worker-id': 'A2NC23YMQPXSYV'}
1619834684.909773,A2NC23YMQPXSYV,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '14', 'worker-id': 'A2NC23YMQPXSYV'}
1619834685.53633,A2NC23YMQPXSYV,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '7', 'worker-id': 'A2NC23YMQPXSYV'}
1619834686.163455,A2NC23YMQPXSYV,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '6', 'worker-id': 'A2NC23YMQPXSYV'}
1619834687.102512,A2NC23YMQPXSYV,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '1', 'worker-id': 'A2NC23YMQPXSYV'}
1619834688.042767,A2NC23YMQPXSYV,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '2', 'worker-id': 'A2NC23YMQPXSYV'}
1619834689.492986,A2NC23YMQPXSYV,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '5', 'worker-id': 'A2NC23YMQPXSYV'}
1619834690.235555,A2NC23YMQPXSYV,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '13', 'worker-id': 'A2NC23YMQPXSYV'}
1619834691.460526,A2NC23YMQPXSYV,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '12', 'worker-id': 'A2NC23YMQPXSYV'}
1619834692.743152,A2NC23YMQPXSYV,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '11', 'worker-id': 'A2NC23YMQPXSYV'}
1619834693.891298,A2NC23YMQPXSYV,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '10', 'worker-id': 'A2NC23YMQPXSYV'}
1619834694.519341,A2NC23YMQPXSYV,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '3', 'worker-id': 'A2NC23YMQPXSYV'}
1619834695.145091,A2NC23YMQPXSYV,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '4', 'worker-id': 'A2NC23YMQPXSYV'}
1619834696.086107,A2NC23YMQPXSYV,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '0', 'worker-id': 'A2NC23YMQPXSYV'}
1619834697.447412,A2NC23YMQPXSYV,{'stage': 'SAGAT', 'action': 'side-panel-state', 'object': 'showing information panel', 'worker-id': 'A2NC23YMQPXSYV'}
1619834697.448035,A2NC23YMQPXSYV,{'stage': 'SAGAT', 'action': 'side-panel-click', 'object': 'next button sagat questions', 'worker-id': 'A2NC23YMQPXSYV'}
1619834711.520059,A2NC23YMQPXSYV,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '8', 'worker-id': 'A2NC23YMQPXSYV'}
1619834712.282103,A2NC23YMQPXSYV,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '7', 'worker-id': 'A2NC23YMQPXSYV'}
1619834713.214897,A2NC23YMQPXSYV,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '6', 'worker-id': 'A2NC23YMQPXSYV'}
1619834715.7223,A2NC23YMQPXSYV,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '4', 'worker-id': 'A2NC23YMQPXSYV'}
