
1620954871.470059,A2OO4PG3LBLP5I,{'stage': 'portal', 'action': 'opened-portal', 'worker-id': 'A2OO4PG3LBLP5I'}
1620954999.471132,A2OO4PG3LBLP5I,{'stage': 'tutorial', 'action': 'opened-tutorial', 'worker-id': 'A2OO4PG3LBLP5I'}
1620955039.31259,A2OO4PG3LBLP5I,{'stage': 'portal', 'action': 'opened-portal', 'worker-id': 'A2OO4PG3LBLP5I'}
1620955044.927486,A2OO4PG3LBLP5I,{'stage': 'SAGAT', 'action': 'side-panel-state', 'object': 'showing tutorial panel 1', 'worker-id': 'A2OO4PG3LBLP5I'}
1620955094.291482,A2OO4PG3LBLP5I,{'stage': 'SAGAT', 'action': 'side-panel-state', 'object': 'showing tutorial panel 2', 'worker-id': 'A2OO4PG3LBLP5I'}
1620955094.292053,A2OO4PG3LBLP5I,{'stage': 'SAGAT', 'action': 'side-panel-click', 'object': 'next button tutorial 1', 'worker-id': 'A2OO4PG3LBLP5I'}
1620955176.015411,A2OO4PG3LBLP5I,{'stage': 'SAGAT', 'action': 'side-panel-state', 'object': 'showing sagat questions', 'worker-id': 'A2OO4PG3LBLP5I'}
1620955176.016306,A2OO4PG3LBLP5I,{'stage': 'SAGAT', 'action': 'side-panel-click', 'object': 'next button tutorial 2', 'worker-id': 'A2OO4PG3LBLP5I'}
1620955176.112836,A2OO4PG3LBLP5I,{'stage': 'SAGAT', 'action': 'side-panel-state', 'object': 'showing tutorial panel 3', 'worker-id': 'A2OO4PG3LBLP5I'}
1620955191.98781,A2OO4PG3LBLP5I,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '2', 'worker-id': 'A2OO4PG3LBLP5I'}
1620955192.90604,A2OO4PG3LBLP5I,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '1', 'worker-id': 'A2OO4PG3LBLP5I'}
1620955193.732704,A2OO4PG3LBLP5I,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '0', 'worker-id': 'A2OO4PG3LBLP5I'}
1620955198.12784,A2OO4PG3LBLP5I,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '1', 'worker-id': 'A2OO4PG3LBLP5I'}
