
1616514482.118513,A2OVET58SDVSB2,{'stage': 'portal', 'action': 'opened-portal', 'worker-id': 'A2OVET58SDVSB2'}
1616514484.415877,A2OVET58SDVSB2,{'stage': 'tutorial', 'action': 'opened-tutorial', 'worker-id': 'A2OVET58SDVSB2'}
1616514489.01559,A2OVET58SDVSB2,{'stage': 'portal', 'action': 'opened-portal', 'worker-id': 'A2OVET58SDVSB2'}
1616514514.114283,A2OVET58SDVSB2,{'stage': 'SAGAT', 'action': 'side-panel-state', 'object': 'showing tutorial panel 1', 'worker-id': 'A2OVET58SDVSB2'}
1616514520.24275,A2OVET58SDVSB2,{'stage': 'SAGAT', 'action': 'side-panel-click', 'object': 'next button tutorial 1', 'worker-id': 'A2OVET58SDVSB2'}
1616514520.243886,A2OVET58SDVSB2,{'stage': 'SAGAT', 'action': 'side-panel-state', 'object': 'showing tutorial panel 2', 'worker-id': 'A2OVET58SDVSB2'}
1616514521.282867,A2OVET58SDVSB2,{'stage': 'SAGAT', 'action': 'side-panel-state', 'object': 'showing sagat questions', 'worker-id': 'A2OVET58SDVSB2'}
1616514521.283488,A2OVET58SDVSB2,{'stage': 'SAGAT', 'action': 'side-panel-click', 'object': 'next button tutorial 2', 'worker-id': 'A2OVET58SDVSB2'}
1616514521.307646,A2OVET58SDVSB2,{'stage': 'SAGAT', 'action': 'side-panel-state', 'object': 'showing tutorial panel 3', 'worker-id': 'A2OVET58SDVSB2'}
1616514522.436982,A2OVET58SDVSB2,{'stage': 'SAGAT', 'action': 'side-panel-click', 'object': 'next button tutorial 3', 'worker-id': 'A2OVET58SDVSB2'}
1616514522.437789,A2OVET58SDVSB2,{'stage': 'SAGAT', 'action': 'side-panel-state', 'object': 'showing introduction', 'worker-id': 'A2OVET58SDVSB2'}
1616514524.212414,A2OVET58SDVSB2,{'stage': 'SAGAT', 'action': 'side-panel-state', 'object': 'showing information panel', 'worker-id': 'A2OVET58SDVSB2'}
1616514524.211967,A2OVET58SDVSB2,{'stage': 'SAGAT', 'action': 'side-panel-click', 'object': 'next button introduction', 'worker-id': 'A2OVET58SDVSB2'}
1616514525.676777,A2OVET58SDVSB2,{'stage': 'SAGAT', 'action': 'side-panel-click', 'object': 'next button information', 'worker-id': 'A2OVET58SDVSB2'}
1616514525.6777,A2OVET58SDVSB2,{'stage': 'SAGAT', 'action': 'side-panel-state', 'object': 'showing information panel', 'worker-id': 'A2OVET58SDVSB2'}
1616514555.651215,A2OVET58SDVSB2,{'stage': 'SAGAT', 'action': 'side-panel-state', 'object': 'showing sagat questions', 'worker-id': 'A2OVET58SDVSB2'}
