
1621114821.415128,A2QRIJVRFJD4C5,{'stage': 'portal', 'action': 'opened-portal', 'worker-id': 'A2QRIJVRFJD4C5'}
1621114825.870741,A2QRIJVRFJD4C5,{'stage': 'tutorial', 'action': 'opened-tutorial', 'worker-id': 'A2QRIJVRFJD4C5'}
1621114834.264993,A2QRIJVRFJD4C5,{'stage': 'portal', 'action': 'opened-portal', 'worker-id': 'A2QRIJVRFJD4C5'}
1621114837.697456,A2QRIJVRFJD4C5,{'stage': 'SAGAT', 'action': 'side-panel-state', 'object': 'showing tutorial panel 1', 'worker-id': 'A2QRIJVRFJD4C5'}
1621124448.311504,A2QRIJVRFJD4C5,{'stage': 'SAGAT', 'action': 'side-panel-click', 'object': 'next button tutorial 1', 'worker-id': 'A2QRIJVRFJD4C5'}
1621124448.509553,A2QRIJVRFJD4C5,{'stage': 'SAGAT', 'action': 'side-panel-state', 'object': 'showing tutorial panel 2', 'worker-id': 'A2QRIJVRFJD4C5'}
1621124452.548102,A2QRIJVRFJD4C5,{'stage': 'SAGAT', 'action': 'side-panel-state', 'object': 'showing sagat questions', 'worker-id': 'A2QRIJVRFJD4C5'}
1621124452.549814,A2QRIJVRFJD4C5,{'stage': 'SAGAT', 'action': 'side-panel-click', 'object': 'next button tutorial 2', 'worker-id': 'A2QRIJVRFJD4C5'}
1621124453.162932,A2QRIJVRFJD4C5,{'stage': 'SAGAT', 'action': 'side-panel-state', 'object': 'showing tutorial panel 3', 'worker-id': 'A2QRIJVRFJD4C5'}
1621124454.08532,A2QRIJVRFJD4C5,{'stage': 'SAGAT', 'action': 'side-panel-click', 'object': 'next button tutorial 3', 'worker-id': 'A2QRIJVRFJD4C5'}
1621124454.086185,A2QRIJVRFJD4C5,{'stage': 'SAGAT', 'action': 'side-panel-state', 'object': 'showing introduction', 'worker-id': 'A2QRIJVRFJD4C5'}
1621124461.7637,A2QRIJVRFJD4C5,{'stage': 'SAGAT', 'action': 'side-panel-click', 'object': 'next button introduction', 'worker-id': 'A2QRIJVRFJD4C5'}
1621124461.76418,A2QRIJVRFJD4C5,{'stage': 'SAGAT', 'action': 'side-panel-state', 'object': 'showing information panel', 'worker-id': 'A2QRIJVRFJD4C5'}
1621124463.606931,A2QRIJVRFJD4C5,{'stage': 'SAGAT', 'action': 'side-panel-click', 'object': 'next button information', 'worker-id': 'A2QRIJVRFJD4C5'}
