
1616801458.328084,A2TRFQJKZU9NB3,{'stage': 'portal', 'action': 'opened-portal', 'worker-id': 'A2TRFQJKZU9NB3'}
1616801461.659241,A2TRFQJKZU9NB3,{'stage': 'tutorial', 'action': 'opened-tutorial', 'worker-id': 'A2TRFQJKZU9NB3'}
1616801466.881014,A2TRFQJKZU9NB3,{'stage': 'portal', 'action': 'opened-portal', 'worker-id': 'A2TRFQJKZU9NB3'}
1616801469.634805,A2TRFQJKZU9NB3,{'stage': 'SAGAT', 'action': 'side-panel-state', 'object': 'showing tutorial panel 1', 'worker-id': 'A2TRFQJKZU9NB3'}
1616801475.341189,A2TRFQJKZU9NB3,{'stage': 'SAGAT', 'action': 'side-panel-state', 'object': 'showing tutorial panel 2', 'worker-id': 'A2TRFQJKZU9NB3'}
1616801475.341946,A2TRFQJKZU9NB3,{'stage': 'SAGAT', 'action': 'side-panel-click', 'object': 'next button tutorial 1', 'worker-id': 'A2TRFQJKZU9NB3'}
1616801479.206514,A2TRFQJKZU9NB3,{'stage': 'SAGAT', 'action': 'side-panel-click', 'object': 'next button tutorial 2', 'worker-id': 'A2TRFQJKZU9NB3'}
1616801479.207489,A2TRFQJKZU9NB3,{'stage': 'SAGAT', 'action': 'side-panel-state', 'object': 'showing sagat questions', 'worker-id': 'A2TRFQJKZU9NB3'}
1616801479.231291,A2TRFQJKZU9NB3,{'stage': 'SAGAT', 'action': 'side-panel-state', 'object': 'showing tutorial panel 3', 'worker-id': 'A2TRFQJKZU9NB3'}
1616801479.728693,A2TRFQJKZU9NB3,{'stage': 'SAGAT', 'action': 'side-panel-state', 'object': 'showing introduction', 'worker-id': 'A2TRFQJKZU9NB3'}
1616801479.729998,A2TRFQJKZU9NB3,{'stage': 'SAGAT', 'action': 'side-panel-click', 'object': 'next button tutorial 3', 'worker-id': 'A2TRFQJKZU9NB3'}
1616801481.921677,A2TRFQJKZU9NB3,{'stage': 'SAGAT', 'action': 'side-panel-click', 'object': 'next button introduction', 'worker-id': 'A2TRFQJKZU9NB3'}
1616801481.922481,A2TRFQJKZU9NB3,{'stage': 'SAGAT', 'action': 'side-panel-state', 'object': 'showing information panel', 'worker-id': 'A2TRFQJKZU9NB3'}
1616801483.071098,A2TRFQJKZU9NB3,{'stage': 'SAGAT', 'action': 'side-panel-click', 'object': 'next button information', 'worker-id': 'A2TRFQJKZU9NB3'}
1616801483.071589,A2TRFQJKZU9NB3,{'stage': 'SAGAT', 'action': 'side-panel-state', 'object': 'showing information panel', 'worker-id': 'A2TRFQJKZU9NB3'}
1616801513.151815,A2TRFQJKZU9NB3,{'stage': 'SAGAT', 'action': 'side-panel-state', 'object': 'showing sagat questions', 'worker-id': 'A2TRFQJKZU9NB3'}
1616801517.748143,A2TRFQJKZU9NB3,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '1', 'worker-id': 'A2TRFQJKZU9NB3'}
1616801518.324456,A2TRFQJKZU9NB3,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '0', 'worker-id': 'A2TRFQJKZU9NB3'}
1616801519.418926,A2TRFQJKZU9NB3,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '2', 'worker-id': 'A2TRFQJKZU9NB3'}
1616801520.77726,A2TRFQJKZU9NB3,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '10', 'worker-id': 'A2TRFQJKZU9NB3'}
1616801520.829579,A2TRFQJKZU9NB3,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '10', 'worker-id': 'A2TRFQJKZU9NB3'}
1616801521.717205,A2TRFQJKZU9NB3,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '11', 'worker-id': 'A2TRFQJKZU9NB3'}
1616801521.925888,A2TRFQJKZU9NB3,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '11', 'worker-id': 'A2TRFQJKZU9NB3'}
1616801522.658985,A2TRFQJKZU9NB3,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '12', 'worker-id': 'A2TRFQJKZU9NB3'}
1616801522.748026,A2TRFQJKZU9NB3,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '12', 'worker-id': 'A2TRFQJKZU9NB3'}
1616801523.284952,A2TRFQJKZU9NB3,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '13', 'worker-id': 'A2TRFQJKZU9NB3'}
1616801523.493639,A2TRFQJKZU9NB3,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '13', 'worker-id': 'A2TRFQJKZU9NB3'}
1616801524.329613,A2TRFQJKZU9NB3,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '14', 'worker-id': 'A2TRFQJKZU9NB3'}
1616801524.330933,A2TRFQJKZU9NB3,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '14', 'worker-id': 'A2TRFQJKZU9NB3'}
1616801524.746052,A2TRFQJKZU9NB3,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '15', 'worker-id': 'A2TRFQJKZU9NB3'}
1616801524.955026,A2TRFQJKZU9NB3,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '15', 'worker-id': 'A2TRFQJKZU9NB3'}
1616801525.477145,A2TRFQJKZU9NB3,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '16', 'worker-id': 'A2TRFQJKZU9NB3'}
1616801525.571237,A2TRFQJKZU9NB3,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '16', 'worker-id': 'A2TRFQJKZU9NB3'}
1616801526.363319,A2TRFQJKZU9NB3,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '7', 'worker-id': 'A2TRFQJKZU9NB3'}
1616801526.62934,A2TRFQJKZU9NB3,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '7', 'worker-id': 'A2TRFQJKZU9NB3'}
1616801527.165075,A2TRFQJKZU9NB3,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '5', 'worker-id': 'A2TRFQJKZU9NB3'}
1616801527.357253,A2TRFQJKZU9NB3,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '5', 'worker-id': 'A2TRFQJKZU9NB3'}
1616801528.297317,A2TRFQJKZU9NB3,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '3', 'worker-id': 'A2TRFQJKZU9NB3'}
1616801528.43959,A2TRFQJKZU9NB3,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '3', 'worker-id': 'A2TRFQJKZU9NB3'}
1616801529.342182,A2TRFQJKZU9NB3,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '9', 'worker-id': 'A2TRFQJKZU9NB3'}
1616801529.480494,A2TRFQJKZU9NB3,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '9', 'worker-id': 'A2TRFQJKZU9NB3'}
1616801530.490968,A2TRFQJKZU9NB3,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '4', 'worker-id': 'A2TRFQJKZU9NB3'}
1616801530.814148,A2TRFQJKZU9NB3,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '4', 'worker-id': 'A2TRFQJKZU9NB3'}
1616801531.326229,A2TRFQJKZU9NB3,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '4', 'worker-id': 'A2TRFQJKZU9NB3'}
1616801532.475343,A2TRFQJKZU9NB3,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '6', 'worker-id': 'A2TRFQJKZU9NB3'}
1616801532.697315,A2TRFQJKZU9NB3,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '6', 'worker-id': 'A2TRFQJKZU9NB3'}
1616801533.832453,A2TRFQJKZU9NB3,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '6', 'worker-id': 'A2TRFQJKZU9NB3'}
1616801534.773011,A2TRFQJKZU9NB3,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '8', 'worker-id': 'A2TRFQJKZU9NB3'}
1616801534.867355,A2TRFQJKZU9NB3,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '8', 'worker-id': 'A2TRFQJKZU9NB3'}
1616801535.812459,A2TRFQJKZU9NB3,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '8', 'worker-id': 'A2TRFQJKZU9NB3'}
1616801537.071425,A2TRFQJKZU9NB3,{'stage': 'SAGAT', 'action': 'side-panel-click', 'object': 'next button sagat questions', 'worker-id': 'A2TRFQJKZU9NB3'}
1616801537.072226,A2TRFQJKZU9NB3,{'stage': 'SAGAT', 'action': 'side-panel-state', 'object': 'showing misunderstanding panel', 'worker-id': 'A2TRFQJKZU9NB3'}
1616801538.432177,A2TRFQJKZU9NB3,{'stage': 'SAGAT', 'action': 'side-panel-click', 'object': 'next button misunderstanding panel', 'worker-id': 'A2TRFQJKZU9NB3'}
1616801538.431254,A2TRFQJKZU9NB3,{'stage': 'SAGAT', 'action': 'side-panel-state', 'object': 'showing sagat questions', 'worker-id': 'A2TRFQJKZU9NB3'}
1616801539.900453,A2TRFQJKZU9NB3,{'stage': 'SAGAT', 'action': 'side-panel-click', 'object': 'next button sagat questions', 'worker-id': 'A2TRFQJKZU9NB3'}
1616801539.901234,A2TRFQJKZU9NB3,{'stage': 'SAGAT', 'action': 'side-panel-state', 'object': 'showing misunderstanding panel', 'worker-id': 'A2TRFQJKZU9NB3'}
1616801540.622453,A2TRFQJKZU9NB3,{'stage': 'SAGAT', 'action': 'side-panel-state', 'object': 'showing sagat questions', 'worker-id': 'A2TRFQJKZU9NB3'}
1616801540.6229,A2TRFQJKZU9NB3,{'stage': 'SAGAT', 'action': 'side-panel-click', 'object': 'next button misunderstanding panel', 'worker-id': 'A2TRFQJKZU9NB3'}
1616801541.778386,A2TRFQJKZU9NB3,{'stage': 'SAGAT', 'action': 'side-panel-click', 'object': 'next button sagat questions', 'worker-id': 'A2TRFQJKZU9NB3'}
1616801541.784327,A2TRFQJKZU9NB3,{'stage': 'SAGAT', 'action': 'side-panel-state', 'object': 'showing misunderstanding panel', 'worker-id': 'A2TRFQJKZU9NB3'}
1616801544.174097,A2TRFQJKZU9NB3,{'stage': 'SAGAT', 'action': 'side-panel-state', 'object': 'showing sagat questions', 'worker-id': 'A2TRFQJKZU9NB3'}
1616801544.1749,A2TRFQJKZU9NB3,{'stage': 'SAGAT', 'action': 'side-panel-click', 'object': 'next button misunderstanding panel', 'worker-id': 'A2TRFQJKZU9NB3'}
1616801548.665773,A2TRFQJKZU9NB3,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '10', 'worker-id': 'A2TRFQJKZU9NB3'}
1616801549.082702,A2TRFQJKZU9NB3,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '10', 'worker-id': 'A2TRFQJKZU9NB3'}
1616801549.714839,A2TRFQJKZU9NB3,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '10', 'worker-id': 'A2TRFQJKZU9NB3'}
1616801550.857697,A2TRFQJKZU9NB3,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '11', 'worker-id': 'A2TRFQJKZU9NB3'}
1616801550.960291,A2TRFQJKZU9NB3,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '11', 'worker-id': 'A2TRFQJKZU9NB3'}
