
1617330437.13053,A2ZDEERVRN5AMC,{'stage': 'portal', 'action': 'opened-portal', 'worker-id': 'A2ZDEERVRN5AMC'}
1617330440.890496,A2ZDEERVRN5AMC,{'stage': 'tutorial', 'action': 'opened-tutorial', 'worker-id': 'A2ZDEERVRN5AMC'}
1617330469.740384,A2ZDEERVRN5AMC,{'stage': 'portal', 'action': 'opened-portal', 'worker-id': 'A2ZDEERVRN5AMC'}
1617330472.336918,A2ZDEERVRN5AMC,{'stage': 'SAGAT', 'action': 'side-panel-state', 'object': 'showing tutorial panel 1', 'worker-id': 'A2ZDEERVRN5AMC'}
1617330522.675462,A2ZDEERVRN5AMC,{'stage': 'SAGAT', 'action': 'side-panel-state', 'object': 'showing tutorial panel 2', 'worker-id': 'A2ZDEERVRN5AMC'}
1617330522.676148,A2ZDEERVRN5AMC,{'stage': 'SAGAT', 'action': 'side-panel-click', 'object': 'next button tutorial 1', 'worker-id': 'A2ZDEERVRN5AMC'}
1617330543.357564,A2ZDEERVRN5AMC,{'stage': 'SAGAT', 'action': 'side-panel-state', 'object': 'showing sagat questions', 'worker-id': 'A2ZDEERVRN5AMC'}
1617330543.358935,A2ZDEERVRN5AMC,{'stage': 'SAGAT', 'action': 'side-panel-state', 'object': 'showing tutorial panel 3', 'worker-id': 'A2ZDEERVRN5AMC'}
1617330543.383374,A2ZDEERVRN5AMC,{'stage': 'SAGAT', 'action': 'side-panel-click', 'object': 'next button tutorial 2', 'worker-id': 'A2ZDEERVRN5AMC'}
1617330553.487834,A2ZDEERVRN5AMC,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '1', 'worker-id': 'A2ZDEERVRN5AMC'}
1617330554.427712,A2ZDEERVRN5AMC,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '2', 'worker-id': 'A2ZDEERVRN5AMC'}
1617330554.5288,A2ZDEERVRN5AMC,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '2', 'worker-id': 'A2ZDEERVRN5AMC'}
1617330554.950343,A2ZDEERVRN5AMC,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '2', 'worker-id': 'A2ZDEERVRN5AMC'}
1617330554.951592,A2ZDEERVRN5AMC,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '2', 'worker-id': 'A2ZDEERVRN5AMC'}
1617330555.263612,A2ZDEERVRN5AMC,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '2', 'worker-id': 'A2ZDEERVRN5AMC'}
1617330555.264069,A2ZDEERVRN5AMC,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '2', 'worker-id': 'A2ZDEERVRN5AMC'}
1617330555.386035,A2ZDEERVRN5AMC,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '2', 'worker-id': 'A2ZDEERVRN5AMC'}
1617330555.576425,A2ZDEERVRN5AMC,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '2', 'worker-id': 'A2ZDEERVRN5AMC'}
1617330555.703957,A2ZDEERVRN5AMC,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '2', 'worker-id': 'A2ZDEERVRN5AMC'}
1617330556.099263,A2ZDEERVRN5AMC,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '2', 'worker-id': 'A2ZDEERVRN5AMC'}
1617330556.100071,A2ZDEERVRN5AMC,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '2', 'worker-id': 'A2ZDEERVRN5AMC'}
1617330556.195194,A2ZDEERVRN5AMC,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '2', 'worker-id': 'A2ZDEERVRN5AMC'}
1617330556.622229,A2ZDEERVRN5AMC,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '2', 'worker-id': 'A2ZDEERVRN5AMC'}
1617330556.623216,A2ZDEERVRN5AMC,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '2', 'worker-id': 'A2ZDEERVRN5AMC'}
1617330557.110597,A2ZDEERVRN5AMC,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '2', 'worker-id': 'A2ZDEERVRN5AMC'}
1617330560.383271,A2ZDEERVRN5AMC,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '2', 'worker-id': 'A2ZDEERVRN5AMC'}
1617330560.694711,A2ZDEERVRN5AMC,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '2', 'worker-id': 'A2ZDEERVRN5AMC'}
1617330561.008168,A2ZDEERVRN5AMC,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '2', 'worker-id': 'A2ZDEERVRN5AMC'}
1617330561.298906,A2ZDEERVRN5AMC,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '2', 'worker-id': 'A2ZDEERVRN5AMC'}
1617330561.948343,A2ZDEERVRN5AMC,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '2', 'worker-id': 'A2ZDEERVRN5AMC'}
1617330562.261824,A2ZDEERVRN5AMC,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '2', 'worker-id': 'A2ZDEERVRN5AMC'}
1617330562.574848,A2ZDEERVRN5AMC,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '2', 'worker-id': 'A2ZDEERVRN5AMC'}
1617330562.887969,A2ZDEERVRN5AMC,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '2', 'worker-id': 'A2ZDEERVRN5AMC'}
1617330564.350884,A2ZDEERVRN5AMC,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '2', 'worker-id': 'A2ZDEERVRN5AMC'}
1617330564.540153,A2ZDEERVRN5AMC,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '2', 'worker-id': 'A2ZDEERVRN5AMC'}
1617330566.544347,A2ZDEERVRN5AMC,{'stage': 'SAGAT', 'action': 'side-panel-click', 'object': 'next button tutorial 3', 'worker-id': 'A2ZDEERVRN5AMC'}
1617330566.545169,A2ZDEERVRN5AMC,{'stage': 'SAGAT', 'action': 'side-panel-state', 'object': 'showing introduction', 'worker-id': 'A2ZDEERVRN5AMC'}
1617330622.296039,A2ZDEERVRN5AMC,{'stage': 'SAGAT', 'action': 'side-panel-click', 'object': 'next button introduction', 'worker-id': 'A2ZDEERVRN5AMC'}
1617330622.296827,A2ZDEERVRN5AMC,{'stage': 'SAGAT', 'action': 'side-panel-state', 'object': 'showing information panel', 'worker-id': 'A2ZDEERVRN5AMC'}
1617330691.988914,A2ZDEERVRN5AMC,{'stage': 'SAGAT', 'action': 'side-panel-state', 'object': 'showing information panel', 'worker-id': 'A2ZDEERVRN5AMC'}
1617330691.992427,A2ZDEERVRN5AMC,{'stage': 'SAGAT', 'action': 'side-panel-click', 'object': 'next button information', 'worker-id': 'A2ZDEERVRN5AMC'}
1617330722.079542,A2ZDEERVRN5AMC,{'stage': 'SAGAT', 'action': 'side-panel-state', 'object': 'showing sagat questions', 'worker-id': 'A2ZDEERVRN5AMC'}
1617330736.386921,A2ZDEERVRN5AMC,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '10', 'worker-id': 'A2ZDEERVRN5AMC'}
1617330736.797794,A2ZDEERVRN5AMC,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '10', 'worker-id': 'A2ZDEERVRN5AMC'}
1617330737.202645,A2ZDEERVRN5AMC,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '10', 'worker-id': 'A2ZDEERVRN5AMC'}
1617330737.614517,A2ZDEERVRN5AMC,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '10', 'worker-id': 'A2ZDEERVRN5AMC'}
1617330737.812845,A2ZDEERVRN5AMC,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '10', 'worker-id': 'A2ZDEERVRN5AMC'}
1617330738.364191,A2ZDEERVRN5AMC,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '10', 'worker-id': 'A2ZDEERVRN5AMC'}
1617330739.304387,A2ZDEERVRN5AMC,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '11', 'worker-id': 'A2ZDEERVRN5AMC'}
1617330739.617531,A2ZDEERVRN5AMC,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '11', 'worker-id': 'A2ZDEERVRN5AMC'}
1617330739.930667,A2ZDEERVRN5AMC,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '11', 'worker-id': 'A2ZDEERVRN5AMC'}
1617330740.32018,A2ZDEERVRN5AMC,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '11', 'worker-id': 'A2ZDEERVRN5AMC'}
