
1621292404.266613,A34BU741DRZZDM,{'stage': 'portal', 'action': 'opened-portal', 'worker-id': 'A34BU741DRZZDM'}
1621292414.279771,A34BU741DRZZDM,{'stage': 'tutorial', 'action': 'opened-tutorial', 'worker-id': 'A34BU741DRZZDM'}
1621292432.384803,A34BU741DRZZDM,{'stage': 'portal', 'action': 'opened-portal', 'worker-id': 'A34BU741DRZZDM'}
1621292436.986557,A34BU741DRZZDM,{'stage': 'SAGAT', 'action': 'side-panel-state', 'object': 'showing tutorial panel 1', 'worker-id': 'A34BU741DRZZDM'}
1621292444.359321,A34BU741DRZZDM,{'stage': 'SAGAT', 'action': 'side-panel-click', 'object': 'next button tutorial 1', 'worker-id': 'A34BU741DRZZDM'}
1621292444.360299,A34BU741DRZZDM,{'stage': 'SAGAT', 'action': 'side-panel-state', 'object': 'showing tutorial panel 2', 'worker-id': 'A34BU741DRZZDM'}
1621292447.124082,A34BU741DRZZDM,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '0', 'worker-id': 'A34BU741DRZZDM'}
1621292449.273401,A34BU741DRZZDM,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '0', 'worker-id': 'A34BU741DRZZDM'}
1621292449.493825,A34BU741DRZZDM,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '0', 'worker-id': 'A34BU741DRZZDM'}
1621292451.119481,A34BU741DRZZDM,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '0', 'worker-id': 'A34BU741DRZZDM'}
1621292451.435438,A34BU741DRZZDM,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '0', 'worker-id': 'A34BU741DRZZDM'}
1621292452.35034,A34BU741DRZZDM,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '0', 'worker-id': 'A34BU741DRZZDM'}
1621292452.461265,A34BU741DRZZDM,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '0', 'worker-id': 'A34BU741DRZZDM'}
1621292452.662695,A34BU741DRZZDM,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '0', 'worker-id': 'A34BU741DRZZDM'}
1621292452.961923,A34BU741DRZZDM,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '0', 'worker-id': 'A34BU741DRZZDM'}
1621292453.061801,A34BU741DRZZDM,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '0', 'worker-id': 'A34BU741DRZZDM'}
1621292453.366659,A34BU741DRZZDM,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '0', 'worker-id': 'A34BU741DRZZDM'}
1621292453.58118,A34BU741DRZZDM,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '0', 'worker-id': 'A34BU741DRZZDM'}
1621292453.763297,A34BU741DRZZDM,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '0', 'worker-id': 'A34BU741DRZZDM'}
1621292454.600819,A34BU741DRZZDM,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '0', 'worker-id': 'A34BU741DRZZDM'}
1621292454.903856,A34BU741DRZZDM,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '0', 'worker-id': 'A34BU741DRZZDM'}
1621292455.111266,A34BU741DRZZDM,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '0', 'worker-id': 'A34BU741DRZZDM'}
1621292455.416663,A34BU741DRZZDM,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '0', 'worker-id': 'A34BU741DRZZDM'}
1621292456.034062,A34BU741DRZZDM,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '0', 'worker-id': 'A34BU741DRZZDM'}
