
1623627502.173732,A353XKDTUX10NC,{'stage': 'portal', 'action': 'opened-portal', 'worker-id': 'A353XKDTUX10NC'}
1623627505.756317,A353XKDTUX10NC,{'stage': 'tutorial', 'action': 'opened-tutorial', 'worker-id': 'A353XKDTUX10NC'}
1623627528.543449,A353XKDTUX10NC,{'stage': 'portal', 'action': 'opened-portal', 'worker-id': 'A353XKDTUX10NC'}
1623627533.268896,A353XKDTUX10NC,{'stage': 'SAGAT', 'action': 'side-panel-state', 'object': 'showing tutorial panel 1', 'worker-id': 'A353XKDTUX10NC'}
1623627559.525511,A353XKDTUX10NC,{'stage': 'SAGAT', 'action': 'side-panel-state', 'object': 'showing tutorial panel 2', 'worker-id': 'A353XKDTUX10NC'}
1623627559.526305,A353XKDTUX10NC,{'stage': 'SAGAT', 'action': 'side-panel-click', 'object': 'next button tutorial 1', 'worker-id': 'A353XKDTUX10NC'}
1623627666.019101,A353XKDTUX10NC,{'stage': 'SAGAT', 'action': 'side-panel-click', 'object': 'next button tutorial 2', 'worker-id': 'A353XKDTUX10NC'}
1623627666.019733,A353XKDTUX10NC,{'stage': 'SAGAT', 'action': 'side-panel-state', 'object': 'showing sagat questions', 'worker-id': 'A353XKDTUX10NC'}
1623627666.023072,A353XKDTUX10NC,{'stage': 'SAGAT', 'action': 'side-panel-state', 'object': 'showing tutorial panel 3', 'worker-id': 'A353XKDTUX10NC'}
1623627674.826085,A353XKDTUX10NC,{'stage': 'SAGAT', 'action': 'side-panel-state', 'object': 'showing introduction', 'worker-id': 'A353XKDTUX10NC'}
1623627674.82679,A353XKDTUX10NC,{'stage': 'SAGAT', 'action': 'side-panel-click', 'object': 'next button tutorial 3', 'worker-id': 'A353XKDTUX10NC'}
1623627691.824488,A353XKDTUX10NC,{'stage': 'SAGAT', 'action': 'side-panel-click', 'object': 'next button introduction', 'worker-id': 'A353XKDTUX10NC'}
1623627691.825832,A353XKDTUX10NC,{'stage': 'SAGAT', 'action': 'side-panel-state', 'object': 'showing information panel', 'worker-id': 'A353XKDTUX10NC'}
1623627715.276692,A353XKDTUX10NC,{'stage': 'SAGAT', 'action': 'side-panel-state', 'object': 'showing information panel', 'worker-id': 'A353XKDTUX10NC'}
1623627715.277153,A353XKDTUX10NC,{'stage': 'SAGAT', 'action': 'side-panel-click', 'object': 'next button information', 'worker-id': 'A353XKDTUX10NC'}
1623627745.278355,A353XKDTUX10NC,{'stage': 'SAGAT', 'action': 'side-panel-state', 'object': 'showing sagat questions', 'worker-id': 'A353XKDTUX10NC'}
1623627758.181374,A353XKDTUX10NC,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '10', 'worker-id': 'A353XKDTUX10NC'}
1623627758.795676,A353XKDTUX10NC,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '11', 'worker-id': 'A353XKDTUX10NC'}
1623627759.410262,A353XKDTUX10NC,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '12', 'worker-id': 'A353XKDTUX10NC'}
1623627759.738698,A353XKDTUX10NC,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '13', 'worker-id': 'A353XKDTUX10NC'}
1623627760.229504,A353XKDTUX10NC,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '14', 'worker-id': 'A353XKDTUX10NC'}
1623627760.843985,A353XKDTUX10NC,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '15', 'worker-id': 'A353XKDTUX10NC'}
1623627761.355787,A353XKDTUX10NC,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '16', 'worker-id': 'A353XKDTUX10NC'}
1623627762.687508,A353XKDTUX10NC,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '9', 'worker-id': 'A353XKDTUX10NC'}
1623627762.688235,A353XKDTUX10NC,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '8', 'worker-id': 'A353XKDTUX10NC'}
1623627763.404457,A353XKDTUX10NC,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '7', 'worker-id': 'A353XKDTUX10NC'}
1623627763.813953,A353XKDTUX10NC,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '6', 'worker-id': 'A353XKDTUX10NC'}
1623627764.223397,A353XKDTUX10NC,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '5', 'worker-id': 'A353XKDTUX10NC'}
1623627764.837726,A353XKDTUX10NC,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '4', 'worker-id': 'A353XKDTUX10NC'}
1623627765.349903,A353XKDTUX10NC,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '3', 'worker-id': 'A353XKDTUX10NC'}
1623627765.965319,A353XKDTUX10NC,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '0', 'worker-id': 'A353XKDTUX10NC'}
1623627766.476995,A353XKDTUX10NC,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '1', 'worker-id': 'A353XKDTUX10NC'}
1623627766.98846,A353XKDTUX10NC,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '2', 'worker-id': 'A353XKDTUX10NC'}
1623627768.626797,A353XKDTUX10NC,{'stage': 'SAGAT', 'action': 'side-panel-click', 'object': 'next button sagat questions', 'worker-id': 'A353XKDTUX10NC'}
1623627768.627395,A353XKDTUX10NC,{'stage': 'SAGAT', 'action': 'side-panel-state', 'object': 'showing information panel', 'worker-id': 'A353XKDTUX10NC'}
1623627798.631634,A353XKDTUX10NC,{'stage': 'SAGAT', 'action': 'side-panel-state', 'object': 'showing sagat questions', 'worker-id': 'A353XKDTUX10NC'}
1623627804.161535,A353XKDTUX10NC,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '11', 'worker-id': 'A353XKDTUX10NC'}
1623627804.442035,A353XKDTUX10NC,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '11', 'worker-id': 'A353XKDTUX10NC'}
1623627804.98036,A353XKDTUX10NC,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '10', 'worker-id': 'A353XKDTUX10NC'}
1623627805.390388,A353XKDTUX10NC,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '3', 'worker-id': 'A353XKDTUX10NC'}
1623627806.115049,A353XKDTUX10NC,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '4', 'worker-id': 'A353XKDTUX10NC'}
1623627806.520484,A353XKDTUX10NC,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '0', 'worker-id': 'A353XKDTUX10NC'}
1623627807.233842,A353XKDTUX10NC,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '1', 'worker-id': 'A353XKDTUX10NC'}
1623627807.847569,A353XKDTUX10NC,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '12', 'worker-id': 'A353XKDTUX10NC'}
1623627808.303705,A353XKDTUX10NC,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '5', 'worker-id': 'A353XKDTUX10NC'}
1623627808.974375,A353XKDTUX10NC,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '6', 'worker-id': 'A353XKDTUX10NC'}
1623627809.286228,A353XKDTUX10NC,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '7', 'worker-id': 'A353XKDTUX10NC'}
1623627809.793571,A353XKDTUX10NC,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '2', 'worker-id': 'A353XKDTUX10NC'}
1623627810.203057,A353XKDTUX10NC,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '8', 'worker-id': 'A353XKDTUX10NC'}
1623627810.510958,A353XKDTUX10NC,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '9', 'worker-id': 'A353XKDTUX10NC'}
1623627810.920167,A353XKDTUX10NC,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '16', 'worker-id': 'A353XKDTUX10NC'}
1623627811.227747,A353XKDTUX10NC,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '15', 'worker-id': 'A353XKDTUX10NC'}
1623627811.56356,A353XKDTUX10NC,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '14', 'worker-id': 'A353XKDTUX10NC'}
1623627812.45607,A353XKDTUX10NC,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '13', 'worker-id': 'A353XKDTUX10NC'}
1623627812.767997,A353XKDTUX10NC,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '13', 'worker-id': 'A353XKDTUX10NC'}
1623627813.173158,A353XKDTUX10NC,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '13', 'worker-id': 'A353XKDTUX10NC'}
1623627814.813436,A353XKDTUX10NC,{'stage': 'SAGAT', 'action': 'side-panel-click', 'object': 'next button sagat questions', 'worker-id': 'A353XKDTUX10NC'}
1623627814.813875,A353XKDTUX10NC,{'stage': 'SAGAT', 'action': 'side-panel-state', 'object': 'showing information panel', 'worker-id': 'A353XKDTUX10NC'}
1623627844.82469,A353XKDTUX10NC,{'stage': 'SAGAT', 'action': 'side-panel-state', 'object': 'showing sagat questions', 'worker-id': 'A353XKDTUX10NC'}
1623627846.658833,A353XKDTUX10NC,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '4', 'worker-id': 'A353XKDTUX10NC'}
1623627847.068597,A353XKDTUX10NC,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '4', 'worker-id': 'A353XKDTUX10NC'}
1623627847.580626,A353XKDTUX10NC,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '4', 'worker-id': 'A353XKDTUX10NC'}
1623627849.014361,A353XKDTUX10NC,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '13', 'worker-id': 'A353XKDTUX10NC'}
1623627849.424163,A353XKDTUX10NC,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '13', 'worker-id': 'A353XKDTUX10NC'}
1623627850.857746,A353XKDTUX10NC,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '13', 'worker-id': 'A353XKDTUX10NC'}
1623627851.881603,A353XKDTUX10NC,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '16', 'worker-id': 'A353XKDTUX10NC'}
