
1616542335.753677,A3CGQOJC28OVGN,{'stage': 'portal', 'action': 'opened-portal', 'worker-id': 'A3CGQOJC28OVGN'}
1616542342.535461,A3CGQOJC28OVGN,{'stage': 'tutorial', 'action': 'opened-tutorial', 'worker-id': 'A3CGQOJC28OVGN'}
1616542354.486041,A3CGQOJC28OVGN,{'stage': 'portal', 'action': 'opened-portal', 'worker-id': 'A3CGQOJC28OVGN'}
1616542386.23492,A3CGQOJC28OVGN,{'stage': 'portal', 'action': 'opened-portal', 'worker-id': 'A3CGQOJC28OVGN'}
1616542388.365225,A3CGQOJC28OVGN,{'stage': 'SAGAT', 'action': 'side-panel-state', 'object': 'showing tutorial panel 1', 'worker-id': 'A3CGQOJC28OVGN'}
1616542427.237927,A3CGQOJC28OVGN,{'stage': 'SAGAT', 'action': 'side-panel-state', 'object': 'showing tutorial panel 2', 'worker-id': 'A3CGQOJC28OVGN'}
1616542427.237497,A3CGQOJC28OVGN,{'stage': 'SAGAT', 'action': 'side-panel-click', 'object': 'next button tutorial 1', 'worker-id': 'A3CGQOJC28OVGN'}
1616542477.901612,A3CGQOJC28OVGN,{'stage': 'SAGAT', 'action': 'side-panel-click', 'object': 'next button tutorial 2', 'worker-id': 'A3CGQOJC28OVGN'}
1616542477.902885,A3CGQOJC28OVGN,{'stage': 'SAGAT', 'action': 'side-panel-state', 'object': 'showing sagat questions', 'worker-id': 'A3CGQOJC28OVGN'}
1616542477.902283,A3CGQOJC28OVGN,{'stage': 'SAGAT', 'action': 'side-panel-state', 'object': 'showing tutorial panel 3', 'worker-id': 'A3CGQOJC28OVGN'}
1616542487.824001,A3CGQOJC28OVGN,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '1', 'worker-id': 'A3CGQOJC28OVGN'}
1616542488.558008,A3CGQOJC28OVGN,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '1', 'worker-id': 'A3CGQOJC28OVGN'}
1616542489.180981,A3CGQOJC28OVGN,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '1', 'worker-id': 'A3CGQOJC28OVGN'}
1616542489.599239,A3CGQOJC28OVGN,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '1', 'worker-id': 'A3CGQOJC28OVGN'}
1616542489.913609,A3CGQOJC28OVGN,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '1', 'worker-id': 'A3CGQOJC28OVGN'}
1616542490.434983,A3CGQOJC28OVGN,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '1', 'worker-id': 'A3CGQOJC28OVGN'}
1616542490.643879,A3CGQOJC28OVGN,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '1', 'worker-id': 'A3CGQOJC28OVGN'}
1616542490.964042,A3CGQOJC28OVGN,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '1', 'worker-id': 'A3CGQOJC28OVGN'}
1616542491.017063,A3CGQOJC28OVGN,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '1', 'worker-id': 'A3CGQOJC28OVGN'}
1616542491.588128,A3CGQOJC28OVGN,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '1', 'worker-id': 'A3CGQOJC28OVGN'}
1616542491.662643,A3CGQOJC28OVGN,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '1', 'worker-id': 'A3CGQOJC28OVGN'}
1616542491.871322,A3CGQOJC28OVGN,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '1', 'worker-id': 'A3CGQOJC28OVGN'}
1616542493.151047,A3CGQOJC28OVGN,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '2', 'worker-id': 'A3CGQOJC28OVGN'}
1616542493.240445,A3CGQOJC28OVGN,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '2', 'worker-id': 'A3CGQOJC28OVGN'}
1616542493.463684,A3CGQOJC28OVGN,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '2', 'worker-id': 'A3CGQOJC28OVGN'}
1616542493.63667,A3CGQOJC28OVGN,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '2', 'worker-id': 'A3CGQOJC28OVGN'}
1616542493.88399,A3CGQOJC28OVGN,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '2', 'worker-id': 'A3CGQOJC28OVGN'}
1616542494.299271,A3CGQOJC28OVGN,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '2', 'worker-id': 'A3CGQOJC28OVGN'}
1616542494.412419,A3CGQOJC28OVGN,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '2', 'worker-id': 'A3CGQOJC28OVGN'}
1616542494.712857,A3CGQOJC28OVGN,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '2', 'worker-id': 'A3CGQOJC28OVGN'}
1616542495.865996,A3CGQOJC28OVGN,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '0', 'worker-id': 'A3CGQOJC28OVGN'}
1616542496.034456,A3CGQOJC28OVGN,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '0', 'worker-id': 'A3CGQOJC28OVGN'}
1616542496.283947,A3CGQOJC28OVGN,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '0', 'worker-id': 'A3CGQOJC28OVGN'}
1616542496.417519,A3CGQOJC28OVGN,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '0', 'worker-id': 'A3CGQOJC28OVGN'}
1616542504.640148,A3CGQOJC28OVGN,{'stage': 'SAGAT', 'action': 'side-panel-click', 'object': 'next button tutorial 3', 'worker-id': 'A3CGQOJC28OVGN'}
1616542504.641157,A3CGQOJC28OVGN,{'stage': 'SAGAT', 'action': 'side-panel-state', 'object': 'showing introduction', 'worker-id': 'A3CGQOJC28OVGN'}
1616542520.829488,A3CGQOJC28OVGN,{'stage': 'SAGAT', 'action': 'side-panel-click', 'object': 'next button introduction', 'worker-id': 'A3CGQOJC28OVGN'}
1616542520.831193,A3CGQOJC28OVGN,{'stage': 'SAGAT', 'action': 'side-panel-state', 'object': 'showing information panel', 'worker-id': 'A3CGQOJC28OVGN'}
1616542538.482531,A3CGQOJC28OVGN,{'stage': 'SAGAT', 'action': 'side-panel-state', 'object': 'showing information panel', 'worker-id': 'A3CGQOJC28OVGN'}
1616542538.483232,A3CGQOJC28OVGN,{'stage': 'SAGAT', 'action': 'side-panel-click', 'object': 'next button information', 'worker-id': 'A3CGQOJC28OVGN'}
1616542568.460424,A3CGQOJC28OVGN,{'stage': 'SAGAT', 'action': 'side-panel-state', 'object': 'showing sagat questions', 'worker-id': 'A3CGQOJC28OVGN'}
1616542585.171524,A3CGQOJC28OVGN,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '2', 'worker-id': 'A3CGQOJC28OVGN'}
1616542588.828811,A3CGQOJC28OVGN,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '1', 'worker-id': 'A3CGQOJC28OVGN'}
1616542589.141449,A3CGQOJC28OVGN,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '1', 'worker-id': 'A3CGQOJC28OVGN'}
1616542589.663152,A3CGQOJC28OVGN,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '1', 'worker-id': 'A3CGQOJC28OVGN'}
1616542591.023654,A3CGQOJC28OVGN,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '0', 'worker-id': 'A3CGQOJC28OVGN'}
1616542591.960289,A3CGQOJC28OVGN,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '3', 'worker-id': 'A3CGQOJC28OVGN'}
1616542592.482614,A3CGQOJC28OVGN,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '4', 'worker-id': 'A3CGQOJC28OVGN'}
1616542593.319105,A3CGQOJC28OVGN,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '11', 'worker-id': 'A3CGQOJC28OVGN'}
1616542594.261383,A3CGQOJC28OVGN,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '10', 'worker-id': 'A3CGQOJC28OVGN'}
1616542595.305231,A3CGQOJC28OVGN,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '12', 'worker-id': 'A3CGQOJC28OVGN'}
1616542595.928553,A3CGQOJC28OVGN,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '5', 'worker-id': 'A3CGQOJC28OVGN'}
1616542596.557919,A3CGQOJC28OVGN,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '6', 'worker-id': 'A3CGQOJC28OVGN'}
1616542597.808977,A3CGQOJC28OVGN,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '13', 'worker-id': 'A3CGQOJC28OVGN'}
1616542598.539958,A3CGQOJC28OVGN,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '14', 'worker-id': 'A3CGQOJC28OVGN'}
1616542599.266502,A3CGQOJC28OVGN,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '7', 'worker-id': 'A3CGQOJC28OVGN'}
1616542599.898149,A3CGQOJC28OVGN,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '8', 'worker-id': 'A3CGQOJC28OVGN'}
1616542600.882748,A3CGQOJC28OVGN,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '15', 'worker-id': 'A3CGQOJC28OVGN'}
1616542601.569336,A3CGQOJC28OVGN,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '16', 'worker-id': 'A3CGQOJC28OVGN'}
1616542602.198724,A3CGQOJC28OVGN,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '9', 'worker-id': 'A3CGQOJC28OVGN'}
1616542603.032818,A3CGQOJC28OVGN,{'stage': 'SAGAT', 'action': 'side-panel-state', 'object': 'showing misunderstanding panel', 'worker-id': 'A3CGQOJC28OVGN'}
1616542603.0337,A3CGQOJC28OVGN,{'stage': 'SAGAT', 'action': 'side-panel-click', 'object': 'next button sagat questions', 'worker-id': 'A3CGQOJC28OVGN'}
1616542608.671571,A3CGQOJC28OVGN,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '1', 'worker-id': 'A3CGQOJC28OVGN'}
1616542609.043227,A3CGQOJC28OVGN,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '1', 'worker-id': 'A3CGQOJC28OVGN'}
1616542611.187119,A3CGQOJC28OVGN,{'stage': 'SAGAT', 'action': 'side-panel-click', 'object': 'next button misunderstanding panel', 'worker-id': 'A3CGQOJC28OVGN'}
1616542611.189006,A3CGQOJC28OVGN,{'stage': 'SAGAT', 'action': 'side-panel-state', 'object': 'showing sagat questions', 'worker-id': 'A3CGQOJC28OVGN'}
1616542612.640889,A3CGQOJC28OVGN,{'stage': 'SAGAT', 'action': 'side-panel-click', 'object': 'next button sagat questions', 'worker-id': 'A3CGQOJC28OVGN'}
