
1621110156.256655,A3G9DL3KBPUHSG,{'stage': 'portal', 'action': 'opened-portal', 'worker-id': 'A3G9DL3KBPUHSG'}
1621110159.312396,A3G9DL3KBPUHSG,{'stage': 'tutorial', 'action': 'opened-tutorial', 'worker-id': 'A3G9DL3KBPUHSG'}
1621110165.149001,A3G9DL3KBPUHSG,{'stage': 'portal', 'action': 'opened-portal', 'worker-id': 'A3G9DL3KBPUHSG'}
1621110169.141191,A3G9DL3KBPUHSG,{'stage': 'SAGAT', 'action': 'side-panel-state', 'object': 'showing tutorial panel 1', 'worker-id': 'A3G9DL3KBPUHSG'}
1621110175.286182,A3G9DL3KBPUHSG,{'stage': 'SAGAT', 'action': 'side-panel-state', 'object': 'showing tutorial panel 2', 'worker-id': 'A3G9DL3KBPUHSG'}
1621110175.285451,A3G9DL3KBPUHSG,{'stage': 'SAGAT', 'action': 'side-panel-click', 'object': 'next button tutorial 1', 'worker-id': 'A3G9DL3KBPUHSG'}
1621110178.665194,A3G9DL3KBPUHSG,{'stage': 'SAGAT', 'action': 'side-panel-state', 'object': 'showing tutorial panel 3', 'worker-id': 'A3G9DL3KBPUHSG'}
1621110178.665782,A3G9DL3KBPUHSG,{'stage': 'SAGAT', 'action': 'side-panel-click', 'object': 'next button tutorial 2', 'worker-id': 'A3G9DL3KBPUHSG'}
1621110178.667443,A3G9DL3KBPUHSG,{'stage': 'SAGAT', 'action': 'side-panel-state', 'object': 'showing sagat questions', 'worker-id': 'A3G9DL3KBPUHSG'}
1621110179.894871,A3G9DL3KBPUHSG,{'stage': 'SAGAT', 'action': 'side-panel-state', 'object': 'showing introduction', 'worker-id': 'A3G9DL3KBPUHSG'}
1621110179.894158,A3G9DL3KBPUHSG,{'stage': 'SAGAT', 'action': 'side-panel-click', 'object': 'next button tutorial 3', 'worker-id': 'A3G9DL3KBPUHSG'}
1621110181.429842,A3G9DL3KBPUHSG,{'stage': 'SAGAT', 'action': 'side-panel-state', 'object': 'showing information panel', 'worker-id': 'A3G9DL3KBPUHSG'}
1621110181.430844,A3G9DL3KBPUHSG,{'stage': 'SAGAT', 'action': 'side-panel-click', 'object': 'next button introduction', 'worker-id': 'A3G9DL3KBPUHSG'}
1621110182.65824,A3G9DL3KBPUHSG,{'stage': 'SAGAT', 'action': 'side-panel-state', 'object': 'showing information panel', 'worker-id': 'A3G9DL3KBPUHSG'}
1621110182.659681,A3G9DL3KBPUHSG,{'stage': 'SAGAT', 'action': 'side-panel-click', 'object': 'next button information', 'worker-id': 'A3G9DL3KBPUHSG'}
1621110212.461173,A3G9DL3KBPUHSG,{'stage': 'SAGAT', 'action': 'side-panel-state', 'object': 'showing sagat questions', 'worker-id': 'A3G9DL3KBPUHSG'}
1621110214.913124,A3G9DL3KBPUHSG,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '0', 'worker-id': 'A3G9DL3KBPUHSG'}
1621110215.534107,A3G9DL3KBPUHSG,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '1', 'worker-id': 'A3G9DL3KBPUHSG'}
1621110216.450132,A3G9DL3KBPUHSG,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '2', 'worker-id': 'A3G9DL3KBPUHSG'}
1621110217.064629,A3G9DL3KBPUHSG,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '9', 'worker-id': 'A3G9DL3KBPUHSG'}
1621110217.677381,A3G9DL3KBPUHSG,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '8', 'worker-id': 'A3G9DL3KBPUHSG'}
1621110217.881891,A3G9DL3KBPUHSG,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '7', 'worker-id': 'A3G9DL3KBPUHSG'}
1621110218.599216,A3G9DL3KBPUHSG,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '6', 'worker-id': 'A3G9DL3KBPUHSG'}
1621110218.802143,A3G9DL3KBPUHSG,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '5', 'worker-id': 'A3G9DL3KBPUHSG'}
1621110219.525976,A3G9DL3KBPUHSG,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '4', 'worker-id': 'A3G9DL3KBPUHSG'}
1621110219.830065,A3G9DL3KBPUHSG,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '3', 'worker-id': 'A3G9DL3KBPUHSG'}
1621110220.674935,A3G9DL3KBPUHSG,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '10', 'worker-id': 'A3G9DL3KBPUHSG'}
1621110221.371951,A3G9DL3KBPUHSG,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '11', 'worker-id': 'A3G9DL3KBPUHSG'}
1621110221.98026,A3G9DL3KBPUHSG,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '12', 'worker-id': 'A3G9DL3KBPUHSG'}
1621110222.593221,A3G9DL3KBPUHSG,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '13', 'worker-id': 'A3G9DL3KBPUHSG'}
1621110223.210519,A3G9DL3KBPUHSG,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '14', 'worker-id': 'A3G9DL3KBPUHSG'}
1621110223.823419,A3G9DL3KBPUHSG,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '15', 'worker-id': 'A3G9DL3KBPUHSG'}
1621110224.436977,A3G9DL3KBPUHSG,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '16', 'worker-id': 'A3G9DL3KBPUHSG'}
1621110225.358359,A3G9DL3KBPUHSG,{'stage': 'SAGAT', 'action': 'side-panel-state', 'object': 'showing information panel', 'worker-id': 'A3G9DL3KBPUHSG'}
1621110225.358942,A3G9DL3KBPUHSG,{'stage': 'SAGAT', 'action': 'side-panel-click', 'object': 'next button sagat questions', 'worker-id': 'A3G9DL3KBPUHSG'}
1621110255.465172,A3G9DL3KBPUHSG,{'stage': 'SAGAT', 'action': 'side-panel-state', 'object': 'showing sagat questions', 'worker-id': 'A3G9DL3KBPUHSG'}
1621110257.324309,A3G9DL3KBPUHSG,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '1', 'worker-id': 'A3G9DL3KBPUHSG'}
1621110257.890623,A3G9DL3KBPUHSG,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '6', 'worker-id': 'A3G9DL3KBPUHSG'}
1621110258.708271,A3G9DL3KBPUHSG,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '6', 'worker-id': 'A3G9DL3KBPUHSG'}
1621110259.458467,A3G9DL3KBPUHSG,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '7', 'worker-id': 'A3G9DL3KBPUHSG'}
1621110259.621657,A3G9DL3KBPUHSG,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '7', 'worker-id': 'A3G9DL3KBPUHSG'}
1621110260.379243,A3G9DL3KBPUHSG,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '8', 'worker-id': 'A3G9DL3KBPUHSG'}
1621110260.380283,A3G9DL3KBPUHSG,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '8', 'worker-id': 'A3G9DL3KBPUHSG'}
1621110260.840657,A3G9DL3KBPUHSG,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '9', 'worker-id': 'A3G9DL3KBPUHSG'}
1621110260.964719,A3G9DL3KBPUHSG,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '9', 'worker-id': 'A3G9DL3KBPUHSG'}
1621110261.914761,A3G9DL3KBPUHSG,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '5', 'worker-id': 'A3G9DL3KBPUHSG'}
1621110263.150744,A3G9DL3KBPUHSG,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '5', 'worker-id': 'A3G9DL3KBPUHSG'}
1621110263.185941,A3G9DL3KBPUHSG,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '4', 'worker-id': 'A3G9DL3KBPUHSG'}
1621110263.370165,A3G9DL3KBPUHSG,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '4', 'worker-id': 'A3G9DL3KBPUHSG'}
1621110264.066929,A3G9DL3KBPUHSG,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '3', 'worker-id': 'A3G9DL3KBPUHSG'}
1621110264.071236,A3G9DL3KBPUHSG,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '3', 'worker-id': 'A3G9DL3KBPUHSG'}
1621110264.993566,A3G9DL3KBPUHSG,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '0', 'worker-id': 'A3G9DL3KBPUHSG'}
1621110265.607459,A3G9DL3KBPUHSG,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '2', 'worker-id': 'A3G9DL3KBPUHSG'}
1621110266.83362,A3G9DL3KBPUHSG,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '15', 'worker-id': 'A3G9DL3KBPUHSG'}
1621110267.445841,A3G9DL3KBPUHSG,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '16', 'worker-id': 'A3G9DL3KBPUHSG'}
1621110267.850446,A3G9DL3KBPUHSG,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '14', 'worker-id': 'A3G9DL3KBPUHSG'}
1621110268.771519,A3G9DL3KBPUHSG,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '13', 'worker-id': 'A3G9DL3KBPUHSG'}
1621110268.89204,A3G9DL3KBPUHSG,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '12', 'worker-id': 'A3G9DL3KBPUHSG'}
1621110269.90918,A3G9DL3KBPUHSG,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '11', 'worker-id': 'A3G9DL3KBPUHSG'}
1621110270.106173,A3G9DL3KBPUHSG,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '11', 'worker-id': 'A3G9DL3KBPUHSG'}
1621110270.826877,A3G9DL3KBPUHSG,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '11', 'worker-id': 'A3G9DL3KBPUHSG'}
1621110271.540188,A3G9DL3KBPUHSG,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '10', 'worker-id': 'A3G9DL3KBPUHSG'}
1621110271.744281,A3G9DL3KBPUHSG,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '10', 'worker-id': 'A3G9DL3KBPUHSG'}
1621110272.362176,A3G9DL3KBPUHSG,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '10', 'worker-id': 'A3G9DL3KBPUHSG'}
1621110273.380021,A3G9DL3KBPUHSG,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '12', 'worker-id': 'A3G9DL3KBPUHSG'}
1621110273.89763,A3G9DL3KBPUHSG,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '12', 'worker-id': 'A3G9DL3KBPUHSG'}
1621110274.818058,A3G9DL3KBPUHSG,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '13', 'worker-id': 'A3G9DL3KBPUHSG'}
1621110274.818549,A3G9DL3KBPUHSG,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '13', 'worker-id': 'A3G9DL3KBPUHSG'}
1621110275.740902,A3G9DL3KBPUHSG,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '14', 'worker-id': 'A3G9DL3KBPUHSG'}
1621110275.741351,A3G9DL3KBPUHSG,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '14', 'worker-id': 'A3G9DL3KBPUHSG'}
1621110276.664459,A3G9DL3KBPUHSG,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '15', 'worker-id': 'A3G9DL3KBPUHSG'}
1621110276.815276,A3G9DL3KBPUHSG,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '15', 'worker-id': 'A3G9DL3KBPUHSG'}
