
1616533591.195095,A7O82NXM2PI12,{'stage': 'portal', 'action': 'opened-portal', 'worker-id': 'A7O82NXM2PI12'}
1616533686.869836,A7O82NXM2PI12,{'stage': 'tutorial', 'action': 'opened-tutorial', 'worker-id': 'A7O82NXM2PI12'}
1616533727.814239,A7O82NXM2PI12,{'stage': 'portal', 'action': 'opened-portal', 'worker-id': 'A7O82NXM2PI12'}
1616533730.636664,A7O82NXM2PI12,{'stage': 'SAGAT', 'action': 'side-panel-state', 'object': 'showing tutorial panel 1', 'worker-id': 'A7O82NXM2PI12'}
1616533839.264038,A7O82NXM2PI12,{'stage': 'SAGAT', 'action': 'side-panel-state', 'object': 'showing tutorial panel 2', 'worker-id': 'A7O82NXM2PI12'}
1616533839.264483,A7O82NXM2PI12,{'stage': 'SAGAT', 'action': 'side-panel-click', 'object': 'next button tutorial 1', 'worker-id': 'A7O82NXM2PI12'}
1616533905.169856,A7O82NXM2PI12,{'stage': 'SAGAT', 'action': 'side-panel-state', 'object': 'showing tutorial panel 3', 'worker-id': 'A7O82NXM2PI12'}
1616533905.195731,A7O82NXM2PI12,{'stage': 'SAGAT', 'action': 'side-panel-click', 'object': 'next button tutorial 2', 'worker-id': 'A7O82NXM2PI12'}
1616533905.196733,A7O82NXM2PI12,{'stage': 'SAGAT', 'action': 'side-panel-state', 'object': 'showing sagat questions', 'worker-id': 'A7O82NXM2PI12'}
1616533917.493895,A7O82NXM2PI12,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '2', 'worker-id': 'A7O82NXM2PI12'}
1616533917.703458,A7O82NXM2PI12,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '2', 'worker-id': 'A7O82NXM2PI12'}
1616533917.911837,A7O82NXM2PI12,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '2', 'worker-id': 'A7O82NXM2PI12'}
1616533918.121027,A7O82NXM2PI12,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '2', 'worker-id': 'A7O82NXM2PI12'}
1616533918.644798,A7O82NXM2PI12,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '2', 'worker-id': 'A7O82NXM2PI12'}
1616533918.645595,A7O82NXM2PI12,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '2', 'worker-id': 'A7O82NXM2PI12'}
1616533919.098807,A7O82NXM2PI12,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '2', 'worker-id': 'A7O82NXM2PI12'}
1616533919.183316,A7O82NXM2PI12,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '2', 'worker-id': 'A7O82NXM2PI12'}
1616533919.479335,A7O82NXM2PI12,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '2', 'worker-id': 'A7O82NXM2PI12'}
1616533919.791945,A7O82NXM2PI12,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '2', 'worker-id': 'A7O82NXM2PI12'}
1616533920.105703,A7O82NXM2PI12,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '2', 'worker-id': 'A7O82NXM2PI12'}
1616533920.838116,A7O82NXM2PI12,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '1', 'worker-id': 'A7O82NXM2PI12'}
1616533920.942734,A7O82NXM2PI12,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '1', 'worker-id': 'A7O82NXM2PI12'}
1616533921.88145,A7O82NXM2PI12,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '0', 'worker-id': 'A7O82NXM2PI12'}
1616533922.09019,A7O82NXM2PI12,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '0', 'worker-id': 'A7O82NXM2PI12'}
1616533922.299489,A7O82NXM2PI12,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '0', 'worker-id': 'A7O82NXM2PI12'}
1616533923.448931,A7O82NXM2PI12,{'stage': 'SAGAT', 'action': 'side-panel-click', 'object': 'next button tutorial 3', 'worker-id': 'A7O82NXM2PI12'}
1616533923.449713,A7O82NXM2PI12,{'stage': 'SAGAT', 'action': 'side-panel-state', 'object': 'showing introduction', 'worker-id': 'A7O82NXM2PI12'}
1616533950.292142,A7O82NXM2PI12,{'stage': 'SAGAT', 'action': 'side-panel-click', 'object': 'next button introduction', 'worker-id': 'A7O82NXM2PI12'}
1616533950.293035,A7O82NXM2PI12,{'stage': 'SAGAT', 'action': 'side-panel-state', 'object': 'showing information panel', 'worker-id': 'A7O82NXM2PI12'}
1616533992.912709,A7O82NXM2PI12,{'stage': 'SAGAT', 'action': 'side-panel-state', 'object': 'showing information panel', 'worker-id': 'A7O82NXM2PI12'}
1616533992.913552,A7O82NXM2PI12,{'stage': 'SAGAT', 'action': 'side-panel-click', 'object': 'next button information', 'worker-id': 'A7O82NXM2PI12'}
