
1617243679.238299,AAH6HJWRC4JD2,{'stage': 'portal', 'action': 'opened-portal', 'worker-id': 'AAH6HJWRC4JD2'}
1617243686.128776,AAH6HJWRC4JD2,{'stage': 'tutorial', 'action': 'opened-tutorial', 'worker-id': 'AAH6HJWRC4JD2'}
1617243710.879408,AAH6HJWRC4JD2,{'stage': 'portal', 'action': 'opened-portal', 'worker-id': 'AAH6HJWRC4JD2'}
1617243715.480668,AAH6HJWRC4JD2,{'stage': 'SAGAT', 'action': 'side-panel-state', 'object': 'showing tutorial panel 1', 'worker-id': 'AAH6HJWRC4JD2'}
1617243720.801909,AAH6HJWRC4JD2,{'stage': 'SAGAT', 'action': 'side-panel-state', 'object': 'showing tutorial panel 2', 'worker-id': 'AAH6HJWRC4JD2'}
1617243720.802728,AAH6HJWRC4JD2,{'stage': 'SAGAT', 'action': 'side-panel-click', 'object': 'next button tutorial 1', 'worker-id': 'AAH6HJWRC4JD2'}
1617243829.853108,AAH6HJWRC4JD2,{'stage': 'SAGAT', 'action': 'side-panel-click', 'object': 'next button tutorial 2', 'worker-id': 'AAH6HJWRC4JD2'}
1617243829.854183,AAH6HJWRC4JD2,{'stage': 'SAGAT', 'action': 'side-panel-state', 'object': 'showing tutorial panel 3', 'worker-id': 'AAH6HJWRC4JD2'}
1617243829.877781,AAH6HJWRC4JD2,{'stage': 'SAGAT', 'action': 'side-panel-state', 'object': 'showing sagat questions', 'worker-id': 'AAH6HJWRC4JD2'}
1617243835.80654,AAH6HJWRC4JD2,{'stage': 'SAGAT', 'action': 'side-panel-click', 'object': 'next button tutorial 3', 'worker-id': 'AAH6HJWRC4JD2'}
1617243835.807252,AAH6HJWRC4JD2,{'stage': 'SAGAT', 'action': 'side-panel-state', 'object': 'showing introduction', 'worker-id': 'AAH6HJWRC4JD2'}
1617243838.940199,AAH6HJWRC4JD2,{'stage': 'SAGAT', 'action': 'side-panel-click', 'object': 'next button introduction', 'worker-id': 'AAH6HJWRC4JD2'}
1617243838.94095,AAH6HJWRC4JD2,{'stage': 'SAGAT', 'action': 'side-panel-state', 'object': 'showing information panel', 'worker-id': 'AAH6HJWRC4JD2'}
1617243841.342602,AAH6HJWRC4JD2,{'stage': 'SAGAT', 'action': 'side-panel-state', 'object': 'showing information panel', 'worker-id': 'AAH6HJWRC4JD2'}
1617243841.343082,AAH6HJWRC4JD2,{'stage': 'SAGAT', 'action': 'side-panel-click', 'object': 'next button information', 'worker-id': 'AAH6HJWRC4JD2'}
1617243871.318586,AAH6HJWRC4JD2,{'stage': 'SAGAT', 'action': 'side-panel-state', 'object': 'showing sagat questions', 'worker-id': 'AAH6HJWRC4JD2'}
1617243897.013707,AAH6HJWRC4JD2,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '0', 'worker-id': 'AAH6HJWRC4JD2'}
1617243897.536505,AAH6HJWRC4JD2,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '1', 'worker-id': 'AAH6HJWRC4JD2'}
1617243898.470374,AAH6HJWRC4JD2,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '2', 'worker-id': 'AAH6HJWRC4JD2'}
1617243899.207031,AAH6HJWRC4JD2,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '9', 'worker-id': 'AAH6HJWRC4JD2'}
1617243899.677274,AAH6HJWRC4JD2,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '8', 'worker-id': 'AAH6HJWRC4JD2'}
1617243900.147647,AAH6HJWRC4JD2,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '7', 'worker-id': 'AAH6HJWRC4JD2'}
1617243900.7743,AAH6HJWRC4JD2,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '6', 'worker-id': 'AAH6HJWRC4JD2'}
1617243901.444123,AAH6HJWRC4JD2,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '5', 'worker-id': 'AAH6HJWRC4JD2'}
1617243902.135711,AAH6HJWRC4JD2,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '4', 'worker-id': 'AAH6HJWRC4JD2'}
1617243902.653703,AAH6HJWRC4JD2,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '3', 'worker-id': 'AAH6HJWRC4JD2'}
1617243903.071598,AAH6HJWRC4JD2,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '10', 'worker-id': 'AAH6HJWRC4JD2'}
1617243903.594567,AAH6HJWRC4JD2,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '11', 'worker-id': 'AAH6HJWRC4JD2'}
1617243904.324909,AAH6HJWRC4JD2,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '12', 'worker-id': 'AAH6HJWRC4JD2'}
1617243904.847861,AAH6HJWRC4JD2,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '13', 'worker-id': 'AAH6HJWRC4JD2'}
1617243905.369749,AAH6HJWRC4JD2,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '14', 'worker-id': 'AAH6HJWRC4JD2'}
1617243905.897119,AAH6HJWRC4JD2,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '15', 'worker-id': 'AAH6HJWRC4JD2'}
1617243906.623677,AAH6HJWRC4JD2,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '16', 'worker-id': 'AAH6HJWRC4JD2'}
1617243917.800045,AAH6HJWRC4JD2,{'stage': 'SAGAT', 'action': 'side-panel-state', 'object': 'showing information panel', 'worker-id': 'AAH6HJWRC4JD2'}
1617243917.800984,AAH6HJWRC4JD2,{'stage': 'SAGAT', 'action': 'side-panel-click', 'object': 'next button sagat questions', 'worker-id': 'AAH6HJWRC4JD2'}
1617243947.88153,AAH6HJWRC4JD2,{'stage': 'SAGAT', 'action': 'side-panel-state', 'object': 'showing sagat questions', 'worker-id': 'AAH6HJWRC4JD2'}
1617243986.735908,AAH6HJWRC4JD2,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '0', 'worker-id': 'AAH6HJWRC4JD2'}
1617243987.093293,AAH6HJWRC4JD2,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '1', 'worker-id': 'AAH6HJWRC4JD2'}
1617243987.884664,AAH6HJWRC4JD2,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '2', 'worker-id': 'AAH6HJWRC4JD2'}
1617243988.512447,AAH6HJWRC4JD2,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '9', 'worker-id': 'AAH6HJWRC4JD2'}
1617243989.035278,AAH6HJWRC4JD2,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '8', 'worker-id': 'AAH6HJWRC4JD2'}
1617243989.452819,AAH6HJWRC4JD2,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '7', 'worker-id': 'AAH6HJWRC4JD2'}
1617243989.973608,AAH6HJWRC4JD2,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '6', 'worker-id': 'AAH6HJWRC4JD2'}
1617243990.497061,AAH6HJWRC4JD2,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '5', 'worker-id': 'AAH6HJWRC4JD2'}
1617243991.540977,AAH6HJWRC4JD2,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '4', 'worker-id': 'AAH6HJWRC4JD2'}
1617243991.958896,AAH6HJWRC4JD2,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '3', 'worker-id': 'AAH6HJWRC4JD2'}
1617243992.585243,AAH6HJWRC4JD2,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '10', 'worker-id': 'AAH6HJWRC4JD2'}
1617243993.007046,AAH6HJWRC4JD2,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '11', 'worker-id': 'AAH6HJWRC4JD2'}
1617243993.421141,AAH6HJWRC4JD2,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '12', 'worker-id': 'AAH6HJWRC4JD2'}
1617243994.048279,AAH6HJWRC4JD2,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '13', 'worker-id': 'AAH6HJWRC4JD2'}
1617243994.571354,AAH6HJWRC4JD2,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '14', 'worker-id': 'AAH6HJWRC4JD2'}
1617243994.988603,AAH6HJWRC4JD2,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '15', 'worker-id': 'AAH6HJWRC4JD2'}
1617243995.614927,AAH6HJWRC4JD2,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '16', 'worker-id': 'AAH6HJWRC4JD2'}
1617243996.395446,AAH6HJWRC4JD2,{'stage': 'SAGAT', 'action': 'side-panel-click', 'object': 'next button sagat questions', 'worker-id': 'AAH6HJWRC4JD2'}
1617243996.435516,AAH6HJWRC4JD2,{'stage': 'SAGAT', 'action': 'side-panel-state', 'object': 'showing information panel', 'worker-id': 'AAH6HJWRC4JD2'}
1617244026.739987,AAH6HJWRC4JD2,{'stage': 'SAGAT', 'action': 'side-panel-state', 'object': 'showing sagat questions', 'worker-id': 'AAH6HJWRC4JD2'}
1617244062.671562,AAH6HJWRC4JD2,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '10', 'worker-id': 'AAH6HJWRC4JD2'}
1617244062.881023,AAH6HJWRC4JD2,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '3', 'worker-id': 'AAH6HJWRC4JD2'}
1617244063.402404,AAH6HJWRC4JD2,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '0', 'worker-id': 'AAH6HJWRC4JD2'}
1617244063.925432,AAH6HJWRC4JD2,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '4', 'worker-id': 'AAH6HJWRC4JD2'}
1617244064.551399,AAH6HJWRC4JD2,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '11', 'worker-id': 'AAH6HJWRC4JD2'}
1617244065.448804,AAH6HJWRC4JD2,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '12', 'worker-id': 'AAH6HJWRC4JD2'}
1617244065.90854,AAH6HJWRC4JD2,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '13', 'worker-id': 'AAH6HJWRC4JD2'}
1617244066.326629,AAH6HJWRC4JD2,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '5', 'worker-id': 'AAH6HJWRC4JD2'}
1617244066.555818,AAH6HJWRC4JD2,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '6', 'worker-id': 'AAH6HJWRC4JD2'}
1617244067.0587,AAH6HJWRC4JD2,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '1', 'worker-id': 'AAH6HJWRC4JD2'}
1617244067.684855,AAH6HJWRC4JD2,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '2', 'worker-id': 'AAH6HJWRC4JD2'}
1617244068.207003,AAH6HJWRC4JD2,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '7', 'worker-id': 'AAH6HJWRC4JD2'}
1617244068.624841,AAH6HJWRC4JD2,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '8', 'worker-id': 'AAH6HJWRC4JD2'}
1617244069.568212,AAH6HJWRC4JD2,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '9', 'worker-id': 'AAH6HJWRC4JD2'}
1617244070.380112,AAH6HJWRC4JD2,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '16', 'worker-id': 'AAH6HJWRC4JD2'}
1617244070.714399,AAH6HJWRC4JD2,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '15', 'worker-id': 'AAH6HJWRC4JD2'}
1617244071.133025,AAH6HJWRC4JD2,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '14', 'worker-id': 'AAH6HJWRC4JD2'}
1617244072.385789,AAH6HJWRC4JD2,{'stage': 'SAGAT', 'action': 'side-panel-click', 'object': 'next button sagat questions', 'worker-id': 'AAH6HJWRC4JD2'}
