
1617325164.926057,AC1NK8NJ84V8Y,{'stage': 'portal', 'action': 'opened-portal', 'worker-id': 'AC1NK8NJ84V8Y'}
1617325196.992339,AC1NK8NJ84V8Y,{'stage': 'tutorial', 'action': 'opened-tutorial', 'worker-id': 'AC1NK8NJ84V8Y'}
1617325363.287411,AC1NK8NJ84V8Y,{'stage': 'portal', 'action': 'opened-portal', 'worker-id': 'AC1NK8NJ84V8Y'}
1617325370.068555,AC1NK8NJ84V8Y,{'stage': 'SAGAT', 'action': 'side-panel-state', 'object': 'showing tutorial panel 1', 'worker-id': 'AC1NK8NJ84V8Y'}
1617325408.816805,AC1NK8NJ84V8Y,{'stage': 'SAGAT', 'action': 'side-panel-state', 'object': 'showing tutorial panel 2', 'worker-id': 'AC1NK8NJ84V8Y'}
1617325408.818423,AC1NK8NJ84V8Y,{'stage': 'SAGAT', 'action': 'side-panel-click', 'object': 'next button tutorial 1', 'worker-id': 'AC1NK8NJ84V8Y'}
1617325423.857235,AC1NK8NJ84V8Y,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '0', 'worker-id': 'AC1NK8NJ84V8Y'}
1617325424.483928,AC1NK8NJ84V8Y,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '1', 'worker-id': 'AC1NK8NJ84V8Y'}
1617325426.680654,AC1NK8NJ84V8Y,{'stage': 'SAGAT', 'action': 'side-panel-state', 'object': 'showing sagat questions', 'worker-id': 'AC1NK8NJ84V8Y'}
1617325426.680105,AC1NK8NJ84V8Y,{'stage': 'SAGAT', 'action': 'side-panel-click', 'object': 'next button tutorial 2', 'worker-id': 'AC1NK8NJ84V8Y'}
1617325426.70622,AC1NK8NJ84V8Y,{'stage': 'SAGAT', 'action': 'side-panel-state', 'object': 'showing tutorial panel 3', 'worker-id': 'AC1NK8NJ84V8Y'}
1617325430.54257,AC1NK8NJ84V8Y,{'stage': 'SAGAT', 'action': 'side-panel-click', 'object': 'next button tutorial 3', 'worker-id': 'AC1NK8NJ84V8Y'}
1617325430.5436,AC1NK8NJ84V8Y,{'stage': 'SAGAT', 'action': 'side-panel-state', 'object': 'showing introduction', 'worker-id': 'AC1NK8NJ84V8Y'}
1617325442.868319,AC1NK8NJ84V8Y,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '2', 'worker-id': 'AC1NK8NJ84V8Y'}
1617325444.120977,AC1NK8NJ84V8Y,{'stage': 'SAGAT', 'action': 'side-panel-state', 'object': 'showing information panel', 'worker-id': 'AC1NK8NJ84V8Y'}
1617325444.121791,AC1NK8NJ84V8Y,{'stage': 'SAGAT', 'action': 'side-panel-click', 'object': 'next button introduction', 'worker-id': 'AC1NK8NJ84V8Y'}
1617325452.152146,AC1NK8NJ84V8Y,{'stage': 'SAGAT', 'action': 'side-panel-click', 'object': 'next button information', 'worker-id': 'AC1NK8NJ84V8Y'}
1617325452.153199,AC1NK8NJ84V8Y,{'stage': 'SAGAT', 'action': 'side-panel-state', 'object': 'showing information panel', 'worker-id': 'AC1NK8NJ84V8Y'}
