
1616770572.35323,AC5UD8N187QD6,{'stage': 'portal', 'action': 'opened-portal', 'worker-id': 'AC5UD8N187QD6'}
1616770575.84046,AC5UD8N187QD6,{'stage': 'tutorial', 'action': 'opened-tutorial', 'worker-id': 'AC5UD8N187QD6'}
1616770587.282556,AC5UD8N187QD6,{'stage': 'portal', 'action': 'opened-portal', 'worker-id': 'AC5UD8N187QD6'}
1616770618.051713,AC5UD8N187QD6,{'stage': 'SAGAT', 'action': 'side-panel-state', 'object': 'showing tutorial panel 1', 'worker-id': 'AC5UD8N187QD6'}
1616770641.748896,AC5UD8N187QD6,{'stage': 'SAGAT', 'action': 'side-panel-state', 'object': 'showing tutorial panel 2', 'worker-id': 'AC5UD8N187QD6'}
1616770641.750253,AC5UD8N187QD6,{'stage': 'SAGAT', 'action': 'side-panel-click', 'object': 'next button tutorial 1', 'worker-id': 'AC5UD8N187QD6'}
1616770670.159853,AC5UD8N187QD6,{'stage': 'SAGAT', 'action': 'side-panel-state', 'object': 'showing sagat questions', 'worker-id': 'AC5UD8N187QD6'}
1616770670.160541,AC5UD8N187QD6,{'stage': 'SAGAT', 'action': 'side-panel-click', 'object': 'next button tutorial 2', 'worker-id': 'AC5UD8N187QD6'}
1616770670.161796,AC5UD8N187QD6,{'stage': 'SAGAT', 'action': 'side-panel-state', 'object': 'showing tutorial panel 3', 'worker-id': 'AC5UD8N187QD6'}
1616770687.70709,AC5UD8N187QD6,{'stage': 'SAGAT', 'action': 'side-panel-state', 'object': 'showing introduction', 'worker-id': 'AC5UD8N187QD6'}
1616770687.707733,AC5UD8N187QD6,{'stage': 'SAGAT', 'action': 'side-panel-click', 'object': 'next button tutorial 3', 'worker-id': 'AC5UD8N187QD6'}
1616770697.678107,AC5UD8N187QD6,{'stage': 'SAGAT', 'action': 'side-panel-state', 'object': 'showing information panel', 'worker-id': 'AC5UD8N187QD6'}
1616770697.677292,AC5UD8N187QD6,{'stage': 'SAGAT', 'action': 'side-panel-click', 'object': 'next button introduction', 'worker-id': 'AC5UD8N187QD6'}
1616770702.329732,AC5UD8N187QD6,{'stage': 'SAGAT', 'action': 'side-panel-click', 'object': 'next button information', 'worker-id': 'AC5UD8N187QD6'}
1616770702.330281,AC5UD8N187QD6,{'stage': 'SAGAT', 'action': 'side-panel-state', 'object': 'showing information panel', 'worker-id': 'AC5UD8N187QD6'}
1616770732.306808,AC5UD8N187QD6,{'stage': 'SAGAT', 'action': 'side-panel-state', 'object': 'showing sagat questions', 'worker-id': 'AC5UD8N187QD6'}
1616770741.690284,AC5UD8N187QD6,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '2', 'worker-id': 'AC5UD8N187QD6'}
1616770742.721425,AC5UD8N187QD6,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '2', 'worker-id': 'AC5UD8N187QD6'}
1616770746.512361,AC5UD8N187QD6,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '1', 'worker-id': 'AC5UD8N187QD6'}
1616770746.825328,AC5UD8N187QD6,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '1', 'worker-id': 'AC5UD8N187QD6'}
1616770747.452144,AC5UD8N187QD6,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '1', 'worker-id': 'AC5UD8N187QD6'}
1616770760.40461,AC5UD8N187QD6,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '0', 'worker-id': 'AC5UD8N187QD6'}
1616770760.718184,AC5UD8N187QD6,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '0', 'worker-id': 'AC5UD8N187QD6'}
1616770762.895622,AC5UD8N187QD6,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '0', 'worker-id': 'AC5UD8N187QD6'}
1616770767.192801,AC5UD8N187QD6,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '4', 'worker-id': 'AC5UD8N187QD6'}
1616770768.759824,AC5UD8N187QD6,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '11', 'worker-id': 'AC5UD8N187QD6'}
1616770769.700351,AC5UD8N187QD6,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '13', 'worker-id': 'AC5UD8N187QD6'}
1616770770.953137,AC5UD8N187QD6,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '13', 'worker-id': 'AC5UD8N187QD6'}
1616770771.579684,AC5UD8N187QD6,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '13', 'worker-id': 'AC5UD8N187QD6'}
1616770774.296018,AC5UD8N187QD6,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '15', 'worker-id': 'AC5UD8N187QD6'}
1616770775.027218,AC5UD8N187QD6,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '16', 'worker-id': 'AC5UD8N187QD6'}
1616770777.846936,AC5UD8N187QD6,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '14', 'worker-id': 'AC5UD8N187QD6'}
1616770778.159854,AC5UD8N187QD6,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '14', 'worker-id': 'AC5UD8N187QD6'}
1616770779.413664,AC5UD8N187QD6,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '14', 'worker-id': 'AC5UD8N187QD6'}
1616770787.248592,AC5UD8N187QD6,{'stage': 'SAGAT', 'action': 'side-panel-state', 'object': 'showing misunderstanding panel', 'worker-id': 'AC5UD8N187QD6'}
1616770787.249429,AC5UD8N187QD6,{'stage': 'SAGAT', 'action': 'side-panel-click', 'object': 'next button sagat questions', 'worker-id': 'AC5UD8N187QD6'}
1616770794.767788,AC5UD8N187QD6,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '14', 'worker-id': 'AC5UD8N187QD6'}
1616770795.394148,AC5UD8N187QD6,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '14', 'worker-id': 'AC5UD8N187QD6'}
1616770796.337111,AC5UD8N187QD6,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '13', 'worker-id': 'AC5UD8N187QD6'}
1616770796.960992,AC5UD8N187QD6,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '13', 'worker-id': 'AC5UD8N187QD6'}
1616770798.52873,AC5UD8N187QD6,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '12', 'worker-id': 'AC5UD8N187QD6'}
1616770799.381405,AC5UD8N187QD6,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '10', 'worker-id': 'AC5UD8N187QD6'}
