
1624778537.854648,A10MSB9X1UFLJ5,{'stage': 'portal', 'action': 'opened-portal', 'worker-id': 'A10MSB9X1UFLJ5'}
1624778562.119878,A10MSB9X1UFLJ5,{'stage': 'tutorial', 'action': 'opened-tutorial', 'worker-id': 'A10MSB9X1UFLJ5'}
1624778600.940662,A10MSB9X1UFLJ5,{'stage': 'portal', 'action': 'opened-portal', 'worker-id': 'A10MSB9X1UFLJ5'}
1624778606.07143,A10MSB9X1UFLJ5,{'stage': 'SAGAT', 'action': 'side-panel-state', 'object': 'showing tutorial panel 1', 'worker-id': 'A10MSB9X1UFLJ5'}
1624778647.520797,A10MSB9X1UFLJ5,{'stage': 'SAGAT', 'action': 'side-panel-state', 'object': 'showing tutorial panel 2', 'worker-id': 'A10MSB9X1UFLJ5'}
1624778647.529693,A10MSB9X1UFLJ5,{'stage': 'SAGAT', 'action': 'side-panel-click', 'object': 'next button tutorial 1', 'worker-id': 'A10MSB9X1UFLJ5'}
1624778701.687039,A10MSB9X1UFLJ5,{'stage': 'SAGAT', 'action': 'side-panel-click', 'object': 'next button tutorial 2', 'worker-id': 'A10MSB9X1UFLJ5'}
1624778701.88861,A10MSB9X1UFLJ5,{'stage': 'SAGAT', 'action': 'side-panel-state', 'object': 'showing sagat questions', 'worker-id': 'A10MSB9X1UFLJ5'}
1624778701.891797,A10MSB9X1UFLJ5,{'stage': 'SAGAT', 'action': 'side-panel-state', 'object': 'showing tutorial panel 3', 'worker-id': 'A10MSB9X1UFLJ5'}
1624778717.767137,A10MSB9X1UFLJ5,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '1', 'worker-id': 'A10MSB9X1UFLJ5'}
1624778718.588761,A10MSB9X1UFLJ5,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '1', 'worker-id': 'A10MSB9X1UFLJ5'}
1624778718.899332,A10MSB9X1UFLJ5,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '1', 'worker-id': 'A10MSB9X1UFLJ5'}
1624778719.628853,A10MSB9X1UFLJ5,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '1', 'worker-id': 'A10MSB9X1UFLJ5'}
1624778721.040571,A10MSB9X1UFLJ5,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '2', 'worker-id': 'A10MSB9X1UFLJ5'}
1624778721.141496,A10MSB9X1UFLJ5,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '2', 'worker-id': 'A10MSB9X1UFLJ5'}
1624778721.450094,A10MSB9X1UFLJ5,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '2', 'worker-id': 'A10MSB9X1UFLJ5'}
1624778721.755234,A10MSB9X1UFLJ5,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '2', 'worker-id': 'A10MSB9X1UFLJ5'}
1624778722.893911,A10MSB9X1UFLJ5,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '1', 'worker-id': 'A10MSB9X1UFLJ5'}
1624778722.984934,A10MSB9X1UFLJ5,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '1', 'worker-id': 'A10MSB9X1UFLJ5'}
1624778723.806945,A10MSB9X1UFLJ5,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '2', 'worker-id': 'A10MSB9X1UFLJ5'}
1624778723.917555,A10MSB9X1UFLJ5,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '2', 'worker-id': 'A10MSB9X1UFLJ5'}
1624778725.959656,A10MSB9X1UFLJ5,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '2', 'worker-id': 'A10MSB9X1UFLJ5'}
1624778726.370062,A10MSB9X1UFLJ5,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '2', 'worker-id': 'A10MSB9X1UFLJ5'}
1624778727.495952,A10MSB9X1UFLJ5,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '0', 'worker-id': 'A10MSB9X1UFLJ5'}
1624778727.804343,A10MSB9X1UFLJ5,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '0', 'worker-id': 'A10MSB9X1UFLJ5'}
1624778728.420403,A10MSB9X1UFLJ5,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '0', 'worker-id': 'A10MSB9X1UFLJ5'}
1624778730.265285,A10MSB9X1UFLJ5,{'stage': 'SAGAT', 'action': 'side-panel-click', 'object': 'next button tutorial 3', 'worker-id': 'A10MSB9X1UFLJ5'}
1624778730.359111,A10MSB9X1UFLJ5,{'stage': 'SAGAT', 'action': 'side-panel-state', 'object': 'showing introduction', 'worker-id': 'A10MSB9X1UFLJ5'}
1624778755.454279,A10MSB9X1UFLJ5,{'stage': 'SAGAT', 'action': 'side-panel-state', 'object': 'showing information panel', 'worker-id': 'A10MSB9X1UFLJ5'}
1624778755.551355,A10MSB9X1UFLJ5,{'stage': 'SAGAT', 'action': 'side-panel-click', 'object': 'next button introduction', 'worker-id': 'A10MSB9X1UFLJ5'}
1624778784.632445,A10MSB9X1UFLJ5,{'stage': 'SAGAT', 'action': 'side-panel-click', 'object': 'next button information', 'worker-id': 'A10MSB9X1UFLJ5'}
