
1625185429.751187,A112Z00MCKPS6F,{'stage': 'portal', 'action': 'opened-portal', 'worker-id': 'A112Z00MCKPS6F'}
1625185434.004404,A112Z00MCKPS6F,{'stage': 'tutorial', 'action': 'opened-tutorial', 'worker-id': 'A112Z00MCKPS6F'}
1625185441.731298,A112Z00MCKPS6F,{'stage': 'portal', 'action': 'opened-portal', 'worker-id': 'A112Z00MCKPS6F'}
1625185445.416089,A112Z00MCKPS6F,{'stage': 'SAGAT', 'action': 'side-panel-state', 'object': 'showing tutorial panel 1', 'worker-id': 'A112Z00MCKPS6F'}
1625185452.17429,A112Z00MCKPS6F,{'stage': 'SAGAT', 'action': 'side-panel-click', 'object': 'next button tutorial 1', 'worker-id': 'A112Z00MCKPS6F'}
1625185452.175017,A112Z00MCKPS6F,{'stage': 'SAGAT', 'action': 'side-panel-state', 'object': 'showing tutorial panel 2', 'worker-id': 'A112Z00MCKPS6F'}
1625185453.302901,A112Z00MCKPS6F,{'stage': 'SAGAT', 'action': 'side-panel-state', 'object': 'showing sagat questions', 'worker-id': 'A112Z00MCKPS6F'}
1625185453.304445,A112Z00MCKPS6F,{'stage': 'SAGAT', 'action': 'side-panel-state', 'object': 'showing tutorial panel 3', 'worker-id': 'A112Z00MCKPS6F'}
1625185453.307558,A112Z00MCKPS6F,{'stage': 'SAGAT', 'action': 'side-panel-click', 'object': 'next button tutorial 2', 'worker-id': 'A112Z00MCKPS6F'}
1625185454.634087,A112Z00MCKPS6F,{'stage': 'SAGAT', 'action': 'side-panel-click', 'object': 'next button tutorial 3', 'worker-id': 'A112Z00MCKPS6F'}
1625185454.637312,A112Z00MCKPS6F,{'stage': 'SAGAT', 'action': 'side-panel-state', 'object': 'showing introduction', 'worker-id': 'A112Z00MCKPS6F'}
1625185455.324258,A112Z00MCKPS6F,{'stage': 'SAGAT', 'action': 'side-panel-click', 'object': 'next button introduction', 'worker-id': 'A112Z00MCKPS6F'}
1625185455.327074,A112Z00MCKPS6F,{'stage': 'SAGAT', 'action': 'side-panel-state', 'object': 'showing information panel', 'worker-id': 'A112Z00MCKPS6F'}
1625185456.789722,A112Z00MCKPS6F,{'stage': 'SAGAT', 'action': 'side-panel-click', 'object': 'next button information', 'worker-id': 'A112Z00MCKPS6F'}
1625185456.790797,A112Z00MCKPS6F,{'stage': 'SAGAT', 'action': 'side-panel-state', 'object': 'showing information panel', 'worker-id': 'A112Z00MCKPS6F'}
1625185487.074697,A112Z00MCKPS6F,{'stage': 'SAGAT', 'action': 'side-panel-state', 'object': 'showing sagat questions', 'worker-id': 'A112Z00MCKPS6F'}
1625185490.881693,A112Z00MCKPS6F,{'stage': 'SAGAT', 'action': 'side-panel-click', 'object': 'next button sagat questions', 'worker-id': 'A112Z00MCKPS6F'}
1625185490.882591,A112Z00MCKPS6F,{'stage': 'SAGAT', 'action': 'side-panel-state', 'object': 'showing misunderstanding panel', 'worker-id': 'A112Z00MCKPS6F'}
1625185492.118251,A112Z00MCKPS6F,{'stage': 'SAGAT', 'action': 'side-panel-state', 'object': 'showing sagat questions', 'worker-id': 'A112Z00MCKPS6F'}
1625185492.118944,A112Z00MCKPS6F,{'stage': 'SAGAT', 'action': 'side-panel-click', 'object': 'next button misunderstanding panel', 'worker-id': 'A112Z00MCKPS6F'}
1625186926.372383,A112Z00MCKPS6F,{'stage': 'SAGAT', 'action': 'side-panel-state', 'object': 'showing misunderstanding panel', 'worker-id': 'A112Z00MCKPS6F'}
1625186926.373299,A112Z00MCKPS6F,{'stage': 'SAGAT', 'action': 'side-panel-click', 'object': 'next button sagat questions', 'worker-id': 'A112Z00MCKPS6F'}
