
1624763960.104596,A14QFRGIYIMNHN,{'stage': 'portal', 'action': 'opened-portal', 'worker-id': 'A14QFRGIYIMNHN'}
1624763971.16589,A14QFRGIYIMNHN,{'stage': 'tutorial', 'action': 'opened-tutorial', 'worker-id': 'A14QFRGIYIMNHN'}
1624763977.930134,A14QFRGIYIMNHN,{'stage': 'portal', 'action': 'opened-portal', 'worker-id': 'A14QFRGIYIMNHN'}
1624763980.693116,A14QFRGIYIMNHN,{'stage': 'SAGAT', 'action': 'side-panel-state', 'object': 'showing tutorial panel 1', 'worker-id': 'A14QFRGIYIMNHN'}
1624764008.036638,A14QFRGIYIMNHN,{'stage': 'SAGAT', 'action': 'side-panel-state', 'object': 'showing tutorial panel 2', 'worker-id': 'A14QFRGIYIMNHN'}
1624764008.041912,A14QFRGIYIMNHN,{'stage': 'SAGAT', 'action': 'side-panel-click', 'object': 'next button tutorial 1', 'worker-id': 'A14QFRGIYIMNHN'}
1624764130.307226,A14QFRGIYIMNHN,{'stage': 'SAGAT', 'action': 'side-panel-state', 'object': 'showing sagat questions', 'worker-id': 'A14QFRGIYIMNHN'}
1624764130.305713,A14QFRGIYIMNHN,{'stage': 'SAGAT', 'action': 'side-panel-state', 'object': 'showing tutorial panel 3', 'worker-id': 'A14QFRGIYIMNHN'}
1624764130.306185,A14QFRGIYIMNHN,{'stage': 'SAGAT', 'action': 'side-panel-click', 'object': 'next button tutorial 2', 'worker-id': 'A14QFRGIYIMNHN'}
1624764135.531111,A14QFRGIYIMNHN,{'stage': 'SAGAT', 'action': 'side-panel-click', 'object': 'next button tutorial 3', 'worker-id': 'A14QFRGIYIMNHN'}
1624764135.531669,A14QFRGIYIMNHN,{'stage': 'SAGAT', 'action': 'side-panel-state', 'object': 'showing introduction', 'worker-id': 'A14QFRGIYIMNHN'}
1624764137.164005,A14QFRGIYIMNHN,{'stage': 'SAGAT', 'action': 'side-panel-state', 'object': 'showing information panel', 'worker-id': 'A14QFRGIYIMNHN'}
1624764137.166463,A14QFRGIYIMNHN,{'stage': 'SAGAT', 'action': 'side-panel-click', 'object': 'next button introduction', 'worker-id': 'A14QFRGIYIMNHN'}
1624764138.604377,A14QFRGIYIMNHN,{'stage': 'SAGAT', 'action': 'side-panel-click', 'object': 'next button information', 'worker-id': 'A14QFRGIYIMNHN'}
1624764138.605151,A14QFRGIYIMNHN,{'stage': 'SAGAT', 'action': 'side-panel-state', 'object': 'showing information panel', 'worker-id': 'A14QFRGIYIMNHN'}
1624764168.704225,A14QFRGIYIMNHN,{'stage': 'SAGAT', 'action': 'side-panel-state', 'object': 'showing sagat questions', 'worker-id': 'A14QFRGIYIMNHN'}
1624764171.779658,A14QFRGIYIMNHN,{'stage': 'SAGAT', 'action': 'side-panel-click', 'object': 'next button sagat questions', 'worker-id': 'A14QFRGIYIMNHN'}
1624764171.795347,A14QFRGIYIMNHN,{'stage': 'SAGAT', 'action': 'side-panel-state', 'object': 'showing misunderstanding panel', 'worker-id': 'A14QFRGIYIMNHN'}
1624764173.330092,A14QFRGIYIMNHN,{'stage': 'SAGAT', 'action': 'side-panel-click', 'object': 'next button misunderstanding panel', 'worker-id': 'A14QFRGIYIMNHN'}
1624764173.414302,A14QFRGIYIMNHN,{'stage': 'SAGAT', 'action': 'side-panel-state', 'object': 'showing sagat questions', 'worker-id': 'A14QFRGIYIMNHN'}
1624764176.69661,A14QFRGIYIMNHN,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '1', 'worker-id': 'A14QFRGIYIMNHN'}
1624764177.925063,A14QFRGIYIMNHN,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '6', 'worker-id': 'A14QFRGIYIMNHN'}
1624764178.541648,A14QFRGIYIMNHN,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '7', 'worker-id': 'A14QFRGIYIMNHN'}
1624764178.542571,A14QFRGIYIMNHN,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '7', 'worker-id': 'A14QFRGIYIMNHN'}
1624764179.163345,A14QFRGIYIMNHN,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '2', 'worker-id': 'A14QFRGIYIMNHN'}
1624764179.769182,A14QFRGIYIMNHN,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '8', 'worker-id': 'A14QFRGIYIMNHN'}
1624764180.380646,A14QFRGIYIMNHN,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '9', 'worker-id': 'A14QFRGIYIMNHN'}
1624764180.800403,A14QFRGIYIMNHN,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '15', 'worker-id': 'A14QFRGIYIMNHN'}
1624764181.30853,A14QFRGIYIMNHN,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '16', 'worker-id': 'A14QFRGIYIMNHN'}
1624764181.746651,A14QFRGIYIMNHN,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '14', 'worker-id': 'A14QFRGIYIMNHN'}
1624764182.539516,A14QFRGIYIMNHN,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '13', 'worker-id': 'A14QFRGIYIMNHN'}
1624764183.151202,A14QFRGIYIMNHN,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '12', 'worker-id': 'A14QFRGIYIMNHN'}
1624764184.069482,A14QFRGIYIMNHN,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '5', 'worker-id': 'A14QFRGIYIMNHN'}
1624764184.070903,A14QFRGIYIMNHN,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '5', 'worker-id': 'A14QFRGIYIMNHN'}
1624764184.995383,A14QFRGIYIMNHN,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '4', 'worker-id': 'A14QFRGIYIMNHN'}
1624764185.136049,A14QFRGIYIMNHN,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '4', 'worker-id': 'A14QFRGIYIMNHN'}
1624764185.610305,A14QFRGIYIMNHN,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '4', 'worker-id': 'A14QFRGIYIMNHN'}
1624764186.221101,A14QFRGIYIMNHN,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '3', 'worker-id': 'A14QFRGIYIMNHN'}
1624764187.139185,A14QFRGIYIMNHN,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '11', 'worker-id': 'A14QFRGIYIMNHN'}
1624764188.070234,A14QFRGIYIMNHN,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '10', 'worker-id': 'A14QFRGIYIMNHN'}
1624764188.683343,A14QFRGIYIMNHN,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '0', 'worker-id': 'A14QFRGIYIMNHN'}
1624764189.697923,A14QFRGIYIMNHN,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '4', 'worker-id': 'A14QFRGIYIMNHN'}
1624764189.902675,A14QFRGIYIMNHN,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '4', 'worker-id': 'A14QFRGIYIMNHN'}
