
1625181640.602642,A1AVDSXTB7NNHU,{'stage': 'portal', 'action': 'opened-portal', 'worker-id': 'A1AVDSXTB7NNHU'}
1625181642.859488,A1AVDSXTB7NNHU,{'stage': 'tutorial', 'action': 'opened-tutorial', 'worker-id': 'A1AVDSXTB7NNHU'}
1625181657.805237,A1AVDSXTB7NNHU,{'stage': 'portal', 'action': 'opened-portal', 'worker-id': 'A1AVDSXTB7NNHU'}
1625181660.678658,A1AVDSXTB7NNHU,{'stage': 'SAGAT', 'action': 'side-panel-state', 'object': 'showing tutorial panel 1', 'worker-id': 'A1AVDSXTB7NNHU'}
1625181666.208584,A1AVDSXTB7NNHU,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '0', 'worker-id': 'A1AVDSXTB7NNHU'}
1625181669.913361,A1AVDSXTB7NNHU,{'stage': 'SAGAT', 'action': 'side-panel-click', 'object': 'next button tutorial 1', 'worker-id': 'A1AVDSXTB7NNHU'}
1625181669.914351,A1AVDSXTB7NNHU,{'stage': 'SAGAT', 'action': 'side-panel-state', 'object': 'showing tutorial panel 2', 'worker-id': 'A1AVDSXTB7NNHU'}
1625181798.311213,A1AVDSXTB7NNHU,{'stage': 'SAGAT', 'action': 'side-panel-state', 'object': 'showing sagat questions', 'worker-id': 'A1AVDSXTB7NNHU'}
1625181798.31205,A1AVDSXTB7NNHU,{'stage': 'SAGAT', 'action': 'side-panel-click', 'object': 'next button tutorial 2', 'worker-id': 'A1AVDSXTB7NNHU'}
1625181798.315429,A1AVDSXTB7NNHU,{'stage': 'SAGAT', 'action': 'side-panel-state', 'object': 'showing tutorial panel 3', 'worker-id': 'A1AVDSXTB7NNHU'}
1625181800.871272,A1AVDSXTB7NNHU,{'stage': 'SAGAT', 'action': 'side-panel-click', 'object': 'next button tutorial 3', 'worker-id': 'A1AVDSXTB7NNHU'}
1625181800.875055,A1AVDSXTB7NNHU,{'stage': 'SAGAT', 'action': 'side-panel-state', 'object': 'showing introduction', 'worker-id': 'A1AVDSXTB7NNHU'}
1625181805.376018,A1AVDSXTB7NNHU,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '2', 'worker-id': 'A1AVDSXTB7NNHU'}
1625181807.622395,A1AVDSXTB7NNHU,{'stage': 'SAGAT', 'action': 'side-panel-state', 'object': 'showing information panel', 'worker-id': 'A1AVDSXTB7NNHU'}
1625181807.62473,A1AVDSXTB7NNHU,{'stage': 'SAGAT', 'action': 'side-panel-click', 'object': 'next button introduction', 'worker-id': 'A1AVDSXTB7NNHU'}
1625181809.67917,A1AVDSXTB7NNHU,{'stage': 'SAGAT', 'action': 'side-panel-click', 'object': 'next button information', 'worker-id': 'A1AVDSXTB7NNHU'}
1625181809.679975,A1AVDSXTB7NNHU,{'stage': 'SAGAT', 'action': 'side-panel-state', 'object': 'showing information panel', 'worker-id': 'A1AVDSXTB7NNHU'}
1625181839.675487,A1AVDSXTB7NNHU,{'stage': 'SAGAT', 'action': 'side-panel-state', 'object': 'showing sagat questions', 'worker-id': 'A1AVDSXTB7NNHU'}
1625181879.411223,A1AVDSXTB7NNHU,{'stage': 'SAGAT', 'action': 'side-panel-state', 'object': 'showing misunderstanding panel', 'worker-id': 'A1AVDSXTB7NNHU'}
1625181879.410452,A1AVDSXTB7NNHU,{'stage': 'SAGAT', 'action': 'side-panel-click', 'object': 'next button sagat questions', 'worker-id': 'A1AVDSXTB7NNHU'}
1625181882.485204,A1AVDSXTB7NNHU,{'stage': 'SAGAT', 'action': 'side-panel-state', 'object': 'showing sagat questions', 'worker-id': 'A1AVDSXTB7NNHU'}
1625181882.48606,A1AVDSXTB7NNHU,{'stage': 'SAGAT', 'action': 'side-panel-click', 'object': 'next button misunderstanding panel', 'worker-id': 'A1AVDSXTB7NNHU'}
1625181885.923226,A1AVDSXTB7NNHU,{'stage': 'SAGAT', 'action': 'side-panel-state', 'object': 'showing misunderstanding panel', 'worker-id': 'A1AVDSXTB7NNHU'}
1625181885.925223,A1AVDSXTB7NNHU,{'stage': 'SAGAT', 'action': 'side-panel-click', 'object': 'next button sagat questions', 'worker-id': 'A1AVDSXTB7NNHU'}
1625181887.703919,A1AVDSXTB7NNHU,{'stage': 'SAGAT', 'action': 'side-panel-state', 'object': 'showing sagat questions', 'worker-id': 'A1AVDSXTB7NNHU'}
1625181887.706298,A1AVDSXTB7NNHU,{'stage': 'SAGAT', 'action': 'side-panel-click', 'object': 'next button misunderstanding panel', 'worker-id': 'A1AVDSXTB7NNHU'}
