
1624905417.110334,A1DKVUTOBPQH11,{'stage': 'portal', 'action': 'opened-portal', 'worker-id': 'A1DKVUTOBPQH11'}
1624905425.926469,A1DKVUTOBPQH11,{'stage': 'tutorial', 'action': 'opened-tutorial', 'worker-id': 'A1DKVUTOBPQH11'}
1624905457.285956,A1DKVUTOBPQH11,{'stage': 'portal', 'action': 'opened-portal', 'worker-id': 'A1DKVUTOBPQH11'}
1624905485.34284,A1DKVUTOBPQH11,{'stage': 'portal', 'action': 'opened-portal', 'worker-id': 'A1DKVUTOBPQH11'}
1624905490.478842,A1DKVUTOBPQH11,{'stage': 'SAGAT', 'action': 'side-panel-state', 'object': 'showing tutorial panel 1', 'worker-id': 'A1DKVUTOBPQH11'}
1624905527.736788,A1DKVUTOBPQH11,{'stage': 'SAGAT', 'action': 'side-panel-click', 'object': 'next button tutorial 1', 'worker-id': 'A1DKVUTOBPQH11'}
1624905527.736118,A1DKVUTOBPQH11,{'stage': 'SAGAT', 'action': 'side-panel-state', 'object': 'showing tutorial panel 2', 'worker-id': 'A1DKVUTOBPQH11'}
1624905589.892505,A1DKVUTOBPQH11,{'stage': 'SAGAT', 'action': 'side-panel-click', 'object': 'next button tutorial 2', 'worker-id': 'A1DKVUTOBPQH11'}
1624905589.896465,A1DKVUTOBPQH11,{'stage': 'SAGAT', 'action': 'side-panel-state', 'object': 'showing tutorial panel 3', 'worker-id': 'A1DKVUTOBPQH11'}
1624905590.002063,A1DKVUTOBPQH11,{'stage': 'SAGAT', 'action': 'side-panel-state', 'object': 'showing sagat questions', 'worker-id': 'A1DKVUTOBPQH11'}
1624905606.183672,A1DKVUTOBPQH11,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '0', 'worker-id': 'A1DKVUTOBPQH11'}
1624905606.247953,A1DKVUTOBPQH11,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '0', 'worker-id': 'A1DKVUTOBPQH11'}
1624905606.250791,A1DKVUTOBPQH11,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '0', 'worker-id': 'A1DKVUTOBPQH11'}
1624905606.251795,A1DKVUTOBPQH11,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '0', 'worker-id': 'A1DKVUTOBPQH11'}
1624905612.556381,A1DKVUTOBPQH11,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '0', 'worker-id': 'A1DKVUTOBPQH11'}
1624905612.558565,A1DKVUTOBPQH11,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '0', 'worker-id': 'A1DKVUTOBPQH11'}
1624905612.557949,A1DKVUTOBPQH11,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '0', 'worker-id': 'A1DKVUTOBPQH11'}
1624905612.783444,A1DKVUTOBPQH11,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '0', 'worker-id': 'A1DKVUTOBPQH11'}
1624905612.858807,A1DKVUTOBPQH11,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '2', 'worker-id': 'A1DKVUTOBPQH11'}
1624905612.876402,A1DKVUTOBPQH11,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '2', 'worker-id': 'A1DKVUTOBPQH11'}
1624905613.252699,A1DKVUTOBPQH11,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '2', 'worker-id': 'A1DKVUTOBPQH11'}
1624905613.263583,A1DKVUTOBPQH11,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '2', 'worker-id': 'A1DKVUTOBPQH11'}
1624905613.266925,A1DKVUTOBPQH11,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '2', 'worker-id': 'A1DKVUTOBPQH11'}
