
1624838952.195402,A1GZ4Y5HNBTCES,{'stage': 'portal', 'action': 'opened-portal', 'worker-id': 'A1GZ4Y5HNBTCES'}
1624838959.469294,A1GZ4Y5HNBTCES,{'stage': 'tutorial', 'action': 'opened-tutorial', 'worker-id': 'A1GZ4Y5HNBTCES'}
1624838985.771002,A1GZ4Y5HNBTCES,{'stage': 'portal', 'action': 'opened-portal', 'worker-id': 'A1GZ4Y5HNBTCES'}
1624838988.433347,A1GZ4Y5HNBTCES,{'stage': 'SAGAT', 'action': 'side-panel-state', 'object': 'showing tutorial panel 1', 'worker-id': 'A1GZ4Y5HNBTCES'}
1624839018.758974,A1GZ4Y5HNBTCES,{'stage': 'SAGAT', 'action': 'side-panel-state', 'object': 'showing tutorial panel 2', 'worker-id': 'A1GZ4Y5HNBTCES'}
1624839018.759806,A1GZ4Y5HNBTCES,{'stage': 'SAGAT', 'action': 'side-panel-click', 'object': 'next button tutorial 1', 'worker-id': 'A1GZ4Y5HNBTCES'}
1624839079.58759,A1GZ4Y5HNBTCES,{'stage': 'SAGAT', 'action': 'side-panel-state', 'object': 'showing sagat questions', 'worker-id': 'A1GZ4Y5HNBTCES'}
1624839079.588374,A1GZ4Y5HNBTCES,{'stage': 'SAGAT', 'action': 'side-panel-click', 'object': 'next button tutorial 2', 'worker-id': 'A1GZ4Y5HNBTCES'}
1624839079.690119,A1GZ4Y5HNBTCES,{'stage': 'SAGAT', 'action': 'side-panel-state', 'object': 'showing tutorial panel 3', 'worker-id': 'A1GZ4Y5HNBTCES'}
1624839093.717521,A1GZ4Y5HNBTCES,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '2', 'worker-id': 'A1GZ4Y5HNBTCES'}
1624839094.309909,A1GZ4Y5HNBTCES,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '2', 'worker-id': 'A1GZ4Y5HNBTCES'}
1624839095.178995,A1GZ4Y5HNBTCES,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '0', 'worker-id': 'A1GZ4Y5HNBTCES'}
1624839097.023661,A1GZ4Y5HNBTCES,{'stage': 'SAGAT', 'action': 'side-panel-state', 'object': 'showing introduction', 'worker-id': 'A1GZ4Y5HNBTCES'}
1624839097.024861,A1GZ4Y5HNBTCES,{'stage': 'SAGAT', 'action': 'side-panel-click', 'object': 'next button tutorial 3', 'worker-id': 'A1GZ4Y5HNBTCES'}
1624839113.690985,A1GZ4Y5HNBTCES,{'stage': 'SAGAT', 'action': 'side-panel-click', 'object': 'next button introduction', 'worker-id': 'A1GZ4Y5HNBTCES'}
1624839113.693476,A1GZ4Y5HNBTCES,{'stage': 'SAGAT', 'action': 'side-panel-state', 'object': 'showing information panel', 'worker-id': 'A1GZ4Y5HNBTCES'}
1624839144.40817,A1GZ4Y5HNBTCES,{'stage': 'SAGAT', 'action': 'side-panel-state', 'object': 'showing information panel', 'worker-id': 'A1GZ4Y5HNBTCES'}
