
1625186929.129019,A1K0FWYPIYNTEI,{'stage': 'portal', 'action': 'opened-portal', 'worker-id': 'A1K0FWYPIYNTEI'}
1625186937.73146,A1K0FWYPIYNTEI,{'stage': 'tutorial', 'action': 'opened-tutorial', 'worker-id': 'A1K0FWYPIYNTEI'}
1625186947.655385,A1K0FWYPIYNTEI,{'stage': 'portal', 'action': 'opened-portal', 'worker-id': 'A1K0FWYPIYNTEI'}
1625186953.703969,A1K0FWYPIYNTEI,{'stage': 'SAGAT', 'action': 'side-panel-state', 'object': 'showing tutorial panel 1', 'worker-id': 'A1K0FWYPIYNTEI'}
1625186959.846855,A1K0FWYPIYNTEI,{'stage': 'SAGAT', 'action': 'side-panel-state', 'object': 'showing tutorial panel 2', 'worker-id': 'A1K0FWYPIYNTEI'}
1625186959.84733,A1K0FWYPIYNTEI,{'stage': 'SAGAT', 'action': 'side-panel-click', 'object': 'next button tutorial 1', 'worker-id': 'A1K0FWYPIYNTEI'}
1625186962.315164,A1K0FWYPIYNTEI,{'stage': 'SAGAT', 'action': 'side-panel-click', 'object': 'next button tutorial 2', 'worker-id': 'A1K0FWYPIYNTEI'}
1625186962.316683,A1K0FWYPIYNTEI,{'stage': 'SAGAT', 'action': 'side-panel-state', 'object': 'showing tutorial panel 3', 'worker-id': 'A1K0FWYPIYNTEI'}
1625186962.410754,A1K0FWYPIYNTEI,{'stage': 'SAGAT', 'action': 'side-panel-state', 'object': 'showing sagat questions', 'worker-id': 'A1K0FWYPIYNTEI'}
1625186964.8871,A1K0FWYPIYNTEI,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '0', 'worker-id': 'A1K0FWYPIYNTEI'}
1625186967.530867,A1K0FWYPIYNTEI,{'stage': 'SAGAT', 'action': 'side-panel-click', 'object': 'next button tutorial 3', 'worker-id': 'A1K0FWYPIYNTEI'}
1625186967.531483,A1K0FWYPIYNTEI,{'stage': 'SAGAT', 'action': 'side-panel-state', 'object': 'showing introduction', 'worker-id': 'A1K0FWYPIYNTEI'}
1625186969.370825,A1K0FWYPIYNTEI,{'stage': 'SAGAT', 'action': 'side-panel-state', 'object': 'showing information panel', 'worker-id': 'A1K0FWYPIYNTEI'}
1625186969.371587,A1K0FWYPIYNTEI,{'stage': 'SAGAT', 'action': 'side-panel-click', 'object': 'next button introduction', 'worker-id': 'A1K0FWYPIYNTEI'}
1625186972.130571,A1K0FWYPIYNTEI,{'stage': 'SAGAT', 'action': 'side-panel-state', 'object': 'showing information panel', 'worker-id': 'A1K0FWYPIYNTEI'}
1625186972.131492,A1K0FWYPIYNTEI,{'stage': 'SAGAT', 'action': 'side-panel-click', 'object': 'next button information', 'worker-id': 'A1K0FWYPIYNTEI'}
1625186976.745444,A1K0FWYPIYNTEI,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '1', 'worker-id': 'A1K0FWYPIYNTEI'}
1625186976.746182,A1K0FWYPIYNTEI,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '1', 'worker-id': 'A1K0FWYPIYNTEI'}
1625186976.861385,A1K0FWYPIYNTEI,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '1', 'worker-id': 'A1K0FWYPIYNTEI'}
1625186977.664487,A1K0FWYPIYNTEI,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '1', 'worker-id': 'A1K0FWYPIYNTEI'}
1625186977.665154,A1K0FWYPIYNTEI,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '1', 'worker-id': 'A1K0FWYPIYNTEI'}
1625186977.667216,A1K0FWYPIYNTEI,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '1', 'worker-id': 'A1K0FWYPIYNTEI'}
1625186978.27908,A1K0FWYPIYNTEI,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '1', 'worker-id': 'A1K0FWYPIYNTEI'}
1625186978.278583,A1K0FWYPIYNTEI,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '1', 'worker-id': 'A1K0FWYPIYNTEI'}
1625186978.363228,A1K0FWYPIYNTEI,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '1', 'worker-id': 'A1K0FWYPIYNTEI'}
1625186978.682766,A1K0FWYPIYNTEI,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '1', 'worker-id': 'A1K0FWYPIYNTEI'}
1625186978.683513,A1K0FWYPIYNTEI,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '1', 'worker-id': 'A1K0FWYPIYNTEI'}
1625186978.751903,A1K0FWYPIYNTEI,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '1', 'worker-id': 'A1K0FWYPIYNTEI'}
1625186979.199268,A1K0FWYPIYNTEI,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '1', 'worker-id': 'A1K0FWYPIYNTEI'}
1625186979.203558,A1K0FWYPIYNTEI,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '1', 'worker-id': 'A1K0FWYPIYNTEI'}
1625186979.315234,A1K0FWYPIYNTEI,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '1', 'worker-id': 'A1K0FWYPIYNTEI'}
1625186979.505805,A1K0FWYPIYNTEI,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '1', 'worker-id': 'A1K0FWYPIYNTEI'}
1625186979.603205,A1K0FWYPIYNTEI,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '1', 'worker-id': 'A1K0FWYPIYNTEI'}
1625186979.763564,A1K0FWYPIYNTEI,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '1', 'worker-id': 'A1K0FWYPIYNTEI'}
1625186979.941102,A1K0FWYPIYNTEI,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '1', 'worker-id': 'A1K0FWYPIYNTEI'}
1625186980.120362,A1K0FWYPIYNTEI,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '1', 'worker-id': 'A1K0FWYPIYNTEI'}
1625186980.733863,A1K0FWYPIYNTEI,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '1', 'worker-id': 'A1K0FWYPIYNTEI'}
