
1617485664.825052,A1K8VUKRL53OX,{'stage': 'portal', 'action': 'opened-portal', 'worker-id': 'A1K8VUKRL53OX'}
1617485673.287615,A1K8VUKRL53OX,{'stage': 'tutorial', 'action': 'opened-tutorial', 'worker-id': 'A1K8VUKRL53OX'}
1617485683.522091,A1K8VUKRL53OX,{'stage': 'tutorial', 'action': 'opened-tutorial', 'worker-id': 'A1K8VUKRL53OX'}
1617485702.432037,A1K8VUKRL53OX,{'stage': 'portal', 'action': 'opened-portal', 'worker-id': 'A1K8VUKRL53OX'}
1617485752.371543,A1K8VUKRL53OX,{'stage': 'SAGAT', 'action': 'side-panel-state', 'object': 'showing tutorial panel 1', 'worker-id': 'A1K8VUKRL53OX'}
1617485771.366452,A1K8VUKRL53OX,{'stage': 'SAGAT', 'action': 'side-panel-state', 'object': 'showing tutorial panel 2', 'worker-id': 'A1K8VUKRL53OX'}
1617485771.368802,A1K8VUKRL53OX,{'stage': 'SAGAT', 'action': 'side-panel-click', 'object': 'next button tutorial 1', 'worker-id': 'A1K8VUKRL53OX'}
1617485773.870063,A1K8VUKRL53OX,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '0', 'worker-id': 'A1K8VUKRL53OX'}
1617485774.391777,A1K8VUKRL53OX,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '0', 'worker-id': 'A1K8VUKRL53OX'}
1617485776.377582,A1K8VUKRL53OX,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '0', 'worker-id': 'A1K8VUKRL53OX'}
1617485781.07619,A1K8VUKRL53OX,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '0', 'worker-id': 'A1K8VUKRL53OX'}
1617485783.481361,A1K8VUKRL53OX,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '2', 'worker-id': 'A1K8VUKRL53OX'}
1617485784.210129,A1K8VUKRL53OX,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '1', 'worker-id': 'A1K8VUKRL53OX'}
1617485785.35893,A1K8VUKRL53OX,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '2', 'worker-id': 'A1K8VUKRL53OX'}
1617485786.403739,A1K8VUKRL53OX,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '1', 'worker-id': 'A1K8VUKRL53OX'}
1617485787.657244,A1K8VUKRL53OX,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '2', 'worker-id': 'A1K8VUKRL53OX'}
