
1617489885.763208,A1P3HHEXWNLJMP,{'stage': 'portal', 'action': 'opened-portal', 'worker-id': 'A1P3HHEXWNLJMP'}
1617489902.878593,A1P3HHEXWNLJMP,{'stage': 'tutorial', 'action': 'opened-tutorial', 'worker-id': 'A1P3HHEXWNLJMP'}
1617489944.532348,A1P3HHEXWNLJMP,{'stage': 'portal', 'action': 'opened-portal', 'worker-id': 'A1P3HHEXWNLJMP'}
1617489949.151662,A1P3HHEXWNLJMP,{'stage': 'SAGAT', 'action': 'side-panel-state', 'object': 'showing tutorial panel 1', 'worker-id': 'A1P3HHEXWNLJMP'}
1617489995.528235,A1P3HHEXWNLJMP,{'stage': 'SAGAT', 'action': 'side-panel-click', 'object': 'next button tutorial 1', 'worker-id': 'A1P3HHEXWNLJMP'}
1617489995.53044,A1P3HHEXWNLJMP,{'stage': 'SAGAT', 'action': 'side-panel-state', 'object': 'showing tutorial panel 2', 'worker-id': 'A1P3HHEXWNLJMP'}
1617490104.470409,A1P3HHEXWNLJMP,{'stage': 'SAGAT', 'action': 'side-panel-click', 'object': 'next button tutorial 2', 'worker-id': 'A1P3HHEXWNLJMP'}
1617490104.471442,A1P3HHEXWNLJMP,{'stage': 'SAGAT', 'action': 'side-panel-state', 'object': 'showing tutorial panel 3', 'worker-id': 'A1P3HHEXWNLJMP'}
1617490104.472844,A1P3HHEXWNLJMP,{'stage': 'SAGAT', 'action': 'side-panel-state', 'object': 'showing sagat questions', 'worker-id': 'A1P3HHEXWNLJMP'}
1617490113.512067,A1P3HHEXWNLJMP,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '2', 'worker-id': 'A1P3HHEXWNLJMP'}
1617490114.702585,A1P3HHEXWNLJMP,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '1', 'worker-id': 'A1P3HHEXWNLJMP'}
1617490115.329235,A1P3HHEXWNLJMP,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '0', 'worker-id': 'A1P3HHEXWNLJMP'}
1617490115.71824,A1P3HHEXWNLJMP,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '0', 'worker-id': 'A1P3HHEXWNLJMP'}
1617490116.167381,A1P3HHEXWNLJMP,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '2', 'worker-id': 'A1P3HHEXWNLJMP'}
1617490116.534434,A1P3HHEXWNLJMP,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '1', 'worker-id': 'A1P3HHEXWNLJMP'}
1617490122.536888,A1P3HHEXWNLJMP,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '0', 'worker-id': 'A1P3HHEXWNLJMP'}
1617490123.164841,A1P3HHEXWNLJMP,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '0', 'worker-id': 'A1P3HHEXWNLJMP'}
1617490123.479007,A1P3HHEXWNLJMP,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '0', 'worker-id': 'A1P3HHEXWNLJMP'}
1617490124.103995,A1P3HHEXWNLJMP,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '0', 'worker-id': 'A1P3HHEXWNLJMP'}
1617490124.23493,A1P3HHEXWNLJMP,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '0', 'worker-id': 'A1P3HHEXWNLJMP'}
1617490124.626166,A1P3HHEXWNLJMP,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '0', 'worker-id': 'A1P3HHEXWNLJMP'}
1617490125.25432,A1P3HHEXWNLJMP,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '0', 'worker-id': 'A1P3HHEXWNLJMP'}
1617490125.796922,A1P3HHEXWNLJMP,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '0', 'worker-id': 'A1P3HHEXWNLJMP'}
1617490126.507173,A1P3HHEXWNLJMP,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '0', 'worker-id': 'A1P3HHEXWNLJMP'}
1617490127.029438,A1P3HHEXWNLJMP,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '0', 'worker-id': 'A1P3HHEXWNLJMP'}
1617490128.11699,A1P3HHEXWNLJMP,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '0', 'worker-id': 'A1P3HHEXWNLJMP'}
1617490129.222832,A1P3HHEXWNLJMP,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '0', 'worker-id': 'A1P3HHEXWNLJMP'}
1617490129.535512,A1P3HHEXWNLJMP,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '0', 'worker-id': 'A1P3HHEXWNLJMP'}
1617490130.162698,A1P3HHEXWNLJMP,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '0', 'worker-id': 'A1P3HHEXWNLJMP'}
1617490131.102157,A1P3HHEXWNLJMP,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '0', 'worker-id': 'A1P3HHEXWNLJMP'}
1617490131.795609,A1P3HHEXWNLJMP,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '0', 'worker-id': 'A1P3HHEXWNLJMP'}
1617490132.482391,A1P3HHEXWNLJMP,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '0', 'worker-id': 'A1P3HHEXWNLJMP'}
1617490133.087061,A1P3HHEXWNLJMP,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '0', 'worker-id': 'A1P3HHEXWNLJMP'}
1617490133.129622,A1P3HHEXWNLJMP,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '0', 'worker-id': 'A1P3HHEXWNLJMP'}
1617490133.400406,A1P3HHEXWNLJMP,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '0', 'worker-id': 'A1P3HHEXWNLJMP'}
1617490133.714986,A1P3HHEXWNLJMP,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '0', 'worker-id': 'A1P3HHEXWNLJMP'}
1617490134.026955,A1P3HHEXWNLJMP,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '0', 'worker-id': 'A1P3HHEXWNLJMP'}
1617490134.028126,A1P3HHEXWNLJMP,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '0', 'worker-id': 'A1P3HHEXWNLJMP'}
1617490134.339378,A1P3HHEXWNLJMP,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '0', 'worker-id': 'A1P3HHEXWNLJMP'}
1617490134.967263,A1P3HHEXWNLJMP,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '0', 'worker-id': 'A1P3HHEXWNLJMP'}
1617490134.969501,A1P3HHEXWNLJMP,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '0', 'worker-id': 'A1P3HHEXWNLJMP'}
1617490137.057239,A1P3HHEXWNLJMP,{'stage': 'SAGAT', 'action': 'side-panel-state', 'object': 'showing introduction', 'worker-id': 'A1P3HHEXWNLJMP'}
1617490137.056369,A1P3HHEXWNLJMP,{'stage': 'SAGAT', 'action': 'side-panel-click', 'object': 'next button tutorial 3', 'worker-id': 'A1P3HHEXWNLJMP'}
1617490165.152793,A1P3HHEXWNLJMP,{'stage': 'SAGAT', 'action': 'side-panel-click', 'object': 'next button introduction', 'worker-id': 'A1P3HHEXWNLJMP'}
1617490165.154247,A1P3HHEXWNLJMP,{'stage': 'SAGAT', 'action': 'side-panel-state', 'object': 'showing information panel', 'worker-id': 'A1P3HHEXWNLJMP'}
1617490195.757924,A1P3HHEXWNLJMP,{'stage': 'SAGAT', 'action': 'side-panel-state', 'object': 'showing information panel', 'worker-id': 'A1P3HHEXWNLJMP'}
1617490195.756097,A1P3HHEXWNLJMP,{'stage': 'SAGAT', 'action': 'side-panel-click', 'object': 'next button information', 'worker-id': 'A1P3HHEXWNLJMP'}
1617490225.628232,A1P3HHEXWNLJMP,{'stage': 'SAGAT', 'action': 'side-panel-state', 'object': 'showing sagat questions', 'worker-id': 'A1P3HHEXWNLJMP'}
1617490238.789218,A1P3HHEXWNLJMP,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '2', 'worker-id': 'A1P3HHEXWNLJMP'}
1617490243.803288,A1P3HHEXWNLJMP,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '1', 'worker-id': 'A1P3HHEXWNLJMP'}
1617490244.85306,A1P3HHEXWNLJMP,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '0', 'worker-id': 'A1P3HHEXWNLJMP'}
