
1625192002.49003,A1QCUR2Z75LS5N,{'stage': 'portal', 'action': 'opened-portal', 'worker-id': 'A1QCUR2Z75LS5N'}
1625192112.527088,A1QCUR2Z75LS5N,{'stage': 'tutorial', 'action': 'opened-tutorial', 'worker-id': 'A1QCUR2Z75LS5N'}
1625192136.10478,A1QCUR2Z75LS5N,{'stage': 'portal', 'action': 'opened-portal', 'worker-id': 'A1QCUR2Z75LS5N'}
1625192139.481482,A1QCUR2Z75LS5N,{'stage': 'SAGAT', 'action': 'side-panel-state', 'object': 'showing tutorial panel 1', 'worker-id': 'A1QCUR2Z75LS5N'}
1625192330.255988,A1QCUR2Z75LS5N,{'stage': 'SAGAT', 'action': 'side-panel-state', 'object': 'showing tutorial panel 2', 'worker-id': 'A1QCUR2Z75LS5N'}
1625192330.255482,A1QCUR2Z75LS5N,{'stage': 'SAGAT', 'action': 'side-panel-click', 'object': 'next button tutorial 1', 'worker-id': 'A1QCUR2Z75LS5N'}
1625192341.92502,A1QCUR2Z75LS5N,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '1', 'worker-id': 'A1QCUR2Z75LS5N'}
1625192359.157972,A1QCUR2Z75LS5N,{'stage': 'SAGAT', 'action': 'side-panel-state', 'object': 'showing tutorial panel 3', 'worker-id': 'A1QCUR2Z75LS5N'}
1625192359.159571,A1QCUR2Z75LS5N,{'stage': 'SAGAT', 'action': 'side-panel-click', 'object': 'next button tutorial 2', 'worker-id': 'A1QCUR2Z75LS5N'}
1625192359.160895,A1QCUR2Z75LS5N,{'stage': 'SAGAT', 'action': 'side-panel-state', 'object': 'showing sagat questions', 'worker-id': 'A1QCUR2Z75LS5N'}
1625192368.650564,A1QCUR2Z75LS5N,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '0', 'worker-id': 'A1QCUR2Z75LS5N'}
1625192369.377276,A1QCUR2Z75LS5N,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '2', 'worker-id': 'A1QCUR2Z75LS5N'}
1625192369.881315,A1QCUR2Z75LS5N,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '2', 'worker-id': 'A1QCUR2Z75LS5N'}
1625192370.802715,A1QCUR2Z75LS5N,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '1', 'worker-id': 'A1QCUR2Z75LS5N'}
1625192370.971538,A1QCUR2Z75LS5N,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '1', 'worker-id': 'A1QCUR2Z75LS5N'}
1625192371.416468,A1QCUR2Z75LS5N,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '1', 'worker-id': 'A1QCUR2Z75LS5N'}
1625192375.413105,A1QCUR2Z75LS5N,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '2', 'worker-id': 'A1QCUR2Z75LS5N'}
1625192375.422136,A1QCUR2Z75LS5N,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '2', 'worker-id': 'A1QCUR2Z75LS5N'}
1625192375.554476,A1QCUR2Z75LS5N,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '2', 'worker-id': 'A1QCUR2Z75LS5N'}
1625192376.10107,A1QCUR2Z75LS5N,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '2', 'worker-id': 'A1QCUR2Z75LS5N'}
1625192376.639554,A1QCUR2Z75LS5N,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '2', 'worker-id': 'A1QCUR2Z75LS5N'}
1625192376.717284,A1QCUR2Z75LS5N,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '2', 'worker-id': 'A1QCUR2Z75LS5N'}
1625192377.630529,A1QCUR2Z75LS5N,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '2', 'worker-id': 'A1QCUR2Z75LS5N'}
1625192379.171806,A1QCUR2Z75LS5N,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '2', 'worker-id': 'A1QCUR2Z75LS5N'}
1625192379.330951,A1QCUR2Z75LS5N,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '2', 'worker-id': 'A1QCUR2Z75LS5N'}
1625192380.326038,A1QCUR2Z75LS5N,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '2', 'worker-id': 'A1QCUR2Z75LS5N'}
1625192380.327539,A1QCUR2Z75LS5N,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '2', 'worker-id': 'A1QCUR2Z75LS5N'}
1625192380.335778,A1QCUR2Z75LS5N,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '2', 'worker-id': 'A1QCUR2Z75LS5N'}
1625192381.756199,A1QCUR2Z75LS5N,{'stage': 'SAGAT', 'action': 'side-panel-state', 'object': 'showing introduction', 'worker-id': 'A1QCUR2Z75LS5N'}
1625192381.756827,A1QCUR2Z75LS5N,{'stage': 'SAGAT', 'action': 'side-panel-click', 'object': 'next button tutorial 3', 'worker-id': 'A1QCUR2Z75LS5N'}
1625192399.065559,A1QCUR2Z75LS5N,{'stage': 'SAGAT', 'action': 'side-panel-click', 'object': 'next button introduction', 'worker-id': 'A1QCUR2Z75LS5N'}
1625192399.06508,A1QCUR2Z75LS5N,{'stage': 'SAGAT', 'action': 'side-panel-state', 'object': 'showing information panel', 'worker-id': 'A1QCUR2Z75LS5N'}
1625192427.333689,A1QCUR2Z75LS5N,{'stage': 'SAGAT', 'action': 'side-panel-click', 'object': 'next button information', 'worker-id': 'A1QCUR2Z75LS5N'}
1625192427.335042,A1QCUR2Z75LS5N,{'stage': 'SAGAT', 'action': 'side-panel-state', 'object': 'showing information panel', 'worker-id': 'A1QCUR2Z75LS5N'}
1625192457.13192,A1QCUR2Z75LS5N,{'stage': 'SAGAT', 'action': 'side-panel-state', 'object': 'showing sagat questions', 'worker-id': 'A1QCUR2Z75LS5N'}
1625192472.484834,A1QCUR2Z75LS5N,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '11', 'worker-id': 'A1QCUR2Z75LS5N'}
1625192473.101498,A1QCUR2Z75LS5N,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '11', 'worker-id': 'A1QCUR2Z75LS5N'}
1625192474.023404,A1QCUR2Z75LS5N,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '11', 'worker-id': 'A1QCUR2Z75LS5N'}
1625192475.251751,A1QCUR2Z75LS5N,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '10', 'worker-id': 'A1QCUR2Z75LS5N'}
1625192476.175292,A1QCUR2Z75LS5N,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '3', 'worker-id': 'A1QCUR2Z75LS5N'}
1625192476.788086,A1QCUR2Z75LS5N,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '0', 'worker-id': 'A1QCUR2Z75LS5N'}
1625192477.401463,A1QCUR2Z75LS5N,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '4', 'worker-id': 'A1QCUR2Z75LS5N'}
1625192478.631142,A1QCUR2Z75LS5N,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '12', 'worker-id': 'A1QCUR2Z75LS5N'}
1625192479.552688,A1QCUR2Z75LS5N,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '13', 'worker-id': 'A1QCUR2Z75LS5N'}
1625192479.553499,A1QCUR2Z75LS5N,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '13', 'worker-id': 'A1QCUR2Z75LS5N'}
1625192480.474128,A1QCUR2Z75LS5N,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '13', 'worker-id': 'A1QCUR2Z75LS5N'}
1625192481.088876,A1QCUR2Z75LS5N,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '14', 'worker-id': 'A1QCUR2Z75LS5N'}
1625192482.016902,A1QCUR2Z75LS5N,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '15', 'worker-id': 'A1QCUR2Z75LS5N'}
1625192482.321991,A1QCUR2Z75LS5N,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '15', 'worker-id': 'A1QCUR2Z75LS5N'}
1625192483.237929,A1QCUR2Z75LS5N,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '15', 'worker-id': 'A1QCUR2Z75LS5N'}
1625192483.853413,A1QCUR2Z75LS5N,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '16', 'worker-id': 'A1QCUR2Z75LS5N'}
1625192484.18029,A1QCUR2Z75LS5N,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '16', 'worker-id': 'A1QCUR2Z75LS5N'}
1625192485.392214,A1QCUR2Z75LS5N,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '16', 'worker-id': 'A1QCUR2Z75LS5N'}
1625192486.007124,A1QCUR2Z75LS5N,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '9', 'worker-id': 'A1QCUR2Z75LS5N'}
1625192486.315919,A1QCUR2Z75LS5N,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '8', 'worker-id': 'A1QCUR2Z75LS5N'}
1625192486.884758,A1QCUR2Z75LS5N,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '7', 'worker-id': 'A1QCUR2Z75LS5N'}
1625192487.539395,A1QCUR2Z75LS5N,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '2', 'worker-id': 'A1QCUR2Z75LS5N'}
1625192487.733335,A1QCUR2Z75LS5N,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '1', 'worker-id': 'A1QCUR2Z75LS5N'}
1625192488.048476,A1QCUR2Z75LS5N,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '6', 'worker-id': 'A1QCUR2Z75LS5N'}
1625192488.770385,A1QCUR2Z75LS5N,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '5', 'worker-id': 'A1QCUR2Z75LS5N'}
1625192495.835399,A1QCUR2Z75LS5N,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '12', 'worker-id': 'A1QCUR2Z75LS5N'}
1625192496.345393,A1QCUR2Z75LS5N,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '12', 'worker-id': 'A1QCUR2Z75LS5N'}
1625192499.4666,A1QCUR2Z75LS5N,{'stage': 'SAGAT', 'action': 'side-panel-state', 'object': 'showing misunderstanding panel', 'worker-id': 'A1QCUR2Z75LS5N'}
1625192499.467166,A1QCUR2Z75LS5N,{'stage': 'SAGAT', 'action': 'side-panel-click', 'object': 'next button sagat questions', 'worker-id': 'A1QCUR2Z75LS5N'}
1625192510.282359,A1QCUR2Z75LS5N,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '15', 'worker-id': 'A1QCUR2Z75LS5N'}
1625192510.550854,A1QCUR2Z75LS5N,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '15', 'worker-id': 'A1QCUR2Z75LS5N'}
1625192511.199368,A1QCUR2Z75LS5N,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '16', 'worker-id': 'A1QCUR2Z75LS5N'}
1625192511.208305,A1QCUR2Z75LS5N,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '16', 'worker-id': 'A1QCUR2Z75LS5N'}
1625192511.807959,A1QCUR2Z75LS5N,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '13', 'worker-id': 'A1QCUR2Z75LS5N'}
1625192511.955195,A1QCUR2Z75LS5N,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '13', 'worker-id': 'A1QCUR2Z75LS5N'}
1625192512.732927,A1QCUR2Z75LS5N,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '12', 'worker-id': 'A1QCUR2Z75LS5N'}
1625192512.807147,A1QCUR2Z75LS5N,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '12', 'worker-id': 'A1QCUR2Z75LS5N'}
1625192513.650969,A1QCUR2Z75LS5N,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '11', 'worker-id': 'A1QCUR2Z75LS5N'}
1625192513.733367,A1QCUR2Z75LS5N,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '11', 'worker-id': 'A1QCUR2Z75LS5N'}
1625192515.082704,A1QCUR2Z75LS5N,{'stage': 'SAGAT', 'action': 'side-panel-click', 'object': 'next button misunderstanding panel', 'worker-id': 'A1QCUR2Z75LS5N'}
1625192515.08403,A1QCUR2Z75LS5N,{'stage': 'SAGAT', 'action': 'side-panel-state', 'object': 'showing sagat questions', 'worker-id': 'A1QCUR2Z75LS5N'}
1625192524.717038,A1QCUR2Z75LS5N,{'stage': 'SAGAT', 'action': 'side-panel-click', 'object': 'next button sagat questions', 'worker-id': 'A1QCUR2Z75LS5N'}
1625192524.717941,A1QCUR2Z75LS5N,{'stage': 'SAGAT', 'action': 'side-panel-state', 'object': 'showing information panel', 'worker-id': 'A1QCUR2Z75LS5N'}
1625192554.512287,A1QCUR2Z75LS5N,{'stage': 'SAGAT', 'action': 'side-panel-state', 'object': 'showing sagat questions', 'worker-id': 'A1QCUR2Z75LS5N'}
1625192558.204174,A1QCUR2Z75LS5N,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '10', 'worker-id': 'A1QCUR2Z75LS5N'}
1625192558.812068,A1QCUR2Z75LS5N,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '3', 'worker-id': 'A1QCUR2Z75LS5N'}
1625192559.42815,A1QCUR2Z75LS5N,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '0', 'worker-id': 'A1QCUR2Z75LS5N'}
1625192559.634966,A1QCUR2Z75LS5N,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '4', 'worker-id': 'A1QCUR2Z75LS5N'}
1625192560.241815,A1QCUR2Z75LS5N,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '11', 'worker-id': 'A1QCUR2Z75LS5N'}
1625192560.550026,A1QCUR2Z75LS5N,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '11', 'worker-id': 'A1QCUR2Z75LS5N'}
1625192561.577345,A1QCUR2Z75LS5N,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '12', 'worker-id': 'A1QCUR2Z75LS5N'}
1625192561.634076,A1QCUR2Z75LS5N,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '13', 'worker-id': 'A1QCUR2Z75LS5N'}
1625192562.293739,A1QCUR2Z75LS5N,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '14', 'worker-id': 'A1QCUR2Z75LS5N'}
1625192563.1158,A1QCUR2Z75LS5N,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '15', 'worker-id': 'A1QCUR2Z75LS5N'}
1625192563.116598,A1QCUR2Z75LS5N,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '16', 'worker-id': 'A1QCUR2Z75LS5N'}
1625192563.727189,A1QCUR2Z75LS5N,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '9', 'worker-id': 'A1QCUR2Z75LS5N'}
1625192564.442222,A1QCUR2Z75LS5N,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '8', 'worker-id': 'A1QCUR2Z75LS5N'}
1625192564.44368,A1QCUR2Z75LS5N,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '7', 'worker-id': 'A1QCUR2Z75LS5N'}
1625192564.873579,A1QCUR2Z75LS5N,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '6', 'worker-id': 'A1QCUR2Z75LS5N'}
1625192565.054598,A1QCUR2Z75LS5N,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '5', 'worker-id': 'A1QCUR2Z75LS5N'}
1625192565.592803,A1QCUR2Z75LS5N,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '1', 'worker-id': 'A1QCUR2Z75LS5N'}
