
1617475675.555615,A1QEQOI98976S0,{'stage': 'portal', 'action': 'opened-portal', 'worker-id': 'A1QEQOI98976S0'}
1617475694.165032,A1QEQOI98976S0,{'stage': 'portal', 'action': 'opened-portal', 'worker-id': 'A1QEQOI98976S0'}
1617475718.696225,A1QEQOI98976S0,{'stage': 'SAGAT', 'action': 'side-panel-state', 'object': 'showing tutorial panel 1', 'worker-id': 'A1QEQOI98976S0'}
1617475837.76416,A1QEQOI98976S0,{'stage': 'SAGAT', 'action': 'side-panel-click', 'object': 'next button tutorial 1', 'worker-id': 'A1QEQOI98976S0'}
1617475837.766218,A1QEQOI98976S0,{'stage': 'SAGAT', 'action': 'side-panel-state', 'object': 'showing tutorial panel 2', 'worker-id': 'A1QEQOI98976S0'}
1617475851.865254,A1QEQOI98976S0,{'stage': 'SAGAT', 'action': 'side-panel-state', 'object': 'showing sagat questions', 'worker-id': 'A1QEQOI98976S0'}
1617475851.867399,A1QEQOI98976S0,{'stage': 'SAGAT', 'action': 'side-panel-click', 'object': 'next button tutorial 2', 'worker-id': 'A1QEQOI98976S0'}
1617475851.889108,A1QEQOI98976S0,{'stage': 'SAGAT', 'action': 'side-panel-state', 'object': 'showing tutorial panel 3', 'worker-id': 'A1QEQOI98976S0'}
1617475862.10064,A1QEQOI98976S0,{'stage': 'SAGAT', 'action': 'side-panel-state', 'object': 'showing introduction', 'worker-id': 'A1QEQOI98976S0'}
1617475862.102491,A1QEQOI98976S0,{'stage': 'SAGAT', 'action': 'side-panel-click', 'object': 'next button tutorial 3', 'worker-id': 'A1QEQOI98976S0'}
1617475873.486005,A1QEQOI98976S0,{'stage': 'SAGAT', 'action': 'side-panel-state', 'object': 'showing information panel', 'worker-id': 'A1QEQOI98976S0'}
1617475873.48829,A1QEQOI98976S0,{'stage': 'SAGAT', 'action': 'side-panel-click', 'object': 'next button introduction', 'worker-id': 'A1QEQOI98976S0'}
1617475876.201175,A1QEQOI98976S0,{'stage': 'SAGAT', 'action': 'side-panel-click', 'object': 'next button information', 'worker-id': 'A1QEQOI98976S0'}
