
1617475721.197266,A26X8BQELDQSGH,{'stage': 'portal', 'action': 'opened-portal', 'worker-id': 'A26X8BQELDQSGH'}
1617475742.611195,A26X8BQELDQSGH,{'stage': 'tutorial', 'action': 'opened-tutorial', 'worker-id': 'A26X8BQELDQSGH'}
1617475783.136546,A26X8BQELDQSGH,{'stage': 'portal', 'action': 'opened-portal', 'worker-id': 'A26X8BQELDQSGH'}
1617475788.779587,A26X8BQELDQSGH,{'stage': 'SAGAT', 'action': 'side-panel-state', 'object': 'showing tutorial panel 1', 'worker-id': 'A26X8BQELDQSGH'}
1617477322.839966,A26X8BQELDQSGH,{'stage': 'SAGAT', 'action': 'side-panel-click', 'object': 'next button tutorial 1', 'worker-id': 'A26X8BQELDQSGH'}
1617477322.851598,A26X8BQELDQSGH,{'stage': 'SAGAT', 'action': 'side-panel-state', 'object': 'showing tutorial panel 2', 'worker-id': 'A26X8BQELDQSGH'}
1617477462.64754,A26X8BQELDQSGH,{'stage': 'SAGAT', 'action': 'side-panel-state', 'object': 'showing sagat questions', 'worker-id': 'A26X8BQELDQSGH'}
1617477462.651825,A26X8BQELDQSGH,{'stage': 'SAGAT', 'action': 'side-panel-click', 'object': 'next button tutorial 2', 'worker-id': 'A26X8BQELDQSGH'}
1617477463.033347,A26X8BQELDQSGH,{'stage': 'SAGAT', 'action': 'side-panel-state', 'object': 'showing tutorial panel 3', 'worker-id': 'A26X8BQELDQSGH'}
1617477478.043016,A26X8BQELDQSGH,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '0', 'worker-id': 'A26X8BQELDQSGH'}
1617477479.404238,A26X8BQELDQSGH,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '0', 'worker-id': 'A26X8BQELDQSGH'}
1617477480.159448,A26X8BQELDQSGH,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '0', 'worker-id': 'A26X8BQELDQSGH'}
1617477480.724546,A26X8BQELDQSGH,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '0', 'worker-id': 'A26X8BQELDQSGH'}
1617477481.177783,A26X8BQELDQSGH,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '0', 'worker-id': 'A26X8BQELDQSGH'}
1617477481.909628,A26X8BQELDQSGH,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '0', 'worker-id': 'A26X8BQELDQSGH'}
1617477482.735453,A26X8BQELDQSGH,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '0', 'worker-id': 'A26X8BQELDQSGH'}
1617477483.727066,A26X8BQELDQSGH,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '0', 'worker-id': 'A26X8BQELDQSGH'}
1617477485.773722,A26X8BQELDQSGH,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '2', 'worker-id': 'A26X8BQELDQSGH'}
1617477486.274428,A26X8BQELDQSGH,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '2', 'worker-id': 'A26X8BQELDQSGH'}
1617477488.384985,A26X8BQELDQSGH,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '1', 'worker-id': 'A26X8BQELDQSGH'}
1617477488.90721,A26X8BQELDQSGH,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '1', 'worker-id': 'A26X8BQELDQSGH'}
1617477489.533705,A26X8BQELDQSGH,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '1', 'worker-id': 'A26X8BQELDQSGH'}
1617477501.441563,A26X8BQELDQSGH,{'stage': 'SAGAT', 'action': 'side-panel-state', 'object': 'showing introduction', 'worker-id': 'A26X8BQELDQSGH'}
1617477501.444602,A26X8BQELDQSGH,{'stage': 'SAGAT', 'action': 'side-panel-click', 'object': 'next button tutorial 3', 'worker-id': 'A26X8BQELDQSGH'}
1617477525.470356,A26X8BQELDQSGH,{'stage': 'SAGAT', 'action': 'side-panel-click', 'object': 'next button introduction', 'worker-id': 'A26X8BQELDQSGH'}
1617477525.472967,A26X8BQELDQSGH,{'stage': 'SAGAT', 'action': 'side-panel-state', 'object': 'showing information panel', 'worker-id': 'A26X8BQELDQSGH'}
1617477547.087268,A26X8BQELDQSGH,{'stage': 'SAGAT', 'action': 'side-panel-click', 'object': 'next button information', 'worker-id': 'A26X8BQELDQSGH'}
