
1617478020.49512,A2F1AA15HG0FRU,{'stage': 'portal', 'action': 'opened-portal', 'worker-id': 'A2F1AA15HG0FRU'}
1617478034.901738,A2F1AA15HG0FRU,{'stage': 'tutorial', 'action': 'opened-tutorial', 'worker-id': 'A2F1AA15HG0FRU'}
1617478086.431907,A2F1AA15HG0FRU,{'stage': 'portal', 'action': 'opened-portal', 'worker-id': 'A2F1AA15HG0FRU'}
1617478152.656268,A2F1AA15HG0FRU,{'stage': 'SAGAT', 'action': 'side-panel-state', 'object': 'showing tutorial panel 1', 'worker-id': 'A2F1AA15HG0FRU'}
1617478210.970606,A2F1AA15HG0FRU,{'stage': 'SAGAT', 'action': 'side-panel-state', 'object': 'showing tutorial panel 2', 'worker-id': 'A2F1AA15HG0FRU'}
1617478210.972042,A2F1AA15HG0FRU,{'stage': 'SAGAT', 'action': 'side-panel-click', 'object': 'next button tutorial 1', 'worker-id': 'A2F1AA15HG0FRU'}
1617478319.911811,A2F1AA15HG0FRU,{'stage': 'SAGAT', 'action': 'side-panel-state', 'object': 'showing sagat questions', 'worker-id': 'A2F1AA15HG0FRU'}
1617478319.910468,A2F1AA15HG0FRU,{'stage': 'SAGAT', 'action': 'side-panel-click', 'object': 'next button tutorial 2', 'worker-id': 'A2F1AA15HG0FRU'}
1617478319.935663,A2F1AA15HG0FRU,{'stage': 'SAGAT', 'action': 'side-panel-state', 'object': 'showing tutorial panel 3', 'worker-id': 'A2F1AA15HG0FRU'}
1617478327.119061,A2F1AA15HG0FRU,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '0', 'worker-id': 'A2F1AA15HG0FRU'}
1617478329.045204,A2F1AA15HG0FRU,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '0', 'worker-id': 'A2F1AA15HG0FRU'}
1617478329.519559,A2F1AA15HG0FRU,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '0', 'worker-id': 'A2F1AA15HG0FRU'}
1617478330.048635,A2F1AA15HG0FRU,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '0', 'worker-id': 'A2F1AA15HG0FRU'}
1617478331.922969,A2F1AA15HG0FRU,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '0', 'worker-id': 'A2F1AA15HG0FRU'}
1617478332.133106,A2F1AA15HG0FRU,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '0', 'worker-id': 'A2F1AA15HG0FRU'}
1617478332.443809,A2F1AA15HG0FRU,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '0', 'worker-id': 'A2F1AA15HG0FRU'}
1617478332.861869,A2F1AA15HG0FRU,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '0', 'worker-id': 'A2F1AA15HG0FRU'}
1617478334.030847,A2F1AA15HG0FRU,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '0', 'worker-id': 'A2F1AA15HG0FRU'}
1617478334.219728,A2F1AA15HG0FRU,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '0', 'worker-id': 'A2F1AA15HG0FRU'}
1617478334.428411,A2F1AA15HG0FRU,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '0', 'worker-id': 'A2F1AA15HG0FRU'}
1617478335.000374,A2F1AA15HG0FRU,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '0', 'worker-id': 'A2F1AA15HG0FRU'}
1617478336.518484,A2F1AA15HG0FRU,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '0', 'worker-id': 'A2F1AA15HG0FRU'}
1617478336.831149,A2F1AA15HG0FRU,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '0', 'worker-id': 'A2F1AA15HG0FRU'}
1617478337.248869,A2F1AA15HG0FRU,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '0', 'worker-id': 'A2F1AA15HG0FRU'}
1617478337.77162,A2F1AA15HG0FRU,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '0', 'worker-id': 'A2F1AA15HG0FRU'}
1617478340.238864,A2F1AA15HG0FRU,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '0', 'worker-id': 'A2F1AA15HG0FRU'}
1617478340.591276,A2F1AA15HG0FRU,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '0', 'worker-id': 'A2F1AA15HG0FRU'}
1617478340.614099,A2F1AA15HG0FRU,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '0', 'worker-id': 'A2F1AA15HG0FRU'}
1617478341.32214,A2F1AA15HG0FRU,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '0', 'worker-id': 'A2F1AA15HG0FRU'}
1617478342.812062,A2F1AA15HG0FRU,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '0', 'worker-id': 'A2F1AA15HG0FRU'}
1617478343.098358,A2F1AA15HG0FRU,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '0', 'worker-id': 'A2F1AA15HG0FRU'}
1617478343.198907,A2F1AA15HG0FRU,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '0', 'worker-id': 'A2F1AA15HG0FRU'}
1617478343.356949,A2F1AA15HG0FRU,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '0', 'worker-id': 'A2F1AA15HG0FRU'}
1617478345.08267,A2F1AA15HG0FRU,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '0', 'worker-id': 'A2F1AA15HG0FRU'}
1617478345.190064,A2F1AA15HG0FRU,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '0', 'worker-id': 'A2F1AA15HG0FRU'}
1617478345.396237,A2F1AA15HG0FRU,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '0', 'worker-id': 'A2F1AA15HG0FRU'}
1617478345.922957,A2F1AA15HG0FRU,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '0', 'worker-id': 'A2F1AA15HG0FRU'}
1617478358.348551,A2F1AA15HG0FRU,{'stage': 'SAGAT', 'action': 'side-panel-click', 'object': 'next button tutorial 3', 'worker-id': 'A2F1AA15HG0FRU'}
1617478358.350982,A2F1AA15HG0FRU,{'stage': 'SAGAT', 'action': 'side-panel-state', 'object': 'showing introduction', 'worker-id': 'A2F1AA15HG0FRU'}
1617478385.507213,A2F1AA15HG0FRU,{'stage': 'SAGAT', 'action': 'side-panel-click', 'object': 'next button introduction', 'worker-id': 'A2F1AA15HG0FRU'}
1617478385.529395,A2F1AA15HG0FRU,{'stage': 'SAGAT', 'action': 'side-panel-state', 'object': 'showing information panel', 'worker-id': 'A2F1AA15HG0FRU'}
1617478411.948027,A2F1AA15HG0FRU,{'stage': 'SAGAT', 'action': 'side-panel-click', 'object': 'next button information', 'worker-id': 'A2F1AA15HG0FRU'}
1617478411.95149,A2F1AA15HG0FRU,{'stage': 'SAGAT', 'action': 'side-panel-state', 'object': 'showing information panel', 'worker-id': 'A2F1AA15HG0FRU'}
1617478431.177296,A2F1AA15HG0FRU,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '1', 'worker-id': 'A2F1AA15HG0FRU'}
1617478434.700348,A2F1AA15HG0FRU,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '2', 'worker-id': 'A2F1AA15HG0FRU'}
1617478435.431353,A2F1AA15HG0FRU,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '8', 'worker-id': 'A2F1AA15HG0FRU'}
1617478436.476241,A2F1AA15HG0FRU,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '15', 'worker-id': 'A2F1AA15HG0FRU'}
1617478441.948349,A2F1AA15HG0FRU,{'stage': 'SAGAT', 'action': 'side-panel-state', 'object': 'showing sagat questions', 'worker-id': 'A2F1AA15HG0FRU'}
