
1624905901.916785,A2FYFCD16Z3PCC,{'stage': 'portal', 'action': 'opened-portal', 'worker-id': 'A2FYFCD16Z3PCC'}
1624905911.577725,A2FYFCD16Z3PCC,{'stage': 'tutorial', 'action': 'opened-tutorial', 'worker-id': 'A2FYFCD16Z3PCC'}
1624905934.020946,A2FYFCD16Z3PCC,{'stage': 'portal', 'action': 'opened-portal', 'worker-id': 'A2FYFCD16Z3PCC'}
1624905938.407208,A2FYFCD16Z3PCC,{'stage': 'SAGAT', 'action': 'side-panel-state', 'object': 'showing tutorial panel 1', 'worker-id': 'A2FYFCD16Z3PCC'}
1624905981.266156,A2FYFCD16Z3PCC,{'stage': 'SAGAT', 'action': 'side-panel-state', 'object': 'showing tutorial panel 2', 'worker-id': 'A2FYFCD16Z3PCC'}
1624905981.267527,A2FYFCD16Z3PCC,{'stage': 'SAGAT', 'action': 'side-panel-click', 'object': 'next button tutorial 1', 'worker-id': 'A2FYFCD16Z3PCC'}
1624906084.998298,A2FYFCD16Z3PCC,{'stage': 'SAGAT', 'action': 'side-panel-click', 'object': 'next button tutorial 2', 'worker-id': 'A2FYFCD16Z3PCC'}
1624906084.998826,A2FYFCD16Z3PCC,{'stage': 'SAGAT', 'action': 'side-panel-state', 'object': 'showing sagat questions', 'worker-id': 'A2FYFCD16Z3PCC'}
1624906085.001154,A2FYFCD16Z3PCC,{'stage': 'SAGAT', 'action': 'side-panel-state', 'object': 'showing tutorial panel 3', 'worker-id': 'A2FYFCD16Z3PCC'}
1624906097.595742,A2FYFCD16Z3PCC,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '0', 'worker-id': 'A2FYFCD16Z3PCC'}
1624906097.99672,A2FYFCD16Z3PCC,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '0', 'worker-id': 'A2FYFCD16Z3PCC'}
1624906098.270664,A2FYFCD16Z3PCC,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '0', 'worker-id': 'A2FYFCD16Z3PCC'}
1624906098.820444,A2FYFCD16Z3PCC,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '0', 'worker-id': 'A2FYFCD16Z3PCC'}
1624906098.900326,A2FYFCD16Z3PCC,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '0', 'worker-id': 'A2FYFCD16Z3PCC'}
1624906099.127802,A2FYFCD16Z3PCC,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '0', 'worker-id': 'A2FYFCD16Z3PCC'}
1624906100.054237,A2FYFCD16Z3PCC,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '2', 'worker-id': 'A2FYFCD16Z3PCC'}
1624906100.05524,A2FYFCD16Z3PCC,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '2', 'worker-id': 'A2FYFCD16Z3PCC'}
1624906100.969467,A2FYFCD16Z3PCC,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '1', 'worker-id': 'A2FYFCD16Z3PCC'}
1624906100.973469,A2FYFCD16Z3PCC,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '1', 'worker-id': 'A2FYFCD16Z3PCC'}
1624906102.51021,A2FYFCD16Z3PCC,{'stage': 'SAGAT', 'action': 'side-panel-click', 'object': 'next button tutorial 3', 'worker-id': 'A2FYFCD16Z3PCC'}
1624906102.509712,A2FYFCD16Z3PCC,{'stage': 'SAGAT', 'action': 'side-panel-state', 'object': 'showing introduction', 'worker-id': 'A2FYFCD16Z3PCC'}
1624906122.812351,A2FYFCD16Z3PCC,{'stage': 'SAGAT', 'action': 'side-panel-click', 'object': 'next button introduction', 'worker-id': 'A2FYFCD16Z3PCC'}
1624906122.812838,A2FYFCD16Z3PCC,{'stage': 'SAGAT', 'action': 'side-panel-state', 'object': 'showing information panel', 'worker-id': 'A2FYFCD16Z3PCC'}
1624906147.357274,A2FYFCD16Z3PCC,{'stage': 'SAGAT', 'action': 'side-panel-click', 'object': 'next button information', 'worker-id': 'A2FYFCD16Z3PCC'}
1624906147.358021,A2FYFCD16Z3PCC,{'stage': 'SAGAT', 'action': 'side-panel-state', 'object': 'showing information panel', 'worker-id': 'A2FYFCD16Z3PCC'}
1624906177.156917,A2FYFCD16Z3PCC,{'stage': 'SAGAT', 'action': 'side-panel-state', 'object': 'showing sagat questions', 'worker-id': 'A2FYFCD16Z3PCC'}
1624906188.52655,A2FYFCD16Z3PCC,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '1', 'worker-id': 'A2FYFCD16Z3PCC'}
1624906189.138325,A2FYFCD16Z3PCC,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '2', 'worker-id': 'A2FYFCD16Z3PCC'}
1624906190.675383,A2FYFCD16Z3PCC,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '16', 'worker-id': 'A2FYFCD16Z3PCC'}
1624906191.078578,A2FYFCD16Z3PCC,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '15', 'worker-id': 'A2FYFCD16Z3PCC'}
1624906191.796246,A2FYFCD16Z3PCC,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '14', 'worker-id': 'A2FYFCD16Z3PCC'}
1624906192.159447,A2FYFCD16Z3PCC,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '13', 'worker-id': 'A2FYFCD16Z3PCC'}
1624906192.537917,A2FYFCD16Z3PCC,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '12', 'worker-id': 'A2FYFCD16Z3PCC'}
1624906193.05028,A2FYFCD16Z3PCC,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '11', 'worker-id': 'A2FYFCD16Z3PCC'}
