
1625181193.417572,A2J9USSV2OF2NP,{'stage': 'portal', 'action': 'opened-portal', 'worker-id': 'A2J9USSV2OF2NP'}
1625181263.658033,A2J9USSV2OF2NP,{'stage': 'tutorial', 'action': 'opened-tutorial', 'worker-id': 'A2J9USSV2OF2NP'}
1625181288.494234,A2J9USSV2OF2NP,{'stage': 'portal', 'action': 'opened-portal', 'worker-id': 'A2J9USSV2OF2NP'}
1625181299.909281,A2J9USSV2OF2NP,{'stage': 'SAGAT', 'action': 'side-panel-state', 'object': 'showing tutorial panel 1', 'worker-id': 'A2J9USSV2OF2NP'}
1625181440.41603,A2J9USSV2OF2NP,{'stage': 'SAGAT', 'action': 'side-panel-click', 'object': 'next button tutorial 1', 'worker-id': 'A2J9USSV2OF2NP'}
1625181440.417406,A2J9USSV2OF2NP,{'stage': 'SAGAT', 'action': 'side-panel-state', 'object': 'showing tutorial panel 2', 'worker-id': 'A2J9USSV2OF2NP'}
1625181444.507243,A2J9USSV2OF2NP,{'stage': 'SAGAT', 'action': 'side-panel-click', 'object': 'next button tutorial 2', 'worker-id': 'A2J9USSV2OF2NP'}
1625181444.809055,A2J9USSV2OF2NP,{'stage': 'SAGAT', 'action': 'side-panel-state', 'object': 'showing tutorial panel 3', 'worker-id': 'A2J9USSV2OF2NP'}
1625181444.809861,A2J9USSV2OF2NP,{'stage': 'SAGAT', 'action': 'side-panel-state', 'object': 'showing sagat questions', 'worker-id': 'A2J9USSV2OF2NP'}
1625181446.082593,A2J9USSV2OF2NP,{'stage': 'SAGAT', 'action': 'side-panel-click', 'object': 'next button tutorial 3', 'worker-id': 'A2J9USSV2OF2NP'}
1625181446.086244,A2J9USSV2OF2NP,{'stage': 'SAGAT', 'action': 'side-panel-state', 'object': 'showing introduction', 'worker-id': 'A2J9USSV2OF2NP'}
1625181447.783632,A2J9USSV2OF2NP,{'stage': 'SAGAT', 'action': 'side-panel-click', 'object': 'next button introduction', 'worker-id': 'A2J9USSV2OF2NP'}
1625181448.093062,A2J9USSV2OF2NP,{'stage': 'SAGAT', 'action': 'side-panel-state', 'object': 'showing information panel', 'worker-id': 'A2J9USSV2OF2NP'}
