
1624912845.823225,A2KGELV8JP76TJ,{'stage': 'portal', 'action': 'opened-portal', 'worker-id': 'A2KGELV8JP76TJ'}
1624912848.786702,A2KGELV8JP76TJ,{'stage': 'tutorial', 'action': 'opened-tutorial', 'worker-id': 'A2KGELV8JP76TJ'}
1624912854.649135,A2KGELV8JP76TJ,{'stage': 'portal', 'action': 'opened-portal', 'worker-id': 'A2KGELV8JP76TJ'}
1624912857.465228,A2KGELV8JP76TJ,{'stage': 'SAGAT', 'action': 'side-panel-state', 'object': 'showing tutorial panel 1', 'worker-id': 'A2KGELV8JP76TJ'}
1624912860.877172,A2KGELV8JP76TJ,{'stage': 'SAGAT', 'action': 'side-panel-state', 'object': 'showing tutorial panel 2', 'worker-id': 'A2KGELV8JP76TJ'}
1624912860.880425,A2KGELV8JP76TJ,{'stage': 'SAGAT', 'action': 'side-panel-click', 'object': 'next button tutorial 1', 'worker-id': 'A2KGELV8JP76TJ'}
1624912863.025347,A2KGELV8JP76TJ,{'stage': 'SAGAT', 'action': 'side-panel-state', 'object': 'showing tutorial panel 3', 'worker-id': 'A2KGELV8JP76TJ'}
1624912863.026079,A2KGELV8JP76TJ,{'stage': 'SAGAT', 'action': 'side-panel-state', 'object': 'showing sagat questions', 'worker-id': 'A2KGELV8JP76TJ'}
1624912863.027439,A2KGELV8JP76TJ,{'stage': 'SAGAT', 'action': 'side-panel-click', 'object': 'next button tutorial 2', 'worker-id': 'A2KGELV8JP76TJ'}
1624912864.564953,A2KGELV8JP76TJ,{'stage': 'SAGAT', 'action': 'side-panel-state', 'object': 'showing introduction', 'worker-id': 'A2KGELV8JP76TJ'}
1624912864.566632,A2KGELV8JP76TJ,{'stage': 'SAGAT', 'action': 'side-panel-click', 'object': 'next button tutorial 3', 'worker-id': 'A2KGELV8JP76TJ'}
1624912866.097858,A2KGELV8JP76TJ,{'stage': 'SAGAT', 'action': 'side-panel-state', 'object': 'showing information panel', 'worker-id': 'A2KGELV8JP76TJ'}
1624912866.098701,A2KGELV8JP76TJ,{'stage': 'SAGAT', 'action': 'side-panel-click', 'object': 'next button introduction', 'worker-id': 'A2KGELV8JP76TJ'}
1624912867.32038,A2KGELV8JP76TJ,{'stage': 'SAGAT', 'action': 'side-panel-click', 'object': 'next button information', 'worker-id': 'A2KGELV8JP76TJ'}
1624912867.321382,A2KGELV8JP76TJ,{'stage': 'SAGAT', 'action': 'side-panel-state', 'object': 'showing information panel', 'worker-id': 'A2KGELV8JP76TJ'}
1624912878.551473,A2KGELV8JP76TJ,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '1', 'worker-id': 'A2KGELV8JP76TJ'}
1624912878.727552,A2KGELV8JP76TJ,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '1', 'worker-id': 'A2KGELV8JP76TJ'}
1624912878.931113,A2KGELV8JP76TJ,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '1', 'worker-id': 'A2KGELV8JP76TJ'}
1624912879.61275,A2KGELV8JP76TJ,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '2', 'worker-id': 'A2KGELV8JP76TJ'}
1624912888.720463,A2KGELV8JP76TJ,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '1', 'worker-id': 'A2KGELV8JP76TJ'}
1624912890.672158,A2KGELV8JP76TJ,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '1', 'worker-id': 'A2KGELV8JP76TJ'}
1624912892.616286,A2KGELV8JP76TJ,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '1', 'worker-id': 'A2KGELV8JP76TJ'}
1624912894.357634,A2KGELV8JP76TJ,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '8', 'worker-id': 'A2KGELV8JP76TJ'}
1624912894.972691,A2KGELV8JP76TJ,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '8', 'worker-id': 'A2KGELV8JP76TJ'}
1624912896.509394,A2KGELV8JP76TJ,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '2', 'worker-id': 'A2KGELV8JP76TJ'}
1624912896.514334,A2KGELV8JP76TJ,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '2', 'worker-id': 'A2KGELV8JP76TJ'}
1624912896.667477,A2KGELV8JP76TJ,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '2', 'worker-id': 'A2KGELV8JP76TJ'}
1624912896.913584,A2KGELV8JP76TJ,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '2', 'worker-id': 'A2KGELV8JP76TJ'}
1624912897.123895,A2KGELV8JP76TJ,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '2', 'worker-id': 'A2KGELV8JP76TJ'}
1624912897.430566,A2KGELV8JP76TJ,{'stage': 'SAGAT', 'action': 'side-panel-state', 'object': 'showing sagat questions', 'worker-id': 'A2KGELV8JP76TJ'}
1624912898.968664,A2KGELV8JP76TJ,{'stage': 'SAGAT', 'action': 'side-panel-state', 'object': 'showing misunderstanding panel', 'worker-id': 'A2KGELV8JP76TJ'}
1624912898.969747,A2KGELV8JP76TJ,{'stage': 'SAGAT', 'action': 'side-panel-click', 'object': 'next button sagat questions', 'worker-id': 'A2KGELV8JP76TJ'}
1624912900.502034,A2KGELV8JP76TJ,{'stage': 'SAGAT', 'action': 'side-panel-click', 'object': 'next button misunderstanding panel', 'worker-id': 'A2KGELV8JP76TJ'}
1624912900.505507,A2KGELV8JP76TJ,{'stage': 'SAGAT', 'action': 'side-panel-state', 'object': 'showing sagat questions', 'worker-id': 'A2KGELV8JP76TJ'}
1624912901.738993,A2KGELV8JP76TJ,{'stage': 'SAGAT', 'action': 'side-panel-state', 'object': 'showing misunderstanding panel', 'worker-id': 'A2KGELV8JP76TJ'}
1624912901.739605,A2KGELV8JP76TJ,{'stage': 'SAGAT', 'action': 'side-panel-click', 'object': 'next button sagat questions', 'worker-id': 'A2KGELV8JP76TJ'}
