
1617484047.000416,A2PJGKW2KOVM7Y,{'stage': 'portal', 'action': 'opened-portal', 'worker-id': 'A2PJGKW2KOVM7Y'}
1617484073.533414,A2PJGKW2KOVM7Y,{'stage': 'tutorial', 'action': 'opened-tutorial', 'worker-id': 'A2PJGKW2KOVM7Y'}
1617484120.114971,A2PJGKW2KOVM7Y,{'stage': 'portal', 'action': 'opened-portal', 'worker-id': 'A2PJGKW2KOVM7Y'}
1617484136.203517,A2PJGKW2KOVM7Y,{'stage': 'SAGAT', 'action': 'side-panel-state', 'object': 'showing tutorial panel 1', 'worker-id': 'A2PJGKW2KOVM7Y'}
1617484207.67793,A2PJGKW2KOVM7Y,{'stage': 'SAGAT', 'action': 'side-panel-click', 'object': 'next button tutorial 1', 'worker-id': 'A2PJGKW2KOVM7Y'}
1617484207.680277,A2PJGKW2KOVM7Y,{'stage': 'SAGAT', 'action': 'side-panel-state', 'object': 'showing tutorial panel 2', 'worker-id': 'A2PJGKW2KOVM7Y'}
1617484270.733941,A2PJGKW2KOVM7Y,{'stage': 'SAGAT', 'action': 'side-panel-click', 'object': 'next button tutorial 2', 'worker-id': 'A2PJGKW2KOVM7Y'}
1617484270.736075,A2PJGKW2KOVM7Y,{'stage': 'SAGAT', 'action': 'side-panel-state', 'object': 'showing sagat questions', 'worker-id': 'A2PJGKW2KOVM7Y'}
1617484270.746841,A2PJGKW2KOVM7Y,{'stage': 'SAGAT', 'action': 'side-panel-state', 'object': 'showing tutorial panel 3', 'worker-id': 'A2PJGKW2KOVM7Y'}
1617484282.222214,A2PJGKW2KOVM7Y,{'stage': 'SAGAT', 'action': 'side-panel-click', 'object': 'next button tutorial 3', 'worker-id': 'A2PJGKW2KOVM7Y'}
1617484282.225847,A2PJGKW2KOVM7Y,{'stage': 'SAGAT', 'action': 'side-panel-state', 'object': 'showing introduction', 'worker-id': 'A2PJGKW2KOVM7Y'}
1617484328.600716,A2PJGKW2KOVM7Y,{'stage': 'SAGAT', 'action': 'side-panel-click', 'object': 'next button introduction', 'worker-id': 'A2PJGKW2KOVM7Y'}
1617484328.597781,A2PJGKW2KOVM7Y,{'stage': 'SAGAT', 'action': 'side-panel-state', 'object': 'showing information panel', 'worker-id': 'A2PJGKW2KOVM7Y'}
1617484369.200977,A2PJGKW2KOVM7Y,{'stage': 'SAGAT', 'action': 'side-panel-state', 'object': 'showing information panel', 'worker-id': 'A2PJGKW2KOVM7Y'}
1617484369.203021,A2PJGKW2KOVM7Y,{'stage': 'SAGAT', 'action': 'side-panel-click', 'object': 'next button information', 'worker-id': 'A2PJGKW2KOVM7Y'}
1617484399.282227,A2PJGKW2KOVM7Y,{'stage': 'SAGAT', 'action': 'side-panel-state', 'object': 'showing sagat questions', 'worker-id': 'A2PJGKW2KOVM7Y'}
1617484401.591301,A2PJGKW2KOVM7Y,{'stage': 'SAGAT', 'action': 'side-panel-state', 'object': 'showing misunderstanding panel', 'worker-id': 'A2PJGKW2KOVM7Y'}
1617484401.589191,A2PJGKW2KOVM7Y,{'stage': 'SAGAT', 'action': 'side-panel-click', 'object': 'next button sagat questions', 'worker-id': 'A2PJGKW2KOVM7Y'}
1617484421.421244,A2PJGKW2KOVM7Y,{'stage': 'SAGAT', 'action': 'side-panel-click', 'object': 'next button misunderstanding panel', 'worker-id': 'A2PJGKW2KOVM7Y'}
1617484421.473328,A2PJGKW2KOVM7Y,{'stage': 'SAGAT', 'action': 'side-panel-state', 'object': 'showing sagat questions', 'worker-id': 'A2PJGKW2KOVM7Y'}
1617484455.190744,A2PJGKW2KOVM7Y,{'stage': 'SAGAT', 'action': 'side-panel-state', 'object': 'showing misunderstanding panel', 'worker-id': 'A2PJGKW2KOVM7Y'}
1617484455.19282,A2PJGKW2KOVM7Y,{'stage': 'SAGAT', 'action': 'side-panel-click', 'object': 'next button sagat questions', 'worker-id': 'A2PJGKW2KOVM7Y'}
1617484468.455597,A2PJGKW2KOVM7Y,{'stage': 'SAGAT', 'action': 'side-panel-click', 'object': 'next button misunderstanding panel', 'worker-id': 'A2PJGKW2KOVM7Y'}
1617484468.482428,A2PJGKW2KOVM7Y,{'stage': 'SAGAT', 'action': 'side-panel-state', 'object': 'showing sagat questions', 'worker-id': 'A2PJGKW2KOVM7Y'}
1617484470.233742,A2PJGKW2KOVM7Y,{'stage': 'SAGAT', 'action': 'side-panel-click', 'object': 'next button sagat questions', 'worker-id': 'A2PJGKW2KOVM7Y'}
1617484470.23229,A2PJGKW2KOVM7Y,{'stage': 'SAGAT', 'action': 'side-panel-state', 'object': 'showing misunderstanding panel', 'worker-id': 'A2PJGKW2KOVM7Y'}
1617484475.662546,A2PJGKW2KOVM7Y,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '6', 'worker-id': 'A2PJGKW2KOVM7Y'}
1617484478.796615,A2PJGKW2KOVM7Y,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '5', 'worker-id': 'A2PJGKW2KOVM7Y'}
1617484479.595676,A2PJGKW2KOVM7Y,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '5', 'worker-id': 'A2PJGKW2KOVM7Y'}
1617484480.259034,A2PJGKW2KOVM7Y,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '6', 'worker-id': 'A2PJGKW2KOVM7Y'}
1617484481.303812,A2PJGKW2KOVM7Y,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '6', 'worker-id': 'A2PJGKW2KOVM7Y'}
1617484484.96382,A2PJGKW2KOVM7Y,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '2', 'worker-id': 'A2PJGKW2KOVM7Y'}
1617484487.571177,A2PJGKW2KOVM7Y,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '16', 'worker-id': 'A2PJGKW2KOVM7Y'}
1617484488.300946,A2PJGKW2KOVM7Y,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '9', 'worker-id': 'A2PJGKW2KOVM7Y'}
1617484489.449939,A2PJGKW2KOVM7Y,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '16', 'worker-id': 'A2PJGKW2KOVM7Y'}
1617484490.706453,A2PJGKW2KOVM7Y,{'stage': 'SAGAT', 'action': 'side-panel-click', 'object': 'next button misunderstanding panel', 'worker-id': 'A2PJGKW2KOVM7Y'}
1617484490.704971,A2PJGKW2KOVM7Y,{'stage': 'SAGAT', 'action': 'side-panel-state', 'object': 'showing sagat questions', 'worker-id': 'A2PJGKW2KOVM7Y'}
1617484492.689724,A2PJGKW2KOVM7Y,{'stage': 'SAGAT', 'action': 'side-panel-click', 'object': 'next button sagat questions', 'worker-id': 'A2PJGKW2KOVM7Y'}
1617484492.687789,A2PJGKW2KOVM7Y,{'stage': 'SAGAT', 'action': 'side-panel-state', 'object': 'showing misunderstanding panel', 'worker-id': 'A2PJGKW2KOVM7Y'}
1617484493.62776,A2PJGKW2KOVM7Y,{'stage': 'SAGAT', 'action': 'side-panel-click', 'object': 'next button misunderstanding panel', 'worker-id': 'A2PJGKW2KOVM7Y'}
1617484493.629561,A2PJGKW2KOVM7Y,{'stage': 'SAGAT', 'action': 'side-panel-state', 'object': 'showing sagat questions', 'worker-id': 'A2PJGKW2KOVM7Y'}
1617484494.986756,A2PJGKW2KOVM7Y,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '1', 'worker-id': 'A2PJGKW2KOVM7Y'}
1617484496.134577,A2PJGKW2KOVM7Y,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '1', 'worker-id': 'A2PJGKW2KOVM7Y'}
1617484496.655361,A2PJGKW2KOVM7Y,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '1', 'worker-id': 'A2PJGKW2KOVM7Y'}
1617484498.540479,A2PJGKW2KOVM7Y,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '13', 'worker-id': 'A2PJGKW2KOVM7Y'}
1617484499.402588,A2PJGKW2KOVM7Y,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '12', 'worker-id': 'A2PJGKW2KOVM7Y'}
1617484501.816791,A2PJGKW2KOVM7Y,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '5', 'worker-id': 'A2PJGKW2KOVM7Y'}
1617484502.506165,A2PJGKW2KOVM7Y,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '5', 'worker-id': 'A2PJGKW2KOVM7Y'}
