
1624831607.03828,A32QWM7BWCSPTS,{'stage': 'portal', 'action': 'opened-portal', 'worker-id': 'A32QWM7BWCSPTS'}
1624831617.36691,A32QWM7BWCSPTS,{'stage': 'tutorial', 'action': 'opened-tutorial', 'worker-id': 'A32QWM7BWCSPTS'}
1624831647.273921,A32QWM7BWCSPTS,{'stage': 'portal', 'action': 'opened-portal', 'worker-id': 'A32QWM7BWCSPTS'}
1624831651.203187,A32QWM7BWCSPTS,{'stage': 'SAGAT', 'action': 'side-panel-state', 'object': 'showing tutorial panel 1', 'worker-id': 'A32QWM7BWCSPTS'}
1624831680.686516,A32QWM7BWCSPTS,{'stage': 'SAGAT', 'action': 'side-panel-click', 'object': 'next button tutorial 1', 'worker-id': 'A32QWM7BWCSPTS'}
1624831680.687503,A32QWM7BWCSPTS,{'stage': 'SAGAT', 'action': 'side-panel-state', 'object': 'showing tutorial panel 2', 'worker-id': 'A32QWM7BWCSPTS'}
1624831719.05355,A32QWM7BWCSPTS,{'stage': 'SAGAT', 'action': 'side-panel-state', 'object': 'showing tutorial panel 3', 'worker-id': 'A32QWM7BWCSPTS'}
1624831719.05411,A32QWM7BWCSPTS,{'stage': 'SAGAT', 'action': 'side-panel-click', 'object': 'next button tutorial 2', 'worker-id': 'A32QWM7BWCSPTS'}
1624831719.054999,A32QWM7BWCSPTS,{'stage': 'SAGAT', 'action': 'side-panel-state', 'object': 'showing sagat questions', 'worker-id': 'A32QWM7BWCSPTS'}
1624831738.506038,A32QWM7BWCSPTS,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '1', 'worker-id': 'A32QWM7BWCSPTS'}
1624831739.328341,A32QWM7BWCSPTS,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '1', 'worker-id': 'A32QWM7BWCSPTS'}
1624831739.493751,A32QWM7BWCSPTS,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '1', 'worker-id': 'A32QWM7BWCSPTS'}
1624831739.953904,A32QWM7BWCSPTS,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '1', 'worker-id': 'A32QWM7BWCSPTS'}
1624831741.680235,A32QWM7BWCSPTS,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '2', 'worker-id': 'A32QWM7BWCSPTS'}
1624831741.989365,A32QWM7BWCSPTS,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '2', 'worker-id': 'A32QWM7BWCSPTS'}
1624831742.293854,A32QWM7BWCSPTS,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '2', 'worker-id': 'A32QWM7BWCSPTS'}
1624831742.708797,A32QWM7BWCSPTS,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '2', 'worker-id': 'A32QWM7BWCSPTS'}
1624831743.937114,A32QWM7BWCSPTS,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '0', 'worker-id': 'A32QWM7BWCSPTS'}
1624831744.549465,A32QWM7BWCSPTS,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '0', 'worker-id': 'A32QWM7BWCSPTS'}
1624831744.718242,A32QWM7BWCSPTS,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '0', 'worker-id': 'A32QWM7BWCSPTS'}
1624831745.059275,A32QWM7BWCSPTS,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '0', 'worker-id': 'A32QWM7BWCSPTS'}
1624831752.232959,A32QWM7BWCSPTS,{'stage': 'SAGAT', 'action': 'side-panel-click', 'object': 'next button tutorial 3', 'worker-id': 'A32QWM7BWCSPTS'}
1624831752.233794,A32QWM7BWCSPTS,{'stage': 'SAGAT', 'action': 'side-panel-state', 'object': 'showing introduction', 'worker-id': 'A32QWM7BWCSPTS'}
1624831794.944259,A32QWM7BWCSPTS,{'stage': 'SAGAT', 'action': 'side-panel-click', 'object': 'next button introduction', 'worker-id': 'A32QWM7BWCSPTS'}
1624831794.941834,A32QWM7BWCSPTS,{'stage': 'SAGAT', 'action': 'side-panel-state', 'object': 'showing information panel', 'worker-id': 'A32QWM7BWCSPTS'}
1624831816.749761,A32QWM7BWCSPTS,{'stage': 'SAGAT', 'action': 'side-panel-state', 'object': 'showing information panel', 'worker-id': 'A32QWM7BWCSPTS'}
1624831816.749075,A32QWM7BWCSPTS,{'stage': 'SAGAT', 'action': 'side-panel-click', 'object': 'next button information', 'worker-id': 'A32QWM7BWCSPTS'}
1624831846.719601,A32QWM7BWCSPTS,{'stage': 'SAGAT', 'action': 'side-panel-state', 'object': 'showing sagat questions', 'worker-id': 'A32QWM7BWCSPTS'}
1624831868.76794,A32QWM7BWCSPTS,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '0', 'worker-id': 'A32QWM7BWCSPTS'}
1624831869.995385,A32QWM7BWCSPTS,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '2', 'worker-id': 'A32QWM7BWCSPTS'}
1624831872.542758,A32QWM7BWCSPTS,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '3', 'worker-id': 'A32QWM7BWCSPTS'}
1624831873.581771,A32QWM7BWCSPTS,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '4', 'worker-id': 'A32QWM7BWCSPTS'}
1624831874.664233,A32QWM7BWCSPTS,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '5', 'worker-id': 'A32QWM7BWCSPTS'}
1624831875.425411,A32QWM7BWCSPTS,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '6', 'worker-id': 'A32QWM7BWCSPTS'}
1624831876.039356,A32QWM7BWCSPTS,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '7', 'worker-id': 'A32QWM7BWCSPTS'}
1624831876.46274,A32QWM7BWCSPTS,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '8', 'worker-id': 'A32QWM7BWCSPTS'}
1624831876.853377,A32QWM7BWCSPTS,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '9', 'worker-id': 'A32QWM7BWCSPTS'}
1624831879.735449,A32QWM7BWCSPTS,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '16', 'worker-id': 'A32QWM7BWCSPTS'}
1624831879.92955,A32QWM7BWCSPTS,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '16', 'worker-id': 'A32QWM7BWCSPTS'}
1624831883.108102,A32QWM7BWCSPTS,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '16', 'worker-id': 'A32QWM7BWCSPTS'}
1624831884.364834,A32QWM7BWCSPTS,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '15', 'worker-id': 'A32QWM7BWCSPTS'}
1624831884.703926,A32QWM7BWCSPTS,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '15', 'worker-id': 'A32QWM7BWCSPTS'}
