
1617480440.976352,A34MXCHJVM6ENI,{'stage': 'portal', 'action': 'opened-portal', 'worker-id': 'A34MXCHJVM6ENI'}
1617480444.107835,A34MXCHJVM6ENI,{'stage': 'tutorial', 'action': 'opened-tutorial', 'worker-id': 'A34MXCHJVM6ENI'}
1617480457.398083,A34MXCHJVM6ENI,{'stage': 'portal', 'action': 'opened-portal', 'worker-id': 'A34MXCHJVM6ENI'}
1617480467.088252,A34MXCHJVM6ENI,{'stage': 'SAGAT', 'action': 'side-panel-state', 'object': 'showing tutorial panel 1', 'worker-id': 'A34MXCHJVM6ENI'}
1617480492.780595,A34MXCHJVM6ENI,{'stage': 'SAGAT', 'action': 'side-panel-click', 'object': 'next button tutorial 1', 'worker-id': 'A34MXCHJVM6ENI'}
1617480492.804977,A34MXCHJVM6ENI,{'stage': 'SAGAT', 'action': 'side-panel-state', 'object': 'showing tutorial panel 2', 'worker-id': 'A34MXCHJVM6ENI'}
1617480504.688659,A34MXCHJVM6ENI,{'stage': 'SAGAT', 'action': 'side-panel-state', 'object': 'showing sagat questions', 'worker-id': 'A34MXCHJVM6ENI'}
1617480504.691252,A34MXCHJVM6ENI,{'stage': 'SAGAT', 'action': 'side-panel-click', 'object': 'next button tutorial 2', 'worker-id': 'A34MXCHJVM6ENI'}
1617480504.712653,A34MXCHJVM6ENI,{'stage': 'SAGAT', 'action': 'side-panel-state', 'object': 'showing tutorial panel 3', 'worker-id': 'A34MXCHJVM6ENI'}
1617480516.938049,A34MXCHJVM6ENI,{'stage': 'SAGAT', 'action': 'side-panel-click', 'object': 'next button tutorial 3', 'worker-id': 'A34MXCHJVM6ENI'}
1617480516.936197,A34MXCHJVM6ENI,{'stage': 'SAGAT', 'action': 'side-panel-state', 'object': 'showing introduction', 'worker-id': 'A34MXCHJVM6ENI'}
1617480541.978387,A34MXCHJVM6ENI,{'stage': 'SAGAT', 'action': 'side-panel-click', 'object': 'next button introduction', 'worker-id': 'A34MXCHJVM6ENI'}
1617480541.976893,A34MXCHJVM6ENI,{'stage': 'SAGAT', 'action': 'side-panel-state', 'object': 'showing information panel', 'worker-id': 'A34MXCHJVM6ENI'}
1617480564.433921,A34MXCHJVM6ENI,{'stage': 'SAGAT', 'action': 'side-panel-click', 'object': 'next button information', 'worker-id': 'A34MXCHJVM6ENI'}
1617480564.43614,A34MXCHJVM6ENI,{'stage': 'SAGAT', 'action': 'side-panel-state', 'object': 'showing information panel', 'worker-id': 'A34MXCHJVM6ENI'}
1617480594.514486,A34MXCHJVM6ENI,{'stage': 'SAGAT', 'action': 'side-panel-state', 'object': 'showing sagat questions', 'worker-id': 'A34MXCHJVM6ENI'}
1617480606.10945,A34MXCHJVM6ENI,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '10', 'worker-id': 'A34MXCHJVM6ENI'}
1617480607.573945,A34MXCHJVM6ENI,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '11', 'worker-id': 'A34MXCHJVM6ENI'}
1617480608.928851,A34MXCHJVM6ENI,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '12', 'worker-id': 'A34MXCHJVM6ENI'}
1617480609.416008,A34MXCHJVM6ENI,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '13', 'worker-id': 'A34MXCHJVM6ENI'}
1617480610.435517,A34MXCHJVM6ENI,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '14', 'worker-id': 'A34MXCHJVM6ENI'}
1617480611.799454,A34MXCHJVM6ENI,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '15', 'worker-id': 'A34MXCHJVM6ENI'}
1617480613.733378,A34MXCHJVM6ENI,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '16', 'worker-id': 'A34MXCHJVM6ENI'}
1617480615.407361,A34MXCHJVM6ENI,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '9', 'worker-id': 'A34MXCHJVM6ENI'}
1617480616.032904,A34MXCHJVM6ENI,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '8', 'worker-id': 'A34MXCHJVM6ENI'}
