
1625107129.665813,A38V38OZAP6O0,{'stage': 'portal', 'action': 'opened-portal', 'worker-id': 'A38V38OZAP6O0'}
1625107175.750628,A38V38OZAP6O0,{'stage': 'tutorial', 'action': 'opened-tutorial', 'worker-id': 'A38V38OZAP6O0'}
1625107212.924099,A38V38OZAP6O0,{'stage': 'portal', 'action': 'opened-portal', 'worker-id': 'A38V38OZAP6O0'}
1625107224.103778,A38V38OZAP6O0,{'stage': 'SAGAT', 'action': 'side-panel-state', 'object': 'showing tutorial panel 1', 'worker-id': 'A38V38OZAP6O0'}
1625107245.808539,A38V38OZAP6O0,{'stage': 'SAGAT', 'action': 'side-panel-click', 'object': 'next button tutorial 1', 'worker-id': 'A38V38OZAP6O0'}
1625107245.809287,A38V38OZAP6O0,{'stage': 'SAGAT', 'action': 'side-panel-state', 'object': 'showing tutorial panel 2', 'worker-id': 'A38V38OZAP6O0'}
1625107247.332787,A38V38OZAP6O0,{'stage': 'SAGAT', 'action': 'side-panel-click', 'object': 'next button tutorial 2', 'worker-id': 'A38V38OZAP6O0'}
1625107247.333967,A38V38OZAP6O0,{'stage': 'SAGAT', 'action': 'side-panel-state', 'object': 'showing sagat questions', 'worker-id': 'A38V38OZAP6O0'}
1625107247.488486,A38V38OZAP6O0,{'stage': 'SAGAT', 'action': 'side-panel-state', 'object': 'showing tutorial panel 3', 'worker-id': 'A38V38OZAP6O0'}
1625107249.025029,A38V38OZAP6O0,{'stage': 'SAGAT', 'action': 'side-panel-state', 'object': 'showing introduction', 'worker-id': 'A38V38OZAP6O0'}
1625107249.025188,A38V38OZAP6O0,{'stage': 'SAGAT', 'action': 'side-panel-click', 'object': 'next button tutorial 3', 'worker-id': 'A38V38OZAP6O0'}
1625107251.943231,A38V38OZAP6O0,{'stage': 'SAGAT', 'action': 'side-panel-click', 'object': 'next button introduction', 'worker-id': 'A38V38OZAP6O0'}
1625107251.944455,A38V38OZAP6O0,{'stage': 'SAGAT', 'action': 'side-panel-state', 'object': 'showing information panel', 'worker-id': 'A38V38OZAP6O0'}
1625107254.095824,A38V38OZAP6O0,{'stage': 'SAGAT', 'action': 'side-panel-state', 'object': 'showing information panel', 'worker-id': 'A38V38OZAP6O0'}
1625107254.096292,A38V38OZAP6O0,{'stage': 'SAGAT', 'action': 'side-panel-click', 'object': 'next button information', 'worker-id': 'A38V38OZAP6O0'}
1625107284.860164,A38V38OZAP6O0,{'stage': 'SAGAT', 'action': 'side-panel-state', 'object': 'showing sagat questions', 'worker-id': 'A38V38OZAP6O0'}
1625107300.801943,A38V38OZAP6O0,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '10', 'worker-id': 'A38V38OZAP6O0'}
1625107300.802779,A38V38OZAP6O0,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '11', 'worker-id': 'A38V38OZAP6O0'}
1625107300.890414,A38V38OZAP6O0,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '10', 'worker-id': 'A38V38OZAP6O0'}
1625107302.056405,A38V38OZAP6O0,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '10', 'worker-id': 'A38V38OZAP6O0'}
1625107303.363453,A38V38OZAP6O0,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '10', 'worker-id': 'A38V38OZAP6O0'}
1625107306.013375,A38V38OZAP6O0,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '10', 'worker-id': 'A38V38OZAP6O0'}
1625107306.62447,A38V38OZAP6O0,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '10', 'worker-id': 'A38V38OZAP6O0'}
1625107306.932548,A38V38OZAP6O0,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '10', 'worker-id': 'A38V38OZAP6O0'}
1625107308.170349,A38V38OZAP6O0,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '10', 'worker-id': 'A38V38OZAP6O0'}
1625107309.839114,A38V38OZAP6O0,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '10', 'worker-id': 'A38V38OZAP6O0'}
1625107310.616959,A38V38OZAP6O0,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '12', 'worker-id': 'A38V38OZAP6O0'}
1625107311.976317,A38V38OZAP6O0,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '13', 'worker-id': 'A38V38OZAP6O0'}
1625107311.983971,A38V38OZAP6O0,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '14', 'worker-id': 'A38V38OZAP6O0'}
1625107314.576889,A38V38OZAP6O0,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '16', 'worker-id': 'A38V38OZAP6O0'}
1625107314.577815,A38V38OZAP6O0,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '15', 'worker-id': 'A38V38OZAP6O0'}
1625107314.920302,A38V38OZAP6O0,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '8', 'worker-id': 'A38V38OZAP6O0'}
1625107314.920945,A38V38OZAP6O0,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '9', 'worker-id': 'A38V38OZAP6O0'}
1625107314.96299,A38V38OZAP6O0,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '7', 'worker-id': 'A38V38OZAP6O0'}
1625107315.653731,A38V38OZAP6O0,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '6', 'worker-id': 'A38V38OZAP6O0'}
1625107317.404082,A38V38OZAP6O0,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '5', 'worker-id': 'A38V38OZAP6O0'}
1625107317.499289,A38V38OZAP6O0,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '3', 'worker-id': 'A38V38OZAP6O0'}
1625107317.653769,A38V38OZAP6O0,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '4', 'worker-id': 'A38V38OZAP6O0'}
1625107318.415772,A38V38OZAP6O0,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '0', 'worker-id': 'A38V38OZAP6O0'}
1625107319.525826,A38V38OZAP6O0,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '1', 'worker-id': 'A38V38OZAP6O0'}
1625107319.793978,A38V38OZAP6O0,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '2', 'worker-id': 'A38V38OZAP6O0'}
1625107328.743665,A38V38OZAP6O0,{'stage': 'SAGAT', 'action': 'side-panel-click', 'object': 'next button sagat questions', 'worker-id': 'A38V38OZAP6O0'}
1625107328.745519,A38V38OZAP6O0,{'stage': 'SAGAT', 'action': 'side-panel-state', 'object': 'showing information panel', 'worker-id': 'A38V38OZAP6O0'}
1625107357.621015,A38V38OZAP6O0,{'stage': 'SAGAT', 'action': 'side-panel-state', 'object': 'showing sagat questions', 'worker-id': 'A38V38OZAP6O0'}
1625107362.227845,A38V38OZAP6O0,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '11', 'worker-id': 'A38V38OZAP6O0'}
1625107362.233959,A38V38OZAP6O0,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '11', 'worker-id': 'A38V38OZAP6O0'}
1625107364.724994,A38V38OZAP6O0,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '10', 'worker-id': 'A38V38OZAP6O0'}
1625107364.783602,A38V38OZAP6O0,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '3', 'worker-id': 'A38V38OZAP6O0'}
1625107365.913668,A38V38OZAP6O0,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '4', 'worker-id': 'A38V38OZAP6O0'}
1625107368.987341,A38V38OZAP6O0,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '12', 'worker-id': 'A38V38OZAP6O0'}
1625107368.986873,A38V38OZAP6O0,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '13', 'worker-id': 'A38V38OZAP6O0'}
1625107369.085546,A38V38OZAP6O0,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '5', 'worker-id': 'A38V38OZAP6O0'}
1625107369.087172,A38V38OZAP6O0,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '6', 'worker-id': 'A38V38OZAP6O0'}
1625107369.169999,A38V38OZAP6O0,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '1', 'worker-id': 'A38V38OZAP6O0'}
1625107369.90962,A38V38OZAP6O0,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '7', 'worker-id': 'A38V38OZAP6O0'}
1625107370.588366,A38V38OZAP6O0,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '8', 'worker-id': 'A38V38OZAP6O0'}
1625107371.445331,A38V38OZAP6O0,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '9', 'worker-id': 'A38V38OZAP6O0'}
1625107373.287417,A38V38OZAP6O0,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '16', 'worker-id': 'A38V38OZAP6O0'}
1625107374.824208,A38V38OZAP6O0,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '15', 'worker-id': 'A38V38OZAP6O0'}
1625107374.909902,A38V38OZAP6O0,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '14', 'worker-id': 'A38V38OZAP6O0'}
1625107374.928346,A38V38OZAP6O0,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '2', 'worker-id': 'A38V38OZAP6O0'}
1625107375.462655,A38V38OZAP6O0,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '0', 'worker-id': 'A38V38OZAP6O0'}
1625107378.849575,A38V38OZAP6O0,{'stage': 'SAGAT', 'action': 'side-panel-click', 'object': 'next button sagat questions', 'worker-id': 'A38V38OZAP6O0'}
1625107378.954873,A38V38OZAP6O0,{'stage': 'SAGAT', 'action': 'side-panel-state', 'object': 'showing information panel', 'worker-id': 'A38V38OZAP6O0'}
1625107409.554733,A38V38OZAP6O0,{'stage': 'SAGAT', 'action': 'side-panel-state', 'object': 'showing sagat questions', 'worker-id': 'A38V38OZAP6O0'}
1625107411.38325,A38V38OZAP6O0,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '11', 'worker-id': 'A38V38OZAP6O0'}
1625107412.003602,A38V38OZAP6O0,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '11', 'worker-id': 'A38V38OZAP6O0'}
1625107413.853427,A38V38OZAP6O0,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '10', 'worker-id': 'A38V38OZAP6O0'}
1625107417.529121,A38V38OZAP6O0,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '3', 'worker-id': 'A38V38OZAP6O0'}
1625107417.533997,A38V38OZAP6O0,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '4', 'worker-id': 'A38V38OZAP6O0'}
1625107417.726914,A38V38OZAP6O0,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '12', 'worker-id': 'A38V38OZAP6O0'}
1625107420.907793,A38V38OZAP6O0,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '13', 'worker-id': 'A38V38OZAP6O0'}
1625107421.106328,A38V38OZAP6O0,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '5', 'worker-id': 'A38V38OZAP6O0'}
1625107421.107348,A38V38OZAP6O0,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '6', 'worker-id': 'A38V38OZAP6O0'}
1625107422.134906,A38V38OZAP6O0,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '1', 'worker-id': 'A38V38OZAP6O0'}
1625107427.664213,A38V38OZAP6O0,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '15', 'worker-id': 'A38V38OZAP6O0'}
1625107427.71871,A38V38OZAP6O0,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '16', 'worker-id': 'A38V38OZAP6O0'}
1625107427.762156,A38V38OZAP6O0,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '14', 'worker-id': 'A38V38OZAP6O0'}
1625107427.765963,A38V38OZAP6O0,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '14', 'worker-id': 'A38V38OZAP6O0'}
1625107427.76507,A38V38OZAP6O0,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '15', 'worker-id': 'A38V38OZAP6O0'}
1625107427.764603,A38V38OZAP6O0,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '16', 'worker-id': 'A38V38OZAP6O0'}
1625107428.045913,A38V38OZAP6O0,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '15', 'worker-id': 'A38V38OZAP6O0'}
1625107428.140736,A38V38OZAP6O0,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '16', 'worker-id': 'A38V38OZAP6O0'}
1625107428.143237,A38V38OZAP6O0,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '9', 'worker-id': 'A38V38OZAP6O0'}
1625107430.430207,A38V38OZAP6O0,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '14', 'worker-id': 'A38V38OZAP6O0'}
1625107430.431769,A38V38OZAP6O0,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '8', 'worker-id': 'A38V38OZAP6O0'}
1625107431.966596,A38V38OZAP6O0,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '7', 'worker-id': 'A38V38OZAP6O0'}
1625107432.578838,A38V38OZAP6O0,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '2', 'worker-id': 'A38V38OZAP6O0'}
1625107433.501365,A38V38OZAP6O0,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '14', 'worker-id': 'A38V38OZAP6O0'}
1625107434.425138,A38V38OZAP6O0,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '15', 'worker-id': 'A38V38OZAP6O0'}
1625107434.952374,A38V38OZAP6O0,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '16', 'worker-id': 'A38V38OZAP6O0'}
1625107437.28867,A38V38OZAP6O0,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '14', 'worker-id': 'A38V38OZAP6O0'}
1625107438.547146,A38V38OZAP6O0,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '15', 'worker-id': 'A38V38OZAP6O0'}
