
1625105441.880277,A3A7XE8L9Q1WZF,{'stage': 'portal', 'action': 'opened-portal', 'worker-id': 'A3A7XE8L9Q1WZF'}
1625105444.551888,A3A7XE8L9Q1WZF,{'stage': 'tutorial', 'action': 'opened-tutorial', 'worker-id': 'A3A7XE8L9Q1WZF'}
1625105464.709489,A3A7XE8L9Q1WZF,{'stage': 'portal', 'action': 'opened-portal', 'worker-id': 'A3A7XE8L9Q1WZF'}
1625105468.313507,A3A7XE8L9Q1WZF,{'stage': 'SAGAT', 'action': 'side-panel-state', 'object': 'showing tutorial panel 1', 'worker-id': 'A3A7XE8L9Q1WZF'}
1625105499.118505,A3A7XE8L9Q1WZF,{'stage': 'SAGAT', 'action': 'side-panel-state', 'object': 'showing tutorial panel 2', 'worker-id': 'A3A7XE8L9Q1WZF'}
1625105499.119319,A3A7XE8L9Q1WZF,{'stage': 'SAGAT', 'action': 'side-panel-click', 'object': 'next button tutorial 1', 'worker-id': 'A3A7XE8L9Q1WZF'}
1625105500.859505,A3A7XE8L9Q1WZF,{'stage': 'SAGAT', 'action': 'side-panel-state', 'object': 'showing tutorial panel 3', 'worker-id': 'A3A7XE8L9Q1WZF'}
1625105500.858495,A3A7XE8L9Q1WZF,{'stage': 'SAGAT', 'action': 'side-panel-state', 'object': 'showing sagat questions', 'worker-id': 'A3A7XE8L9Q1WZF'}
1625105500.860434,A3A7XE8L9Q1WZF,{'stage': 'SAGAT', 'action': 'side-panel-click', 'object': 'next button tutorial 2', 'worker-id': 'A3A7XE8L9Q1WZF'}
1625105502.702751,A3A7XE8L9Q1WZF,{'stage': 'SAGAT', 'action': 'side-panel-state', 'object': 'showing introduction', 'worker-id': 'A3A7XE8L9Q1WZF'}
1625105502.704708,A3A7XE8L9Q1WZF,{'stage': 'SAGAT', 'action': 'side-panel-click', 'object': 'next button tutorial 3', 'worker-id': 'A3A7XE8L9Q1WZF'}
1625105504.949769,A3A7XE8L9Q1WZF,{'stage': 'SAGAT', 'action': 'side-panel-click', 'object': 'next button introduction', 'worker-id': 'A3A7XE8L9Q1WZF'}
1625105504.950466,A3A7XE8L9Q1WZF,{'stage': 'SAGAT', 'action': 'side-panel-state', 'object': 'showing information panel', 'worker-id': 'A3A7XE8L9Q1WZF'}
1625105506.590044,A3A7XE8L9Q1WZF,{'stage': 'SAGAT', 'action': 'side-panel-state', 'object': 'showing information panel', 'worker-id': 'A3A7XE8L9Q1WZF'}
1625105506.590611,A3A7XE8L9Q1WZF,{'stage': 'SAGAT', 'action': 'side-panel-click', 'object': 'next button information', 'worker-id': 'A3A7XE8L9Q1WZF'}
1625105536.589232,A3A7XE8L9Q1WZF,{'stage': 'SAGAT', 'action': 'side-panel-state', 'object': 'showing sagat questions', 'worker-id': 'A3A7XE8L9Q1WZF'}
1625105538.957938,A3A7XE8L9Q1WZF,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '10', 'worker-id': 'A3A7XE8L9Q1WZF'}
1625105539.531243,A3A7XE8L9Q1WZF,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '10', 'worker-id': 'A3A7XE8L9Q1WZF'}
1625105540.485073,A3A7XE8L9Q1WZF,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '10', 'worker-id': 'A3A7XE8L9Q1WZF'}
1625105541.74363,A3A7XE8L9Q1WZF,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '10', 'worker-id': 'A3A7XE8L9Q1WZF'}
1625105542.428268,A3A7XE8L9Q1WZF,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '10', 'worker-id': 'A3A7XE8L9Q1WZF'}
1625105543.560691,A3A7XE8L9Q1WZF,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '11', 'worker-id': 'A3A7XE8L9Q1WZF'}
1625105544.1779,A3A7XE8L9Q1WZF,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '12', 'worker-id': 'A3A7XE8L9Q1WZF'}
1625105545.190092,A3A7XE8L9Q1WZF,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '13', 'worker-id': 'A3A7XE8L9Q1WZF'}
1625105545.705293,A3A7XE8L9Q1WZF,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '14', 'worker-id': 'A3A7XE8L9Q1WZF'}
1625105546.423568,A3A7XE8L9Q1WZF,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '15', 'worker-id': 'A3A7XE8L9Q1WZF'}
1625105546.935818,A3A7XE8L9Q1WZF,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '16', 'worker-id': 'A3A7XE8L9Q1WZF'}
1625105547.603466,A3A7XE8L9Q1WZF,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '9', 'worker-id': 'A3A7XE8L9Q1WZF'}
1625105548.263139,A3A7XE8L9Q1WZF,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '8', 'worker-id': 'A3A7XE8L9Q1WZF'}
1625105548.778959,A3A7XE8L9Q1WZF,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '7', 'worker-id': 'A3A7XE8L9Q1WZF'}
1625105549.393676,A3A7XE8L9Q1WZF,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '2', 'worker-id': 'A3A7XE8L9Q1WZF'}
1625105550.623621,A3A7XE8L9Q1WZF,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '1', 'worker-id': 'A3A7XE8L9Q1WZF'}
1625105551.238267,A3A7XE8L9Q1WZF,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '6', 'worker-id': 'A3A7XE8L9Q1WZF'}
1625105551.689359,A3A7XE8L9Q1WZF,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '5', 'worker-id': 'A3A7XE8L9Q1WZF'}
1625105552.770593,A3A7XE8L9Q1WZF,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '4', 'worker-id': 'A3A7XE8L9Q1WZF'}
1625105553.485022,A3A7XE8L9Q1WZF,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '3', 'worker-id': 'A3A7XE8L9Q1WZF'}
1625105553.793175,A3A7XE8L9Q1WZF,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '0', 'worker-id': 'A3A7XE8L9Q1WZF'}
1625105556.457145,A3A7XE8L9Q1WZF,{'stage': 'SAGAT', 'action': 'side-panel-click', 'object': 'next button sagat questions', 'worker-id': 'A3A7XE8L9Q1WZF'}
1625105556.458087,A3A7XE8L9Q1WZF,{'stage': 'SAGAT', 'action': 'side-panel-state', 'object': 'showing information panel', 'worker-id': 'A3A7XE8L9Q1WZF'}
1625105586.26143,A3A7XE8L9Q1WZF,{'stage': 'SAGAT', 'action': 'side-panel-state', 'object': 'showing sagat questions', 'worker-id': 'A3A7XE8L9Q1WZF'}
1625105602.846452,A3A7XE8L9Q1WZF,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '10', 'worker-id': 'A3A7XE8L9Q1WZF'}
1625105604.383152,A3A7XE8L9Q1WZF,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '11', 'worker-id': 'A3A7XE8L9Q1WZF'}
1625105605.301607,A3A7XE8L9Q1WZF,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '3', 'worker-id': 'A3A7XE8L9Q1WZF'}
1625105605.919654,A3A7XE8L9Q1WZF,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '4', 'worker-id': 'A3A7XE8L9Q1WZF'}
1625105606.534758,A3A7XE8L9Q1WZF,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '0', 'worker-id': 'A3A7XE8L9Q1WZF'}
1625105607.452334,A3A7XE8L9Q1WZF,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '1', 'worker-id': 'A3A7XE8L9Q1WZF'}
1625105608.377088,A3A7XE8L9Q1WZF,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '12', 'worker-id': 'A3A7XE8L9Q1WZF'}
1625105608.985153,A3A7XE8L9Q1WZF,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '5', 'worker-id': 'A3A7XE8L9Q1WZF'}
1625105609.496294,A3A7XE8L9Q1WZF,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '6', 'worker-id': 'A3A7XE8L9Q1WZF'}
1625105610.679355,A3A7XE8L9Q1WZF,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '11', 'worker-id': 'A3A7XE8L9Q1WZF'}
1625105611.751485,A3A7XE8L9Q1WZF,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '11', 'worker-id': 'A3A7XE8L9Q1WZF'}
1625105613.290616,A3A7XE8L9Q1WZF,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '13', 'worker-id': 'A3A7XE8L9Q1WZF'}
1625105613.902964,A3A7XE8L9Q1WZF,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '14', 'worker-id': 'A3A7XE8L9Q1WZF'}
1625105614.517846,A3A7XE8L9Q1WZF,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '7', 'worker-id': 'A3A7XE8L9Q1WZF'}
1625105615.131459,A3A7XE8L9Q1WZF,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '8', 'worker-id': 'A3A7XE8L9Q1WZF'}
1625105615.338355,A3A7XE8L9Q1WZF,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '9', 'worker-id': 'A3A7XE8L9Q1WZF'}
1625105616.053084,A3A7XE8L9Q1WZF,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '15', 'worker-id': 'A3A7XE8L9Q1WZF'}
1625105616.364083,A3A7XE8L9Q1WZF,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '16', 'worker-id': 'A3A7XE8L9Q1WZF'}
1625105617.284458,A3A7XE8L9Q1WZF,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '2', 'worker-id': 'A3A7XE8L9Q1WZF'}
1625105618.609793,A3A7XE8L9Q1WZF,{'stage': 'SAGAT', 'action': 'side-panel-click', 'object': 'next button sagat questions', 'worker-id': 'A3A7XE8L9Q1WZF'}
1625105618.611173,A3A7XE8L9Q1WZF,{'stage': 'SAGAT', 'action': 'side-panel-state', 'object': 'showing information panel', 'worker-id': 'A3A7XE8L9Q1WZF'}
1625105648.310573,A3A7XE8L9Q1WZF,{'stage': 'SAGAT', 'action': 'side-panel-state', 'object': 'showing sagat questions', 'worker-id': 'A3A7XE8L9Q1WZF'}
1625105649.847826,A3A7XE8L9Q1WZF,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '10', 'worker-id': 'A3A7XE8L9Q1WZF'}
1625105650.765449,A3A7XE8L9Q1WZF,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '11', 'worker-id': 'A3A7XE8L9Q1WZF'}
1625105651.088962,A3A7XE8L9Q1WZF,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '11', 'worker-id': 'A3A7XE8L9Q1WZF'}
1625105651.992132,A3A7XE8L9Q1WZF,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '11', 'worker-id': 'A3A7XE8L9Q1WZF'}
1625105652.924043,A3A7XE8L9Q1WZF,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '12', 'worker-id': 'A3A7XE8L9Q1WZF'}
1625105654.454004,A3A7XE8L9Q1WZF,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '4', 'worker-id': 'A3A7XE8L9Q1WZF'}
1625105655.684453,A3A7XE8L9Q1WZF,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '3', 'worker-id': 'A3A7XE8L9Q1WZF'}
1625105656.612282,A3A7XE8L9Q1WZF,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '13', 'worker-id': 'A3A7XE8L9Q1WZF'}
1625105657.584553,A3A7XE8L9Q1WZF,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '5', 'worker-id': 'A3A7XE8L9Q1WZF'}
1625105660.595314,A3A7XE8L9Q1WZF,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '6', 'worker-id': 'A3A7XE8L9Q1WZF'}
