
1625189680.143596,A3CW3HM9HVNVK,{'stage': 'portal', 'action': 'opened-portal', 'worker-id': 'A3CW3HM9HVNVK'}
1625189684.47996,A3CW3HM9HVNVK,{'stage': 'tutorial', 'action': 'opened-tutorial', 'worker-id': 'A3CW3HM9HVNVK'}
1625189710.910044,A3CW3HM9HVNVK,{'stage': 'portal', 'action': 'opened-portal', 'worker-id': 'A3CW3HM9HVNVK'}
1625189713.692759,A3CW3HM9HVNVK,{'stage': 'SAGAT', 'action': 'side-panel-state', 'object': 'showing tutorial panel 1', 'worker-id': 'A3CW3HM9HVNVK'}
1625189737.00423,A3CW3HM9HVNVK,{'stage': 'SAGAT', 'action': 'side-panel-click', 'object': 'next button tutorial 1', 'worker-id': 'A3CW3HM9HVNVK'}
1625189737.003546,A3CW3HM9HVNVK,{'stage': 'SAGAT', 'action': 'side-panel-state', 'object': 'showing tutorial panel 2', 'worker-id': 'A3CW3HM9HVNVK'}
1625189801.36136,A3CW3HM9HVNVK,{'stage': 'SAGAT', 'action': 'side-panel-state', 'object': 'showing sagat questions', 'worker-id': 'A3CW3HM9HVNVK'}
1625189801.363053,A3CW3HM9HVNVK,{'stage': 'SAGAT', 'action': 'side-panel-click', 'object': 'next button tutorial 2', 'worker-id': 'A3CW3HM9HVNVK'}
1625189801.400254,A3CW3HM9HVNVK,{'stage': 'SAGAT', 'action': 'side-panel-state', 'object': 'showing tutorial panel 3', 'worker-id': 'A3CW3HM9HVNVK'}
1625189812.268504,A3CW3HM9HVNVK,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '2', 'worker-id': 'A3CW3HM9HVNVK'}
1625189812.890324,A3CW3HM9HVNVK,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '2', 'worker-id': 'A3CW3HM9HVNVK'}
1625189813.186289,A3CW3HM9HVNVK,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '2', 'worker-id': 'A3CW3HM9HVNVK'}
1625189813.801844,A3CW3HM9HVNVK,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '2', 'worker-id': 'A3CW3HM9HVNVK'}
1625189815.274743,A3CW3HM9HVNVK,{'stage': 'SAGAT', 'action': 'side-panel-click', 'object': 'next button tutorial 3', 'worker-id': 'A3CW3HM9HVNVK'}
1625189815.284692,A3CW3HM9HVNVK,{'stage': 'SAGAT', 'action': 'side-panel-state', 'object': 'showing introduction', 'worker-id': 'A3CW3HM9HVNVK'}
1625189822.715276,A3CW3HM9HVNVK,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '9', 'worker-id': 'A3CW3HM9HVNVK'}
