
1617479828.068962,A3N4L5F7CEY0B2,{'stage': 'portal', 'action': 'opened-portal', 'worker-id': 'A3N4L5F7CEY0B2'}
1617479848.730172,A3N4L5F7CEY0B2,{'stage': 'tutorial', 'action': 'opened-tutorial', 'worker-id': 'A3N4L5F7CEY0B2'}
1617479882.282707,A3N4L5F7CEY0B2,{'stage': 'portal', 'action': 'opened-portal', 'worker-id': 'A3N4L5F7CEY0B2'}
1617479890.637234,A3N4L5F7CEY0B2,{'stage': 'SAGAT', 'action': 'side-panel-state', 'object': 'showing tutorial panel 1', 'worker-id': 'A3N4L5F7CEY0B2'}
1617479977.245068,A3N4L5F7CEY0B2,{'stage': 'SAGAT', 'action': 'side-panel-state', 'object': 'showing tutorial panel 2', 'worker-id': 'A3N4L5F7CEY0B2'}
1617479977.243099,A3N4L5F7CEY0B2,{'stage': 'SAGAT', 'action': 'side-panel-click', 'object': 'next button tutorial 1', 'worker-id': 'A3N4L5F7CEY0B2'}
1617480078.750635,A3N4L5F7CEY0B2,{'stage': 'SAGAT', 'action': 'side-panel-state', 'object': 'showing sagat questions', 'worker-id': 'A3N4L5F7CEY0B2'}
1617480078.758183,A3N4L5F7CEY0B2,{'stage': 'SAGAT', 'action': 'side-panel-state', 'object': 'showing tutorial panel 3', 'worker-id': 'A3N4L5F7CEY0B2'}
1617480078.774166,A3N4L5F7CEY0B2,{'stage': 'SAGAT', 'action': 'side-panel-click', 'object': 'next button tutorial 2', 'worker-id': 'A3N4L5F7CEY0B2'}
1617480091.067167,A3N4L5F7CEY0B2,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '0', 'worker-id': 'A3N4L5F7CEY0B2'}
1617480091.518663,A3N4L5F7CEY0B2,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '0', 'worker-id': 'A3N4L5F7CEY0B2'}
1617480092.008654,A3N4L5F7CEY0B2,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '0', 'worker-id': 'A3N4L5F7CEY0B2'}
1617480092.712323,A3N4L5F7CEY0B2,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '0', 'worker-id': 'A3N4L5F7CEY0B2'}
1617480093.468775,A3N4L5F7CEY0B2,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '0', 'worker-id': 'A3N4L5F7CEY0B2'}
1617480093.644692,A3N4L5F7CEY0B2,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '0', 'worker-id': 'A3N4L5F7CEY0B2'}
1617480094.516949,A3N4L5F7CEY0B2,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '1', 'worker-id': 'A3N4L5F7CEY0B2'}
1617480095.55882,A3N4L5F7CEY0B2,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '2', 'worker-id': 'A3N4L5F7CEY0B2'}
1617480095.863524,A3N4L5F7CEY0B2,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '2', 'worker-id': 'A3N4L5F7CEY0B2'}
1617480096.392966,A3N4L5F7CEY0B2,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '2', 'worker-id': 'A3N4L5F7CEY0B2'}
1617480097.019783,A3N4L5F7CEY0B2,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '2', 'worker-id': 'A3N4L5F7CEY0B2'}
1617480097.370602,A3N4L5F7CEY0B2,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '2', 'worker-id': 'A3N4L5F7CEY0B2'}
1617480097.648288,A3N4L5F7CEY0B2,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '2', 'worker-id': 'A3N4L5F7CEY0B2'}
1617480097.962001,A3N4L5F7CEY0B2,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '2', 'worker-id': 'A3N4L5F7CEY0B2'}
1617480109.029898,A3N4L5F7CEY0B2,{'stage': 'SAGAT', 'action': 'side-panel-click', 'object': 'next button tutorial 3', 'worker-id': 'A3N4L5F7CEY0B2'}
1617480109.030648,A3N4L5F7CEY0B2,{'stage': 'SAGAT', 'action': 'side-panel-state', 'object': 'showing introduction', 'worker-id': 'A3N4L5F7CEY0B2'}
1617480135.947813,A3N4L5F7CEY0B2,{'stage': 'SAGAT', 'action': 'side-panel-click', 'object': 'next button introduction', 'worker-id': 'A3N4L5F7CEY0B2'}
1617480135.955823,A3N4L5F7CEY0B2,{'stage': 'SAGAT', 'action': 'side-panel-state', 'object': 'showing information panel', 'worker-id': 'A3N4L5F7CEY0B2'}
1617480173.164419,A3N4L5F7CEY0B2,{'stage': 'SAGAT', 'action': 'side-panel-click', 'object': 'next button information', 'worker-id': 'A3N4L5F7CEY0B2'}
1617480173.166444,A3N4L5F7CEY0B2,{'stage': 'SAGAT', 'action': 'side-panel-state', 'object': 'showing information panel', 'worker-id': 'A3N4L5F7CEY0B2'}
1617480203.071122,A3N4L5F7CEY0B2,{'stage': 'SAGAT', 'action': 'side-panel-state', 'object': 'showing sagat questions', 'worker-id': 'A3N4L5F7CEY0B2'}
1617480225.38972,A3N4L5F7CEY0B2,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '2', 'worker-id': 'A3N4L5F7CEY0B2'}
1617480225.704813,A3N4L5F7CEY0B2,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '2', 'worker-id': 'A3N4L5F7CEY0B2'}
1617480228.9652,A3N4L5F7CEY0B2,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '2', 'worker-id': 'A3N4L5F7CEY0B2'}
1617480234.896047,A3N4L5F7CEY0B2,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '2', 'worker-id': 'A3N4L5F7CEY0B2'}
1617480235.311808,A3N4L5F7CEY0B2,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '2', 'worker-id': 'A3N4L5F7CEY0B2'}
1617480235.520946,A3N4L5F7CEY0B2,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '2', 'worker-id': 'A3N4L5F7CEY0B2'}
1617480235.939799,A3N4L5F7CEY0B2,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '2', 'worker-id': 'A3N4L5F7CEY0B2'}
1617480236.210128,A3N4L5F7CEY0B2,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '2', 'worker-id': 'A3N4L5F7CEY0B2'}
1617480236.669644,A3N4L5F7CEY0B2,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '2', 'worker-id': 'A3N4L5F7CEY0B2'}
1617480236.769764,A3N4L5F7CEY0B2,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '2', 'worker-id': 'A3N4L5F7CEY0B2'}
1617480236.982773,A3N4L5F7CEY0B2,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '2', 'worker-id': 'A3N4L5F7CEY0B2'}
1617480242.841119,A3N4L5F7CEY0B2,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '2', 'worker-id': 'A3N4L5F7CEY0B2'}
1617480243.249659,A3N4L5F7CEY0B2,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '2', 'worker-id': 'A3N4L5F7CEY0B2'}
1617480244.121498,A3N4L5F7CEY0B2,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '1', 'worker-id': 'A3N4L5F7CEY0B2'}
1617480245.025673,A3N4L5F7CEY0B2,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '0', 'worker-id': 'A3N4L5F7CEY0B2'}
1617480247.009961,A3N4L5F7CEY0B2,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '11', 'worker-id': 'A3N4L5F7CEY0B2'}
1617480247.428564,A3N4L5F7CEY0B2,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '11', 'worker-id': 'A3N4L5F7CEY0B2'}
1617480247.845488,A3N4L5F7CEY0B2,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '11', 'worker-id': 'A3N4L5F7CEY0B2'}
1617480250.038761,A3N4L5F7CEY0B2,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '10', 'worker-id': 'A3N4L5F7CEY0B2'}
1617480250.168223,A3N4L5F7CEY0B2,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '10', 'worker-id': 'A3N4L5F7CEY0B2'}
1617480250.667954,A3N4L5F7CEY0B2,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '10', 'worker-id': 'A3N4L5F7CEY0B2'}
1617480251.084332,A3N4L5F7CEY0B2,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '10', 'worker-id': 'A3N4L5F7CEY0B2'}
1617480251.397344,A3N4L5F7CEY0B2,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '10', 'worker-id': 'A3N4L5F7CEY0B2'}
1617480252.23246,A3N4L5F7CEY0B2,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '3', 'worker-id': 'A3N4L5F7CEY0B2'}
1617480252.345994,A3N4L5F7CEY0B2,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '3', 'worker-id': 'A3N4L5F7CEY0B2'}
1617480252.860626,A3N4L5F7CEY0B2,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '3', 'worker-id': 'A3N4L5F7CEY0B2'}
1617480253.260934,A3N4L5F7CEY0B2,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '3', 'worker-id': 'A3N4L5F7CEY0B2'}
1617480253.903744,A3N4L5F7CEY0B2,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '3', 'worker-id': 'A3N4L5F7CEY0B2'}
1617480254.530504,A3N4L5F7CEY0B2,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '3', 'worker-id': 'A3N4L5F7CEY0B2'}
1617480255.679554,A3N4L5F7CEY0B2,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '3', 'worker-id': 'A3N4L5F7CEY0B2'}
1617480256.327145,A3N4L5F7CEY0B2,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '3', 'worker-id': 'A3N4L5F7CEY0B2'}
1617480256.933101,A3N4L5F7CEY0B2,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '3', 'worker-id': 'A3N4L5F7CEY0B2'}
1617480257.58182,A3N4L5F7CEY0B2,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '4', 'worker-id': 'A3N4L5F7CEY0B2'}
1617480257.977037,A3N4L5F7CEY0B2,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '4', 'worker-id': 'A3N4L5F7CEY0B2'}
1617480258.396132,A3N4L5F7CEY0B2,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '4', 'worker-id': 'A3N4L5F7CEY0B2'}
1617480259.858001,A3N4L5F7CEY0B2,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '12', 'worker-id': 'A3N4L5F7CEY0B2'}
1617480260.275448,A3N4L5F7CEY0B2,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '12', 'worker-id': 'A3N4L5F7CEY0B2'}
1617480260.376631,A3N4L5F7CEY0B2,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '12', 'worker-id': 'A3N4L5F7CEY0B2'}
1617480260.582871,A3N4L5F7CEY0B2,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '12', 'worker-id': 'A3N4L5F7CEY0B2'}
1617480260.938608,A3N4L5F7CEY0B2,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '12', 'worker-id': 'A3N4L5F7CEY0B2'}
1617480261.633351,A3N4L5F7CEY0B2,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '13', 'worker-id': 'A3N4L5F7CEY0B2'}
1617480261.844687,A3N4L5F7CEY0B2,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '13', 'worker-id': 'A3N4L5F7CEY0B2'}
1617480262.155387,A3N4L5F7CEY0B2,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '13', 'worker-id': 'A3N4L5F7CEY0B2'}
1617480262.309555,A3N4L5F7CEY0B2,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '13', 'worker-id': 'A3N4L5F7CEY0B2'}
1617480262.573698,A3N4L5F7CEY0B2,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '13', 'worker-id': 'A3N4L5F7CEY0B2'}
1617480267.586825,A3N4L5F7CEY0B2,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '14', 'worker-id': 'A3N4L5F7CEY0B2'}
1617480269.7796,A3N4L5F7CEY0B2,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '15', 'worker-id': 'A3N4L5F7CEY0B2'}
1617480272.286525,A3N4L5F7CEY0B2,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '16', 'worker-id': 'A3N4L5F7CEY0B2'}
1617480274.126121,A3N4L5F7CEY0B2,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '9', 'worker-id': 'A3N4L5F7CEY0B2'}
1617480274.481409,A3N4L5F7CEY0B2,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '9', 'worker-id': 'A3N4L5F7CEY0B2'}
1617480275.106828,A3N4L5F7CEY0B2,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '9', 'worker-id': 'A3N4L5F7CEY0B2'}
1617480280.37572,A3N4L5F7CEY0B2,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '8', 'worker-id': 'A3N4L5F7CEY0B2'}
1617480282.861442,A3N4L5F7CEY0B2,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '7', 'worker-id': 'A3N4L5F7CEY0B2'}
1617480284.925384,A3N4L5F7CEY0B2,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '6', 'worker-id': 'A3N4L5F7CEY0B2'}
1617480286.252097,A3N4L5F7CEY0B2,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '6', 'worker-id': 'A3N4L5F7CEY0B2'}
1617480287.014976,A3N4L5F7CEY0B2,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '6', 'worker-id': 'A3N4L5F7CEY0B2'}
1617480287.536811,A3N4L5F7CEY0B2,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '5', 'worker-id': 'A3N4L5F7CEY0B2'}
1617480287.954117,A3N4L5F7CEY0B2,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '5', 'worker-id': 'A3N4L5F7CEY0B2'}
1617480288.267429,A3N4L5F7CEY0B2,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '5', 'worker-id': 'A3N4L5F7CEY0B2'}
1617480288.425424,A3N4L5F7CEY0B2,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '5', 'worker-id': 'A3N4L5F7CEY0B2'}
1617480288.894539,A3N4L5F7CEY0B2,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '5', 'worker-id': 'A3N4L5F7CEY0B2'}
1617480291.477206,A3N4L5F7CEY0B2,{'stage': 'SAGAT', 'action': 'side-panel-state', 'object': 'showing misunderstanding panel', 'worker-id': 'A3N4L5F7CEY0B2'}
1617480291.479035,A3N4L5F7CEY0B2,{'stage': 'SAGAT', 'action': 'side-panel-click', 'object': 'next button sagat questions', 'worker-id': 'A3N4L5F7CEY0B2'}
1617480303.622173,A3N4L5F7CEY0B2,{'stage': 'SAGAT', 'action': 'side-panel-state', 'object': 'showing sagat questions', 'worker-id': 'A3N4L5F7CEY0B2'}
1617480303.624805,A3N4L5F7CEY0B2,{'stage': 'SAGAT', 'action': 'side-panel-click', 'object': 'next button misunderstanding panel', 'worker-id': 'A3N4L5F7CEY0B2'}
1617480304.457074,A3N4L5F7CEY0B2,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '9', 'worker-id': 'A3N4L5F7CEY0B2'}
1617480304.874906,A3N4L5F7CEY0B2,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '9', 'worker-id': 'A3N4L5F7CEY0B2'}
1617480305.81505,A3N4L5F7CEY0B2,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '6', 'worker-id': 'A3N4L5F7CEY0B2'}
1617480306.235398,A3N4L5F7CEY0B2,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '6', 'worker-id': 'A3N4L5F7CEY0B2'}
1617480306.966138,A3N4L5F7CEY0B2,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '4', 'worker-id': 'A3N4L5F7CEY0B2'}
1617480307.382032,A3N4L5F7CEY0B2,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '4', 'worker-id': 'A3N4L5F7CEY0B2'}
1617480308.026548,A3N4L5F7CEY0B2,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '11', 'worker-id': 'A3N4L5F7CEY0B2'}
1617480308.354661,A3N4L5F7CEY0B2,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '11', 'worker-id': 'A3N4L5F7CEY0B2'}
1617480310.725108,A3N4L5F7CEY0B2,{'stage': 'SAGAT', 'action': 'side-panel-click', 'object': 'next button sagat questions', 'worker-id': 'A3N4L5F7CEY0B2'}
1617480310.727194,A3N4L5F7CEY0B2,{'stage': 'SAGAT', 'action': 'side-panel-state', 'object': 'showing information panel', 'worker-id': 'A3N4L5F7CEY0B2'}
1617480340.714559,A3N4L5F7CEY0B2,{'stage': 'SAGAT', 'action': 'side-panel-state', 'object': 'showing sagat questions', 'worker-id': 'A3N4L5F7CEY0B2'}
1617480342.164785,A3N4L5F7CEY0B2,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '11', 'worker-id': 'A3N4L5F7CEY0B2'}
1617480346.759765,A3N4L5F7CEY0B2,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '11', 'worker-id': 'A3N4L5F7CEY0B2'}
1617480347.179086,A3N4L5F7CEY0B2,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '11', 'worker-id': 'A3N4L5F7CEY0B2'}
1617480348.744791,A3N4L5F7CEY0B2,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '13', 'worker-id': 'A3N4L5F7CEY0B2'}
1617480349.474995,A3N4L5F7CEY0B2,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '13', 'worker-id': 'A3N4L5F7CEY0B2'}
1617480350.519931,A3N4L5F7CEY0B2,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '13', 'worker-id': 'A3N4L5F7CEY0B2'}
1617480351.773286,A3N4L5F7CEY0B2,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '10', 'worker-id': 'A3N4L5F7CEY0B2'}
1617480352.922074,A3N4L5F7CEY0B2,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '3', 'worker-id': 'A3N4L5F7CEY0B2'}
1617480353.339984,A3N4L5F7CEY0B2,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '4', 'worker-id': 'A3N4L5F7CEY0B2'}
1617480353.967675,A3N4L5F7CEY0B2,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '0', 'worker-id': 'A3N4L5F7CEY0B2'}
1617480355.116384,A3N4L5F7CEY0B2,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '1', 'worker-id': 'A3N4L5F7CEY0B2'}
1617480355.743193,A3N4L5F7CEY0B2,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '2', 'worker-id': 'A3N4L5F7CEY0B2'}
1617480360.651732,A3N4L5F7CEY0B2,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '9', 'worker-id': 'A3N4L5F7CEY0B2'}
1617480363.262935,A3N4L5F7CEY0B2,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '7', 'worker-id': 'A3N4L5F7CEY0B2'}
1617480363.577341,A3N4L5F7CEY0B2,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '8', 'worker-id': 'A3N4L5F7CEY0B2'}
1617480364.097926,A3N4L5F7CEY0B2,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '6', 'worker-id': 'A3N4L5F7CEY0B2'}
1617480364.725999,A3N4L5F7CEY0B2,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '5', 'worker-id': 'A3N4L5F7CEY0B2'}
1617480371.205349,A3N4L5F7CEY0B2,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '2', 'worker-id': 'A3N4L5F7CEY0B2'}
1617480371.514209,A3N4L5F7CEY0B2,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '2', 'worker-id': 'A3N4L5F7CEY0B2'}
1617480377.575707,A3N4L5F7CEY0B2,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '7', 'worker-id': 'A3N4L5F7CEY0B2'}
1617480377.88564,A3N4L5F7CEY0B2,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '7', 'worker-id': 'A3N4L5F7CEY0B2'}
1617480378.408093,A3N4L5F7CEY0B2,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '7', 'worker-id': 'A3N4L5F7CEY0B2'}
1617480379.870212,A3N4L5F7CEY0B2,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '12', 'worker-id': 'A3N4L5F7CEY0B2'}
1617480382.303562,A3N4L5F7CEY0B2,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '12', 'worker-id': 'A3N4L5F7CEY0B2'}
1617480383.108322,A3N4L5F7CEY0B2,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '12', 'worker-id': 'A3N4L5F7CEY0B2'}
1617480383.943827,A3N4L5F7CEY0B2,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '12', 'worker-id': 'A3N4L5F7CEY0B2'}
1617480384.361491,A3N4L5F7CEY0B2,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '12', 'worker-id': 'A3N4L5F7CEY0B2'}
1617480385.093198,A3N4L5F7CEY0B2,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '14', 'worker-id': 'A3N4L5F7CEY0B2'}
1617480385.614672,A3N4L5F7CEY0B2,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '15', 'worker-id': 'A3N4L5F7CEY0B2'}
