
1624835234.347488,A3N66DKF3VNB9X,{'stage': 'portal', 'action': 'opened-portal', 'worker-id': 'A3N66DKF3VNB9X'}
1624835256.16524,A3N66DKF3VNB9X,{'stage': 'tutorial', 'action': 'opened-tutorial', 'worker-id': 'A3N66DKF3VNB9X'}
1624835293.026742,A3N66DKF3VNB9X,{'stage': 'portal', 'action': 'opened-portal', 'worker-id': 'A3N66DKF3VNB9X'}
1624835298.555592,A3N66DKF3VNB9X,{'stage': 'SAGAT', 'action': 'side-panel-state', 'object': 'showing tutorial panel 1', 'worker-id': 'A3N66DKF3VNB9X'}
1624835355.083064,A3N66DKF3VNB9X,{'stage': 'SAGAT', 'action': 'side-panel-state', 'object': 'showing tutorial panel 2', 'worker-id': 'A3N66DKF3VNB9X'}
1624835355.085136,A3N66DKF3VNB9X,{'stage': 'SAGAT', 'action': 'side-panel-click', 'object': 'next button tutorial 1', 'worker-id': 'A3N66DKF3VNB9X'}
1624835434.035434,A3N66DKF3VNB9X,{'stage': 'SAGAT', 'action': 'side-panel-state', 'object': 'showing sagat questions', 'worker-id': 'A3N66DKF3VNB9X'}
1624835434.03676,A3N66DKF3VNB9X,{'stage': 'SAGAT', 'action': 'side-panel-click', 'object': 'next button tutorial 2', 'worker-id': 'A3N66DKF3VNB9X'}
1624835434.130241,A3N66DKF3VNB9X,{'stage': 'SAGAT', 'action': 'side-panel-state', 'object': 'showing tutorial panel 3', 'worker-id': 'A3N66DKF3VNB9X'}
1624835447.648787,A3N66DKF3VNB9X,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '1', 'worker-id': 'A3N66DKF3VNB9X'}
1624835449.087304,A3N66DKF3VNB9X,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '2', 'worker-id': 'A3N66DKF3VNB9X'}
1624835450.011581,A3N66DKF3VNB9X,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '0', 'worker-id': 'A3N66DKF3VNB9X'}
1624835451.854198,A3N66DKF3VNB9X,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '1', 'worker-id': 'A3N66DKF3VNB9X'}
1624835452.482065,A3N66DKF3VNB9X,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '2', 'worker-id': 'A3N66DKF3VNB9X'}
1624835453.386223,A3N66DKF3VNB9X,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '0', 'worker-id': 'A3N66DKF3VNB9X'}
1624835454.30674,A3N66DKF3VNB9X,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '1', 'worker-id': 'A3N66DKF3VNB9X'}
1624835454.826711,A3N66DKF3VNB9X,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '2', 'worker-id': 'A3N66DKF3VNB9X'}
1624835455.539768,A3N66DKF3VNB9X,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '0', 'worker-id': 'A3N66DKF3VNB9X'}
1624835458.562131,A3N66DKF3VNB9X,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '1', 'worker-id': 'A3N66DKF3VNB9X'}
1624835459.53005,A3N66DKF3VNB9X,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '2', 'worker-id': 'A3N66DKF3VNB9X'}
1624835459.730628,A3N66DKF3VNB9X,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '0', 'worker-id': 'A3N66DKF3VNB9X'}
1624835465.264836,A3N66DKF3VNB9X,{'stage': 'SAGAT', 'action': 'side-panel-state', 'object': 'showing introduction', 'worker-id': 'A3N66DKF3VNB9X'}
1624835465.265984,A3N66DKF3VNB9X,{'stage': 'SAGAT', 'action': 'side-panel-click', 'object': 'next button tutorial 3', 'worker-id': 'A3N66DKF3VNB9X'}
1624835485.060606,A3N66DKF3VNB9X,{'stage': 'SAGAT', 'action': 'side-panel-click', 'object': 'next button introduction', 'worker-id': 'A3N66DKF3VNB9X'}
