
1624729275.929602,A6E3QAJIQOFBQ,{'stage': 'portal', 'action': 'opened-portal', 'worker-id': 'A6E3QAJIQOFBQ'}
1624729333.41262,A6E3QAJIQOFBQ,{'stage': 'portal', 'action': 'opened-portal', 'worker-id': 'A6E3QAJIQOFBQ'}
1624729464.501251,A6E3QAJIQOFBQ,{'stage': 'SAGAT', 'action': 'side-panel-state', 'object': 'showing tutorial panel 1', 'worker-id': 'A6E3QAJIQOFBQ'}
1624729497.754966,A6E3QAJIQOFBQ,{'stage': 'SAGAT', 'action': 'side-panel-click', 'object': 'next button tutorial 1', 'worker-id': 'A6E3QAJIQOFBQ'}
1624729497.755792,A6E3QAJIQOFBQ,{'stage': 'SAGAT', 'action': 'side-panel-state', 'object': 'showing tutorial panel 2', 'worker-id': 'A6E3QAJIQOFBQ'}
1624729523.250122,A6E3QAJIQOFBQ,{'stage': 'SAGAT', 'action': 'side-panel-click', 'object': 'next button tutorial 2', 'worker-id': 'A6E3QAJIQOFBQ'}
1624729523.254862,A6E3QAJIQOFBQ,{'stage': 'SAGAT', 'action': 'side-panel-state', 'object': 'showing sagat questions', 'worker-id': 'A6E3QAJIQOFBQ'}
1624729523.25579,A6E3QAJIQOFBQ,{'stage': 'SAGAT', 'action': 'side-panel-state', 'object': 'showing tutorial panel 3', 'worker-id': 'A6E3QAJIQOFBQ'}
1624729536.461425,A6E3QAJIQOFBQ,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '1', 'worker-id': 'A6E3QAJIQOFBQ'}
1624729550.596122,A6E3QAJIQOFBQ,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '2', 'worker-id': 'A6E3QAJIQOFBQ'}
1624729550.90176,A6E3QAJIQOFBQ,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '2', 'worker-id': 'A6E3QAJIQOFBQ'}
1624729551.101826,A6E3QAJIQOFBQ,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '2', 'worker-id': 'A6E3QAJIQOFBQ'}
