
1624904183.72294,AD1FDB9A61LMS,{'stage': 'portal', 'action': 'opened-portal', 'worker-id': 'AD1FDB9A61LMS'}
1624904188.026699,AD1FDB9A61LMS,{'stage': 'tutorial', 'action': 'opened-tutorial', 'worker-id': 'AD1FDB9A61LMS'}
1624904193.147007,AD1FDB9A61LMS,{'stage': 'tutorial', 'action': 'opened-tutorial', 'worker-id': 'AD1FDB9A61LMS'}
1624904213.832539,AD1FDB9A61LMS,{'stage': 'portal', 'action': 'opened-portal', 'worker-id': 'AD1FDB9A61LMS'}
1624904217.826723,AD1FDB9A61LMS,{'stage': 'SAGAT', 'action': 'side-panel-state', 'object': 'showing tutorial panel 1', 'worker-id': 'AD1FDB9A61LMS'}
1624904266.058502,AD1FDB9A61LMS,{'stage': 'SAGAT', 'action': 'side-panel-state', 'object': 'showing tutorial panel 2', 'worker-id': 'AD1FDB9A61LMS'}
1624904266.059107,AD1FDB9A61LMS,{'stage': 'SAGAT', 'action': 'side-panel-click', 'object': 'next button tutorial 1', 'worker-id': 'AD1FDB9A61LMS'}
1624904277.523032,AD1FDB9A61LMS,{'stage': 'SAGAT', 'action': 'side-panel-click', 'object': 'next button tutorial 2', 'worker-id': 'AD1FDB9A61LMS'}
1624904277.526994,AD1FDB9A61LMS,{'stage': 'SAGAT', 'action': 'side-panel-state', 'object': 'showing sagat questions', 'worker-id': 'AD1FDB9A61LMS'}
1624904277.623408,AD1FDB9A61LMS,{'stage': 'SAGAT', 'action': 'side-panel-state', 'object': 'showing tutorial panel 3', 'worker-id': 'AD1FDB9A61LMS'}
1624904285.107953,AD1FDB9A61LMS,{'stage': 'SAGAT', 'action': 'side-panel-state', 'object': 'showing introduction', 'worker-id': 'AD1FDB9A61LMS'}
1624904285.109354,AD1FDB9A61LMS,{'stage': 'SAGAT', 'action': 'side-panel-click', 'object': 'next button tutorial 3', 'worker-id': 'AD1FDB9A61LMS'}
1624904287.257123,AD1FDB9A61LMS,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '1', 'worker-id': 'AD1FDB9A61LMS'}
1624904287.397012,AD1FDB9A61LMS,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '1', 'worker-id': 'AD1FDB9A61LMS'}
1624904289.712,AD1FDB9A61LMS,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '2', 'worker-id': 'AD1FDB9A61LMS'}
1624904290.586944,AD1FDB9A61LMS,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '8', 'worker-id': 'AD1FDB9A61LMS'}
1624904291.554386,AD1FDB9A61LMS,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '7', 'worker-id': 'AD1FDB9A61LMS'}
1624904291.862024,AD1FDB9A61LMS,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '7', 'worker-id': 'AD1FDB9A61LMS'}
1624904292.475746,AD1FDB9A61LMS,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '6', 'worker-id': 'AD1FDB9A61LMS'}
1624904293.089347,AD1FDB9A61LMS,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '5', 'worker-id': 'AD1FDB9A61LMS'}
1624904294.011122,AD1FDB9A61LMS,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '4', 'worker-id': 'AD1FDB9A61LMS'}
1624904294.62473,AD1FDB9A61LMS,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '3', 'worker-id': 'AD1FDB9A61LMS'}
