
1614297879.963968,ALXW2ZXX4SJRO,{'stage': 'portal', 'action': 'opened-portal', 'worker-id': 'ALXW2ZXX4SJRO'}
1614297894.557606,ALXW2ZXX4SJRO,{'stage': 'tutorial', 'action': 'opened-tutorial', 'worker-id': 'ALXW2ZXX4SJRO'}
1614297919.60699,ALXW2ZXX4SJRO,{'stage': 'portal', 'action': 'opened-portal', 'worker-id': 'ALXW2ZXX4SJRO'}
1614297922.17305,ALXW2ZXX4SJRO,{'stage': 'SAGAT', 'action': 'side-panel-state', 'object': 'showing tutorial panel 1', 'worker-id': 'ALXW2ZXX4SJRO'}
1614297950.557886,ALXW2ZXX4SJRO,{'stage': 'SAGAT', 'action': 'side-panel-click', 'object': 'next button tutorial 1', 'worker-id': 'ALXW2ZXX4SJRO'}
1614297950.560286,ALXW2ZXX4SJRO,{'stage': 'SAGAT', 'action': 'side-panel-state', 'object': 'showing tutorial panel 2', 'worker-id': 'ALXW2ZXX4SJRO'}
1614298008.006941,ALXW2ZXX4SJRO,{'stage': 'SAGAT', 'action': 'side-panel-click', 'object': 'next button tutorial 2', 'worker-id': 'ALXW2ZXX4SJRO'}
1614298008.009247,ALXW2ZXX4SJRO,{'stage': 'SAGAT', 'action': 'side-panel-state', 'object': 'showing tutorial panel 3', 'worker-id': 'ALXW2ZXX4SJRO'}
1614298008.012576,ALXW2ZXX4SJRO,{'stage': 'SAGAT', 'action': 'side-panel-state', 'object': 'showing sagat questions', 'worker-id': 'ALXW2ZXX4SJRO'}
1614298017.301773,ALXW2ZXX4SJRO,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '1', 'worker-id': 'ALXW2ZXX4SJRO'}
1614298018.34755,ALXW2ZXX4SJRO,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '2', 'worker-id': 'ALXW2ZXX4SJRO'}
1614298019.181358,ALXW2ZXX4SJRO,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '0', 'worker-id': 'ALXW2ZXX4SJRO'}
1614298021.27232,ALXW2ZXX4SJRO,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '2', 'worker-id': 'ALXW2ZXX4SJRO'}
1614298021.828013,ALXW2ZXX4SJRO,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '2', 'worker-id': 'ALXW2ZXX4SJRO'}
1614298022.523661,ALXW2ZXX4SJRO,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '2', 'worker-id': 'ALXW2ZXX4SJRO'}
1614298023.466844,ALXW2ZXX4SJRO,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '0', 'worker-id': 'ALXW2ZXX4SJRO'}
1614298023.989335,ALXW2ZXX4SJRO,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '0', 'worker-id': 'ALXW2ZXX4SJRO'}
1614298024.300962,ALXW2ZXX4SJRO,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '0', 'worker-id': 'ALXW2ZXX4SJRO'}
1614298024.924716,ALXW2ZXX4SJRO,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '1', 'worker-id': 'ALXW2ZXX4SJRO'}
1614298025.243572,ALXW2ZXX4SJRO,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '1', 'worker-id': 'ALXW2ZXX4SJRO'}
1614298025.763751,ALXW2ZXX4SJRO,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '1', 'worker-id': 'ALXW2ZXX4SJRO'}
1614298027.957281,ALXW2ZXX4SJRO,{'stage': 'SAGAT', 'action': 'side-panel-click', 'object': 'next button tutorial 3', 'worker-id': 'ALXW2ZXX4SJRO'}
1614298027.955412,ALXW2ZXX4SJRO,{'stage': 'SAGAT', 'action': 'side-panel-state', 'object': 'showing introduction', 'worker-id': 'ALXW2ZXX4SJRO'}
1614298046.999238,ALXW2ZXX4SJRO,{'stage': 'SAGAT', 'action': 'side-panel-click', 'object': 'next button introduction', 'worker-id': 'ALXW2ZXX4SJRO'}
1614298047.003552,ALXW2ZXX4SJRO,{'stage': 'SAGAT', 'action': 'side-panel-state', 'object': 'showing information panel', 'worker-id': 'ALXW2ZXX4SJRO'}
1614298071.412383,ALXW2ZXX4SJRO,{'stage': 'SAGAT', 'action': 'side-panel-state', 'object': 'showing information panel', 'worker-id': 'ALXW2ZXX4SJRO'}
1614298071.415059,ALXW2ZXX4SJRO,{'stage': 'SAGAT', 'action': 'side-panel-click', 'object': 'next button information', 'worker-id': 'ALXW2ZXX4SJRO'}
1614298101.366896,ALXW2ZXX4SJRO,{'stage': 'SAGAT', 'action': 'side-panel-state', 'object': 'showing sagat questions', 'worker-id': 'ALXW2ZXX4SJRO'}
1614298126.243578,ALXW2ZXX4SJRO,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '10', 'worker-id': 'ALXW2ZXX4SJRO'}
1614298126.870181,ALXW2ZXX4SJRO,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '11', 'worker-id': 'ALXW2ZXX4SJRO'}
1614298127.472855,ALXW2ZXX4SJRO,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '12', 'worker-id': 'ALXW2ZXX4SJRO'}
1614298128.086426,ALXW2ZXX4SJRO,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '13', 'worker-id': 'ALXW2ZXX4SJRO'}
1614298128.64678,ALXW2ZXX4SJRO,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '14', 'worker-id': 'ALXW2ZXX4SJRO'}
1614298129.17161,ALXW2ZXX4SJRO,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '15', 'worker-id': 'ALXW2ZXX4SJRO'}
1614298129.690502,ALXW2ZXX4SJRO,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '16', 'worker-id': 'ALXW2ZXX4SJRO'}
1614298130.52613,ALXW2ZXX4SJRO,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '9', 'worker-id': 'ALXW2ZXX4SJRO'}
1614298130.943751,ALXW2ZXX4SJRO,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '8', 'worker-id': 'ALXW2ZXX4SJRO'}
1614298131.570278,ALXW2ZXX4SJRO,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '7', 'worker-id': 'ALXW2ZXX4SJRO'}
1614298132.406614,ALXW2ZXX4SJRO,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '2', 'worker-id': 'ALXW2ZXX4SJRO'}
1614298133.032643,ALXW2ZXX4SJRO,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '1', 'worker-id': 'ALXW2ZXX4SJRO'}
1614298133.646336,ALXW2ZXX4SJRO,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '6', 'worker-id': 'ALXW2ZXX4SJRO'}
1614298134.390684,ALXW2ZXX4SJRO,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '5', 'worker-id': 'ALXW2ZXX4SJRO'}
1614298135.122154,ALXW2ZXX4SJRO,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '4', 'worker-id': 'ALXW2ZXX4SJRO'}
1614298135.853625,ALXW2ZXX4SJRO,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '3', 'worker-id': 'ALXW2ZXX4SJRO'}
