
1624831518.371377,APDDA1Y59RHV9,{'stage': 'portal', 'action': 'opened-portal', 'worker-id': 'APDDA1Y59RHV9'}
1624831566.4446,APDDA1Y59RHV9,{'stage': 'portal', 'action': 'opened-portal', 'worker-id': 'APDDA1Y59RHV9'}
1624831614.661392,APDDA1Y59RHV9,{'stage': 'SAGAT', 'action': 'side-panel-state', 'object': 'showing tutorial panel 1', 'worker-id': 'APDDA1Y59RHV9'}
1624831646.989778,APDDA1Y59RHV9,{'stage': 'SAGAT', 'action': 'side-panel-click', 'object': 'next button tutorial 1', 'worker-id': 'APDDA1Y59RHV9'}
1624831647.00014,APDDA1Y59RHV9,{'stage': 'SAGAT', 'action': 'side-panel-state', 'object': 'showing tutorial panel 2', 'worker-id': 'APDDA1Y59RHV9'}
1624831672.056451,APDDA1Y59RHV9,{'stage': 'SAGAT', 'action': 'side-panel-state', 'object': 'showing sagat questions', 'worker-id': 'APDDA1Y59RHV9'}
1624831672.057473,APDDA1Y59RHV9,{'stage': 'SAGAT', 'action': 'side-panel-state', 'object': 'showing tutorial panel 3', 'worker-id': 'APDDA1Y59RHV9'}
1624831672.06015,APDDA1Y59RHV9,{'stage': 'SAGAT', 'action': 'side-panel-click', 'object': 'next button tutorial 2', 'worker-id': 'APDDA1Y59RHV9'}
1624831683.108562,APDDA1Y59RHV9,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '0', 'worker-id': 'APDDA1Y59RHV9'}
1624831684.649886,APDDA1Y59RHV9,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '2', 'worker-id': 'APDDA1Y59RHV9'}
1624831686.182903,APDDA1Y59RHV9,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '1', 'worker-id': 'APDDA1Y59RHV9'}
1624831689.270177,APDDA1Y59RHV9,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '1', 'worker-id': 'APDDA1Y59RHV9'}
1624831690.790199,APDDA1Y59RHV9,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '2', 'worker-id': 'APDDA1Y59RHV9'}
1624831692.020465,APDDA1Y59RHV9,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '2', 'worker-id': 'APDDA1Y59RHV9'}
1624831698.78016,APDDA1Y59RHV9,{'stage': 'SAGAT', 'action': 'side-panel-state', 'object': 'showing introduction', 'worker-id': 'APDDA1Y59RHV9'}
1624831698.78342,APDDA1Y59RHV9,{'stage': 'SAGAT', 'action': 'side-panel-click', 'object': 'next button tutorial 3', 'worker-id': 'APDDA1Y59RHV9'}
1624831712.294406,APDDA1Y59RHV9,{'stage': 'SAGAT', 'action': 'side-panel-click', 'object': 'next button introduction', 'worker-id': 'APDDA1Y59RHV9'}
1624831712.293971,APDDA1Y59RHV9,{'stage': 'SAGAT', 'action': 'side-panel-state', 'object': 'showing information panel', 'worker-id': 'APDDA1Y59RHV9'}
1624831727.040087,APDDA1Y59RHV9,{'stage': 'SAGAT', 'action': 'side-panel-state', 'object': 'showing information panel', 'worker-id': 'APDDA1Y59RHV9'}
1624831727.040646,APDDA1Y59RHV9,{'stage': 'SAGAT', 'action': 'side-panel-click', 'object': 'next button information', 'worker-id': 'APDDA1Y59RHV9'}
1624831757.148711,APDDA1Y59RHV9,{'stage': 'SAGAT', 'action': 'side-panel-state', 'object': 'showing sagat questions', 'worker-id': 'APDDA1Y59RHV9'}
1624831771.585897,APDDA1Y59RHV9,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '1', 'worker-id': 'APDDA1Y59RHV9'}
1624831776.194247,APDDA1Y59RHV9,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '2', 'worker-id': 'APDDA1Y59RHV9'}
1624831776.809391,APDDA1Y59RHV9,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '2', 'worker-id': 'APDDA1Y59RHV9'}
1624831777.732691,APDDA1Y59RHV9,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '2', 'worker-id': 'APDDA1Y59RHV9'}
1624831784.240392,APDDA1Y59RHV9,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '11', 'worker-id': 'APDDA1Y59RHV9'}
1624831784.79544,APDDA1Y59RHV9,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '11', 'worker-id': 'APDDA1Y59RHV9'}
1624831786.6439,APDDA1Y59RHV9,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '12', 'worker-id': 'APDDA1Y59RHV9'}
1624831786.84189,APDDA1Y59RHV9,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '12', 'worker-id': 'APDDA1Y59RHV9'}
1624831787.028718,APDDA1Y59RHV9,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '12', 'worker-id': 'APDDA1Y59RHV9'}
1624831787.868605,APDDA1Y59RHV9,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '12', 'worker-id': 'APDDA1Y59RHV9'}
1624831788.486474,APDDA1Y59RHV9,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '12', 'worker-id': 'APDDA1Y59RHV9'}
1624831789.708106,APDDA1Y59RHV9,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '12', 'worker-id': 'APDDA1Y59RHV9'}
1624831794.318893,APDDA1Y59RHV9,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '13', 'worker-id': 'APDDA1Y59RHV9'}
1624831797.085447,APDDA1Y59RHV9,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '14', 'worker-id': 'APDDA1Y59RHV9'}
1624831797.831127,APDDA1Y59RHV9,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '14', 'worker-id': 'APDDA1Y59RHV9'}
1624831799.541643,APDDA1Y59RHV9,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '14', 'worker-id': 'APDDA1Y59RHV9'}
1624831802.201527,APDDA1Y59RHV9,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '15', 'worker-id': 'APDDA1Y59RHV9'}
1624831802.667984,APDDA1Y59RHV9,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '15', 'worker-id': 'APDDA1Y59RHV9'}
1624831804.45808,APDDA1Y59RHV9,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '15', 'worker-id': 'APDDA1Y59RHV9'}
1624831806.915395,APDDA1Y59RHV9,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '15', 'worker-id': 'APDDA1Y59RHV9'}
1624831807.842153,APDDA1Y59RHV9,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '15', 'worker-id': 'APDDA1Y59RHV9'}
1624831810.013903,APDDA1Y59RHV9,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '16', 'worker-id': 'APDDA1Y59RHV9'}
1624831810.369885,APDDA1Y59RHV9,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '16', 'worker-id': 'APDDA1Y59RHV9'}
1624831811.46079,APDDA1Y59RHV9,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '16', 'worker-id': 'APDDA1Y59RHV9'}
1624831812.938075,APDDA1Y59RHV9,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '9', 'worker-id': 'APDDA1Y59RHV9'}
1624831815.514757,APDDA1Y59RHV9,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '9', 'worker-id': 'APDDA1Y59RHV9'}
1624831817.458841,APDDA1Y59RHV9,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '8', 'worker-id': 'APDDA1Y59RHV9'}
1624831818.592622,APDDA1Y59RHV9,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '8', 'worker-id': 'APDDA1Y59RHV9'}
1624831821.664219,APDDA1Y59RHV9,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '8', 'worker-id': 'APDDA1Y59RHV9'}
1624831823.196479,APDDA1Y59RHV9,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '7', 'worker-id': 'APDDA1Y59RHV9'}
1624831824.425834,APDDA1Y59RHV9,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '7', 'worker-id': 'APDDA1Y59RHV9'}
1624831826.598627,APDDA1Y59RHV9,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '6', 'worker-id': 'APDDA1Y59RHV9'}
1624831827.499581,APDDA1Y59RHV9,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '6', 'worker-id': 'APDDA1Y59RHV9'}
1624831829.581376,APDDA1Y59RHV9,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '5', 'worker-id': 'APDDA1Y59RHV9'}
1624831831.492474,APDDA1Y59RHV9,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '4', 'worker-id': 'APDDA1Y59RHV9'}
1624831831.855431,APDDA1Y59RHV9,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '4', 'worker-id': 'APDDA1Y59RHV9'}
1624831832.511002,APDDA1Y59RHV9,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '4', 'worker-id': 'APDDA1Y59RHV9'}
1624831834.259072,APDDA1Y59RHV9,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '3', 'worker-id': 'APDDA1Y59RHV9'}
1624831837.328446,APDDA1Y59RHV9,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '0', 'worker-id': 'APDDA1Y59RHV9'}
1624831840.403384,APDDA1Y59RHV9,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '10', 'worker-id': 'APDDA1Y59RHV9'}
1624831841.012773,APDDA1Y59RHV9,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '10', 'worker-id': 'APDDA1Y59RHV9'}
1624831847.288517,APDDA1Y59RHV9,{'stage': 'SAGAT', 'action': 'side-panel-click', 'object': 'next button sagat questions', 'worker-id': 'APDDA1Y59RHV9'}
1624831847.359005,APDDA1Y59RHV9,{'stage': 'SAGAT', 'action': 'side-panel-state', 'object': 'showing misunderstanding panel', 'worker-id': 'APDDA1Y59RHV9'}
1624831860.882539,APDDA1Y59RHV9,{'stage': 'SAGAT', 'action': 'side-panel-click', 'object': 'next button misunderstanding panel', 'worker-id': 'APDDA1Y59RHV9'}
1624831860.883128,APDDA1Y59RHV9,{'stage': 'SAGAT', 'action': 'side-panel-state', 'object': 'showing sagat questions', 'worker-id': 'APDDA1Y59RHV9'}
1624831862.519408,APDDA1Y59RHV9,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '10', 'worker-id': 'APDDA1Y59RHV9'}
1624831863.027988,APDDA1Y59RHV9,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '10', 'worker-id': 'APDDA1Y59RHV9'}
1624831863.405133,APDDA1Y59RHV9,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '10', 'worker-id': 'APDDA1Y59RHV9'}
1624831864.47632,APDDA1Y59RHV9,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '11', 'worker-id': 'APDDA1Y59RHV9'}
1624831864.769439,APDDA1Y59RHV9,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '11', 'worker-id': 'APDDA1Y59RHV9'}
1624831865.022296,APDDA1Y59RHV9,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '11', 'worker-id': 'APDDA1Y59RHV9'}
1624831866.208663,APDDA1Y59RHV9,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '12', 'worker-id': 'APDDA1Y59RHV9'}
1624831866.376285,APDDA1Y59RHV9,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '12', 'worker-id': 'APDDA1Y59RHV9'}
1624831866.715418,APDDA1Y59RHV9,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '12', 'worker-id': 'APDDA1Y59RHV9'}
1624831868.359734,APDDA1Y59RHV9,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '14', 'worker-id': 'APDDA1Y59RHV9'}
1624831868.558133,APDDA1Y59RHV9,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '14', 'worker-id': 'APDDA1Y59RHV9'}
1624831868.799351,APDDA1Y59RHV9,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '14', 'worker-id': 'APDDA1Y59RHV9'}
1624831869.994947,APDDA1Y59RHV9,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '14', 'worker-id': 'APDDA1Y59RHV9'}
1624831870.203502,APDDA1Y59RHV9,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '14', 'worker-id': 'APDDA1Y59RHV9'}
1624831870.817177,APDDA1Y59RHV9,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '14', 'worker-id': 'APDDA1Y59RHV9'}
1624831872.352975,APDDA1Y59RHV9,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '16', 'worker-id': 'APDDA1Y59RHV9'}
1624831872.692959,APDDA1Y59RHV9,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '16', 'worker-id': 'APDDA1Y59RHV9'}
1624831874.60317,APDDA1Y59RHV9,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '9', 'worker-id': 'APDDA1Y59RHV9'}
1624831875.582254,APDDA1Y59RHV9,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '9', 'worker-id': 'APDDA1Y59RHV9'}
